原数据,,ACC,Pre,Sen,Spe,MCC,FPR,TPR,AUC
128_64_32_32_sort_stack_random_side,mean,0.715725314,0.708022632,0.738744926,0.692717514,0.433712563,0.307282489,0.738744926,0.791420845
128_64_32_32_sort_stack_random_side,std,0.0159072,0.0178935,0.0241578,0.0268859,0.0318811,0.0268859,0.0241578,0.0187828
256_128_64_64_sort_stack_random_side,mean,0.882116191,0.87620857,0.891580897,0.872554589,0.765221354,0.127445392,0.891580897,0.942194082
256_128_64_64_sort_stack_random_side,std,0.0112441,0.0150608,0.016524,0.0182829,0.022157,0.0182829,0.016524,0.0051435
512_256_128_128_sort_stack_random_side,mean,0.933344364,0.948043641,0.917867464,0.948715301,0.867592903,0.05128471,0.917867464,0.963426259
512_256_128_128_sort_stack_random_side,std,0.0078856,0.0101632,0.0088562,0.0102528,0.0158377,0.0102528,0.0088562,0.0038413
1024_512_256_256_sort_stack_random_side,mean,0.936446981,0.959190081,0.912432441,0.960366482,0.874290277,0.039633469,0.912432441,0.962487217
1024_512_256_256_sort_stack_random_side,std,0.0042572,0.0049814,0.0061226,0.0049735,0.0084631,0.0049735,0.0061226,0.0045067
换成百分制，保留两位小数,,,,,,,,,
,ACC(%),Pre(%),Sen(%),Spe(%),MCC,FPR,TPR,AUC(%),
128_64_32_32_sort_stack_random_side,71.57,70.8,73.87,69.27,0.4337,30.73,73.87,79.14,
128_64_32_32_sort_stack_random_side,1.59,1.79,2.42,2.69,0.0319,2.69,2.42,1.88,
256_128_64_64_sort_stack_random_side,88.21,87.62,89.16,87.26,0.7652,12.74,89.16,94.22,
256_128_64_64_sort_stack_random_side,1.12,1.51,1.65,1.83,0.0222,1.83,1.65,0.51,
512_256_128_128_sort_stack_random_side,93.33,94.8,91.79,94.87,0.8676,5.13,91.79,96.34,
512_256_128_128_sort_stack_random_side,0.79,1.02,0.89,1.03,0.0158,1.03,0.89,0.38,
1024_512_256_256_sort_stack_random_side,93.64,95.92,91.24,96.04,0.8743,3.96,91.24,96.25,
1024_512_256_256_sort_stack_random_side,0.43,0.5,0.61,0.5,0.0085,0.5,0.61,0.45,
加上标准差,,,,,,,,,
,ACC(%),Pre(%),Sen(%),Spe(%),MCC,FPR,TPR,AUC(%),
128_64_32_32_sort_stack_random_side,71.57±1.59,70.80±1.79,73.87±2.42,69.27±2.69,0.4337±0.0319,30.73±2.69,73.87±2.42,79.14±1.88,
256_128_64_64_sort_stack_random_side,88.21±1.12,87.62±1.51,89.16±1.65,87.26±1.83,0.7652±0.0222,12.74±1.83,89.16±1.65,94.22±0.51,
512_256_128_128_sort_stack_random_side,93.33±0.79,94.80±1.02,91.79±0.89,94.87±1.03,0.8676±0.0158,5.13±1.03,91.79±0.89,96.34±0.38,
1024_512_256_256_sort_stack_random_side,93.64±0.43,95.92±0.50,91.24±0.61,96.04±0.50,0.8743±0.0085,3.96±0.50,91.24±0.61,96.25±0.45,
,,,,,,,,,
画图数据,,,,,,,,,
,ACC,Pre,Sen,AUC,,,,,
128_64_32_32,0.715725314,0.708022632,0.738744926,0.791420845,,,,,
128_64_32_32,0.0159072,0.0178935,0.0241578,0.0187828,,,,,
256_128_64_64,0.882116191,0.87620857,0.891580897,0.942194082,,,,,
256_128_64_64,0.0112441,0.0150608,0.016524,0.0051435,,,,,
512_256_128_128,0.933344364,0.948043641,0.917867464,0.963426259,,,,,
512_256_128_128,0.0078856,0.0101632,0.0088562,0.0038413,,,,,
1024_512_256_256,0.936446981,0.959190081,0.912432441,0.962487217,,,,,
1024_512_256_256,0.0042572,0.0049814,0.0061226,0.0045067,,,,,
