RNA,protein,label
0,0,1
1,1,1
2,0,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
3,7,1
3,8,1
3,9,1
4,10,1
4,11,1
5,10,1
5,11,1
6,11,1
7,10,1
7,11,1
8,12,1
9,12,1
10,12,1
11,12,1
12,12,1
13,12,1
14,12,1
15,12,1
16,12,1
17,12,1
18,12,1
19,12,1
20,13,1
21,12,1
22,12,1
23,14,1
24,10,1
24,11,1
24,15,1
24,16,1
24,17,1
25,0,1
26,18,1
26,19,1
26,20,1
26,21,1
26,22,1
26,23,1
26,24,1
26,25,1
26,26,1
26,27,1
26,28,1
26,29,1
27,30,1
28,0,1
28,31,1
28,32,1
28,33,1
28,34,1
28,35,1
28,36,1
28,37,1
28,38,1
28,39,1
28,40,1
28,41,1
29,30,1
30,0,1
30,1,1
30,4,1
31,0,1
31,3,1
31,4,1
31,33,1
32,10,1
33,10,1
33,11,1
34,10,1
34,11,1
35,10,1
36,10,1
36,11,1
37,42,1
38,12,1
39,0,1
40,43,1
41,11,1
42,43,1
43,10,1
44,30,1
45,30,1
46,30,1
47,30,1
48,30,1
49,43,1
50,30,1
51,30,1
51,43,1
52,30,1
53,43,1
54,30,1
55,30,1
56,43,1
57,30,1
58,30,1
59,30,1
60,30,1
61,43,1
62,30,1
62,43,1
63,11,1
64,43,1
65,30,1
65,43,1
66,30,1
67,43,1
68,44,1
68,45,1
68,46,1
68,47,1
68,48,1
69,30,1
70,30,1
71,43,1
72,30,1
73,30,1
74,49,1
75,43,1
76,10,1
77,43,1
78,30,1
79,30,1
80,44,1
80,45,1
80,50,1
80,51,1
80,52,1
81,30,1
82,43,1
83,30,1
84,30,1
85,43,1
86,10,1
87,30,1
88,30,1
89,43,1
90,30,1
91,53,1
92,43,1
93,43,1
94,30,1
95,10,1
95,53,1
96,43,1
97,43,1
98,43,1
99,43,1
100,30,1
101,43,1
102,30,1
103,30,1
104,30,1
105,30,1
106,43,1
107,30,1
108,30,1
108,43,1
109,43,1
110,30,1
111,30,1
112,43,1
113,43,1
114,30,1
115,30,1
116,30,1
117,43,1
118,30,1
119,43,1
120,30,1
121,30,1
122,53,1
123,43,1
124,30,1
125,30,1
125,43,1
126,30,1
127,43,1
128,30,1
129,30,1
129,43,1
130,43,1
131,10,1
132,30,1
133,30,1
134,43,1
135,30,1
136,43,1
137,43,1
138,30,1
139,43,1
140,43,1
141,30,1
142,43,1
143,30,1
144,43,1
145,30,1
145,43,1
146,30,1
147,30,1
148,30,1
149,30,1
149,43,1
150,30,1
150,43,1
151,43,1
152,43,1
153,43,1
154,30,1
155,43,1
156,30,1
157,30,1
158,43,1
159,43,1
160,30,1
161,43,1
162,43,1
162,53,1
163,44,1
163,47,1
163,54,1
164,43,1
165,30,1
166,30,1
167,43,1
168,30,1
169,30,1
170,30,1
171,30,1
172,30,1
173,30,1
174,30,1
175,30,1
175,43,1
176,30,1
177,10,1
178,30,1
179,30,1
179,43,1
180,49,1
181,43,1
182,43,1
183,30,1
184,30,1
184,43,1
185,30,1
186,10,1
186,11,1
187,30,1
188,10,1
188,43,1
189,30,1
190,53,1
191,30,1
192,30,1
193,30,1
194,43,1
195,30,1
196,43,1
197,30,1
198,30,1
199,30,1
200,43,1
201,30,1
201,43,1
202,43,1
203,30,1
204,30,1
205,30,1
205,43,1
206,43,1
207,30,1
208,43,1
209,30,1
210,30,1
211,43,1
212,30,1
213,43,1
214,30,1
215,30,1
216,30,1
217,30,1
218,30,1
219,30,1
220,30,1
221,43,1
222,30,1
222,43,1
223,30,1
224,43,1
225,30,1
226,30,1
227,45,1
227,55,1
227,56,1
227,57,1
228,30,1
229,30,1
230,43,1
231,30,1
232,44,1
232,45,1
232,50,1
232,52,1
232,56,1
233,30,1
234,30,1
235,43,1
236,43,1
237,30,1
238,43,1
239,43,1
240,43,1
241,43,1
242,30,1
243,30,1
244,30,1
245,43,1
246,30,1
247,30,1
248,10,1
249,30,1
250,30,1
251,30,1
252,30,1
253,43,1
254,49,1
255,30,1
256,43,1
257,30,1
258,43,1
259,46,1
259,49,1
259,58,1
259,59,1
259,60,1
260,30,1
260,43,1
261,30,1
262,30,1
263,30,1
264,30,1
265,43,1
266,30,1
267,43,1
268,30,1
269,30,1
270,43,1
271,30,1
272,43,1
273,43,1
274,30,1
275,43,1
276,30,1
277,30,1
278,43,1
279,30,1
280,30,1
281,43,1
282,30,1
283,43,1
284,30,1
285,46,1
285,47,1
285,48,1
285,50,1
285,55,1
286,30,1
287,30,1
288,30,1
289,30,1
290,43,1
291,43,1
292,30,1
293,30,1
294,30,1
295,30,1
295,43,1
296,30,1
297,43,1
298,30,1
299,43,1
300,30,1
301,43,1
302,30,1
302,43,1
303,43,1
304,43,1
305,43,1
306,43,1
307,43,1
308,43,1
309,43,1
310,30,1
311,30,1
312,43,1
313,30,1
314,30,1
315,30,1
316,30,1
317,30,1
318,30,1
319,30,1
320,43,1
321,30,1
322,43,1
323,43,1
324,43,1
325,43,1
326,30,1
327,30,1
328,30,1
328,43,1
329,30,1
330,30,1
331,43,1
332,10,1
332,11,1
332,53,1
333,30,1
334,43,1
335,43,1
336,30,1
337,43,1
338,30,1
339,30,1
340,53,1
341,43,1
342,30,1
343,43,1
344,43,1
345,43,1
346,30,1
347,30,1
347,43,1
348,30,1
349,30,1
350,43,1
351,43,1
352,30,1
353,30,1
354,30,1
355,44,1
355,52,1
356,43,1
357,43,1
358,30,1
359,30,1
360,49,1
361,30,1
362,43,1
363,43,1
364,43,1
365,43,1
366,43,1
367,43,1
368,30,1
369,30,1
370,30,1
370,43,1
371,43,1
372,30,1
373,30,1
374,43,1
375,43,1
376,30,1
377,30,1
378,30,1
379,30,1
380,50,1
380,54,1
380,57,1
381,43,1
382,30,1
383,43,1
384,43,1
385,30,1
385,43,1
386,43,1
387,30,1
388,30,1
389,43,1
390,43,1
391,30,1
391,43,1
392,30,1
393,43,1
394,30,1
395,43,1
396,30,1
397,43,1
398,43,1
399,30,1
400,43,1
401,30,1
402,43,1
403,30,1
404,30,1
405,30,1
406,30,1
407,30,1
408,43,1
409,30,1
410,30,1
411,30,1
412,30,1
413,43,1
414,30,1
415,30,1
416,30,1
417,30,1
418,30,1
419,43,1
420,11,1
421,43,1
422,30,1
422,43,1
423,30,1
424,30,1
425,30,1
426,43,1
427,30,1
428,30,1
429,30,1
430,30,1
431,30,1
432,30,1
433,43,1
434,30,1
435,30,1
436,43,1
437,30,1
438,30,1
439,30,1
440,30,1
441,43,1
442,30,1
443,30,1
444,30,1
445,43,1
446,30,1
447,30,1
447,43,1
448,30,1
449,30,1
450,30,1
450,43,1
451,43,1
452,43,1
453,43,1
454,43,1
455,30,1
456,30,1
457,30,1
458,30,1
459,30,1
460,43,1
461,30,1
462,43,1
463,30,1
464,30,1
465,30,1
466,30,1
467,30,1
468,30,1
468,43,1
469,43,1
470,43,1
471,30,1
472,43,1
473,30,1
473,43,1
474,30,1
475,43,1
476,43,1
477,30,1
478,30,1
478,43,1
479,43,1
480,30,1
480,43,1
481,30,1
482,30,1
483,30,1
484,43,1
485,43,1
486,30,1
487,30,1
487,43,1
488,30,1
489,30,1
490,43,1
491,43,1
492,30,1
493,30,1
494,30,1
495,30,1
496,30,1
497,30,1
498,30,1
499,30,1
500,43,1
501,30,1
502,30,1
503,43,1
504,43,1
505,30,1
505,43,1
506,30,1
507,43,1
508,30,1
509,45,1
509,51,1
509,52,1
510,10,1
510,11,1
510,53,1
511,30,1
512,11,1
513,43,1
514,43,1
515,30,1
516,30,1
517,30,1
518,30,1
519,30,1
520,30,1
521,30,1
522,43,1
523,30,1
523,43,1
524,30,1
525,43,1
526,30,1
527,10,1
527,11,1
527,30,1
528,30,1
529,46,1
529,52,1
529,55,1
530,30,1
531,30,1
531,43,1
532,43,1
533,30,1
534,30,1
535,43,1
536,43,1
537,43,1
538,11,1
539,30,1
540,30,1
541,43,1
542,43,1
543,30,1
544,30,1
545,30,1
546,30,1
547,30,1
548,30,1
549,43,1
550,43,1
551,30,1
552,43,1
553,43,1
554,30,1
555,30,1
556,30,1
557,30,1
558,30,1
559,44,1
559,47,1
559,48,1
559,52,1
559,54,1
559,55,1
560,30,1
561,30,1
562,43,1
563,30,1
563,43,1
564,30,1
565,30,1
566,30,1
567,30,1
568,43,1
569,30,1
570,30,1
571,43,1
572,30,1
573,30,1
574,30,1
574,43,1
575,43,1
576,43,1
577,30,1
578,45,1
578,46,1
578,50,1
578,54,1
579,43,1
580,30,1
581,43,1
582,30,1
583,30,1
584,43,1
585,30,1
586,43,1
587,30,1
588,43,1
589,30,1
590,30,1
591,30,1
592,30,1
592,43,1
593,43,1
594,43,1
595,30,1
596,30,1
597,30,1
598,30,1
598,43,1
599,30,1
600,49,1
601,30,1
602,43,1
603,43,1
604,43,1
605,43,1
606,30,1
607,30,1
608,43,1
609,30,1
610,30,1
611,43,1
612,30,1
613,50,1
614,30,1
615,43,1
616,30,1
617,30,1
618,30,1
618,43,1
619,30,1
620,30,1
621,43,1
622,30,1
623,43,1
624,30,1
625,43,1
626,43,1
627,43,1
628,30,1
628,43,1
629,30,1
630,30,1
631,30,1
632,30,1
633,43,1
634,30,1
635,30,1
636,30,1
637,43,1
638,30,1
639,43,1
640,30,1
641,43,1
642,43,1
643,30,1
644,43,1
645,30,1
646,30,1
647,30,1
648,30,1
649,30,1
649,43,1
650,43,1
651,43,1
652,30,1
653,30,1
654,30,1
655,30,1
656,43,1
657,30,1
658,30,1
659,30,1
660,30,1
661,53,1
662,30,1
663,43,1
664,30,1
664,43,1
665,43,1
666,30,1
667,30,1
668,30,1
669,30,1
670,30,1
671,43,1
672,30,1
673,43,1
674,30,1
675,30,1
676,30,1
677,43,1
678,30,1
679,30,1
680,30,1
681,43,1
682,30,1
683,30,1
684,30,1
685,30,1
686,30,1
687,30,1
688,30,1
689,30,1
689,43,1
690,30,1
691,30,1
692,30,1
693,30,1
694,30,1
695,43,1
696,43,1
697,43,1
698,43,1
699,30,1
700,30,1
700,43,1
701,43,1
702,30,1
703,30,1
704,30,1
705,43,1
706,53,1
707,30,1
708,30,1
709,30,1
710,30,1
711,43,1
712,30,1
713,43,1
714,10,1
714,11,1
715,43,1
716,30,1
717,43,1
718,30,1
719,30,1
720,43,1
721,43,1
722,30,1
723,43,1
724,30,1
725,30,1
726,30,1
726,43,1
727,30,1
727,43,1
728,30,1
729,43,1
730,43,1
731,30,1
732,30,1
733,30,1
734,43,1
735,30,1
736,30,1
737,30,1
738,43,1
739,30,1
740,30,1
741,30,1
742,30,1
743,30,1
743,43,1
744,30,1
745,53,1
746,30,1
746,43,1
747,30,1
748,30,1
749,43,1
750,43,1
751,30,1
752,30,1
753,30,1
754,30,1
755,49,1
756,43,1
757,30,1
758,43,1
759,30,1
760,30,1
761,30,1
762,43,1
763,43,1
764,30,1
765,43,1
766,30,1
767,30,1
768,30,1
769,30,1
770,30,1
771,30,1
772,30,1
773,30,1
774,30,1
775,30,1
776,43,1
777,30,1
777,43,1
778,45,1
778,52,1
778,56,1
779,30,1
780,30,1
781,30,1
781,43,1
782,30,1
782,43,1
783,43,1
784,43,1
785,30,1
786,30,1
787,43,1
788,30,1
789,30,1
790,30,1
791,30,1
792,30,1
793,30,1
794,30,1
795,43,1
796,30,1
796,53,1
797,30,1
798,43,1
799,30,1
800,10,1
801,30,1
801,43,1
802,30,1
803,43,1
804,30,1
805,43,1
806,30,1
807,30,1
808,43,1
809,30,1
810,30,1
811,30,1
812,43,1
813,30,1
814,30,1
815,30,1
816,30,1
817,30,1
818,30,1
818,43,1
819,30,1
820,43,1
821,30,1
822,30,1
823,30,1
824,30,1
825,30,1
826,30,1
827,30,1
828,30,1
829,53,1
830,43,1
831,30,1
832,43,1
833,30,1
833,43,1
834,43,1
835,30,1
836,30,1
837,30,1
838,30,1
839,30,1
840,30,1
841,30,1
842,30,1
843,30,1
844,43,1
845,43,1
846,30,1
847,30,1
848,30,1
849,30,1
849,43,1
850,30,1
851,43,1
852,30,1
853,30,1
854,30,1
855,30,1
856,43,1
857,43,1
858,43,1
859,43,1
860,43,1
861,30,1
862,49,1
863,30,1
864,30,1
865,43,1
866,30,1
867,43,1
868,43,1
869,30,1
870,30,1
871,43,1
872,43,1
873,30,1
874,30,1
874,43,1
875,30,1
876,43,1
877,30,1
877,43,1
878,30,1
879,30,1
880,43,1
881,30,1
882,30,1
883,30,1
884,30,1
885,30,1
886,43,1
887,43,1
888,53,1
889,30,1
890,30,1
891,30,1
892,30,1
893,30,1
894,43,1
895,30,1
896,30,1
897,30,1
898,30,1
899,30,1
900,30,1
901,30,1
901,43,1
902,43,1
903,43,1
904,43,1
905,43,1
906,43,1
907,30,1
908,43,1
909,30,1
909,53,1
910,43,1
911,43,1
912,30,1
913,30,1
914,30,1
915,30,1
916,30,1
917,30,1
918,53,1
919,43,1
920,30,1
920,43,1
921,30,1
922,43,1
923,30,1
924,30,1
925,30,1
926,43,1
927,43,1
928,30,1
929,43,1
930,30,1
931,30,1
932,10,1
932,11,1
933,43,1
934,43,1
935,30,1
936,43,1
937,30,1
938,30,1
939,43,1
940,30,1
941,43,1
942,43,1
943,43,1
944,30,1
945,43,1
946,30,1
947,30,1
948,30,1
949,43,1
950,30,1
951,30,1
952,43,1
953,43,1
954,30,1
955,43,1
956,43,1
957,30,1
958,53,1
959,30,1
960,43,1
961,30,1
962,30,1
963,30,1
964,43,1
965,30,1
966,30,1
967,43,1
968,30,1
969,30,1
969,43,1
970,30,1
971,30,1
972,30,1
972,43,1
973,45,1
973,52,1
973,57,1
974,30,1
975,30,1
976,30,1
977,30,1
978,30,1
979,30,1
980,30,1
980,43,1
981,30,1
982,43,1
983,43,1
984,30,1
985,30,1
986,30,1
987,30,1
988,43,1
989,30,1
990,30,1
991,30,1
992,43,1
993,10,1
993,11,1
994,30,1
995,43,1
996,43,1
997,30,1
997,43,1
998,30,1
999,44,1
999,45,1
999,46,1
999,47,1
999,48,1
999,52,1
1000,30,1
1001,43,1
1002,43,1
1003,30,1
1004,43,1
1005,43,1
1006,43,1
1007,30,1
1008,30,1
1008,43,1
1009,10,1
1010,30,1
1011,30,1
1011,43,1
1012,30,1
1013,43,1
1014,30,1
1015,30,1
1016,30,1
1017,43,1
1018,30,1
1018,43,1
1019,30,1
1020,43,1
1021,30,1
1022,43,1
1023,43,1
1024,30,1
1025,30,1
1026,43,1
1027,30,1
1028,30,1
1028,43,1
1029,30,1
1030,30,1
1031,30,1
1031,43,1
1032,43,1
1033,43,1
1034,43,1
1035,43,1
1036,43,1
1037,30,1
1038,30,1
