RNA,protein,label
494,0,0.0
494,1,0.0
494,2,0.0
494,3,0.0
494,4,0.0
494,5,0.0
494,6,0.0
494,7,0.0
494,8,0.0
494,9,0.0
494,10,0.0
494,11,0.0
494,12,0.0
494,13,0.0
494,14,0.0
494,15,0.0
494,16,0.0
494,17,0.0
494,18,0.0
494,19,0.0
494,20,0.0
494,21,0.0
494,22,0.0
494,23,0.0
494,24,0.0
494,25,0.0
494,26,0.0
587,0,0.0
587,1,0.0
587,2,0.0
587,3,0.0
587,4,0.0
587,5,0.0
587,6,0.0
587,7,0.0
587,8,0.0
587,9,0.0
587,10,0.0
587,11,0.0
587,12,0.0
587,13,0.0
587,14,0.0
587,15,0.0
587,16,0.0
587,17,0.0
587,18,0.0
587,19,0.0
587,20,0.0
587,21,0.0
587,22,0.0
587,23,0.0
587,24,0.0
587,25,0.0
587,26,0.0
799,0,0.0
799,1,0.0
799,2,0.0
799,3,0.0
799,4,0.0
799,5,0.0
799,6,0.0
799,7,0.0
799,8,0.0
799,9,0.0
799,10,0.0
799,11,0.0
799,12,0.0
799,13,0.0
799,14,0.0
799,15,0.0
799,16,0.0
799,17,0.0
799,18,0.0
799,19,0.0
799,20,0.0
799,21,0.0
799,22,0.0
799,23,0.0
799,24,0.0
799,25,0.0
799,26,0.0
912,0,0.0
912,1,0.0
912,2,0.0
912,3,0.0
912,4,0.0
912,5,0.0
912,6,0.0
912,7,0.0
912,8,0.0
912,9,0.0
912,10,0.0
912,11,0.0
912,12,0.0
912,13,0.0
912,14,0.0
912,15,0.0
912,16,0.0
912,17,0.0
912,18,0.0
912,19,0.0
912,20,0.0
912,21,0.0
912,22,0.0
912,23,0.0
912,24,0.0
912,25,0.0
912,26,0.0
445,16,0.03753274307293358
445,13,0.041050590238722255
53,19,0.04460867773134905
53,4,0.0456170137188719
715,20,0.0456170137188719
715,7,0.047496561497007955
715,0,0.04919004968905027
53,8,0.05239668316576154
53,24,0.052868238898283286
715,3,0.05603235448920868
445,4,0.05689305776930491
715,15,0.05689305776930491
8,7,0.05834865187328271
72,7,0.05834865187328271
122,7,0.05834865187328271
146,7,0.05834865187328271
279,7,0.05834865187328271
369,7,0.05834865187328271
374,7,0.05834865187328271
533,7,0.05834865187328271
713,7,0.05834865187328271
808,7,0.05834865187328271
53,12,0.06026781715420229
715,2,0.0614966603253969
170,16,0.062475317935731085
170,13,0.0633653218860204
715,26,0.06575284584843188
6,13,0.0678242518114335
15,13,0.0678242518114335
71,13,0.0678242518114335
283,13,0.0678242518114335
330,13,0.0678242518114335
407,13,0.0678242518114335
413,13,0.0678242518114335
425,13,0.0678242518114335
453,13,0.0678242518114335
560,13,0.0678242518114335
564,13,0.0678242518114335
594,13,0.0678242518114335
651,13,0.0678242518114335
660,13,0.0678242518114335
699,13,0.0678242518114335
732,13,0.0678242518114335
772,13,0.0678242518114335
773,13,0.0678242518114335
835,13,0.0678242518114335
869,13,0.0678242518114335
952,13,0.0678242518114335
965,13,0.0678242518114335
489,13,0.06803176680460234
778,13,0.06803176680460234
81,13,0.06829788723116706
678,13,0.06829788723116706
53,11,0.06902980507353344
6,16,0.06910773337350504
15,16,0.06910773337350504
71,16,0.06910773337350504
283,16,0.06910773337350504
330,16,0.06910773337350504
407,16,0.06910773337350504
413,16,0.06910773337350504
425,16,0.06910773337350504
453,16,0.06910773337350504
560,16,0.06910773337350504
564,16,0.06910773337350504
594,16,0.06910773337350504
651,16,0.06910773337350504
660,16,0.06910773337350504
699,16,0.06910773337350504
732,16,0.06910773337350504
772,16,0.06910773337350504
773,16,0.06910773337350504
835,16,0.06910773337350504
869,16,0.06910773337350504
952,16,0.06910773337350504
965,16,0.06910773337350504
715,12,0.0691584781752147
8,24,0.07079499962597773
72,24,0.07079499962597773
122,24,0.07079499962597773
146,24,0.07079499962597773
279,24,0.07079499962597773
369,24,0.07079499962597773
374,24,0.07079499962597773
533,24,0.07079499962597773
713,24,0.07079499962597773
808,24,0.07079499962597773
53,17,0.07167784826291831
53,13,0.07371131162460155
81,16,0.0739193568508059
678,16,0.0739193568508059
53,22,0.07392009836113043
445,19,0.07484236104589448
8,15,0.07858333331165585
72,15,0.07858333331165585
122,15,0.07858333331165585
146,15,0.07858333331165585
279,15,0.07858333331165585
369,15,0.07858333331165585
374,15,0.07858333331165585
533,15,0.07858333331165585
713,15,0.07858333331165585
808,15,0.07858333331165585
9,13,0.07943521546045224
544,13,0.07943521546045224
45,16,0.07987710962316803
46,16,0.07987710962316803
240,16,0.07987710962316803
306,16,0.07987710962316803
331,16,0.07987710962316803
337,16,0.07987710962316803
338,16,0.07987710962316803
371,16,0.07987710962316803
393,16,0.07987710962316803
463,16,0.07987710962316803
466,16,0.07987710962316803
484,16,0.07987710962316803
537,16,0.07987710962316803
547,16,0.07987710962316803
606,16,0.07987710962316803
618,16,0.07987710962316803
619,16,0.07987710962316803
630,16,0.07987710962316803
632,16,0.07987710962316803
676,16,0.07987710962316803
717,16,0.07987710962316803
720,16,0.07987710962316803
747,16,0.07987710962316803
750,16,0.07987710962316803
752,16,0.07987710962316803
832,16,0.07987710962316803
834,16,0.07987710962316803
840,16,0.07987710962316803
842,16,0.07987710962316803
847,16,0.07987710962316803
877,16,0.07987710962316803
921,16,0.07987710962316803
923,16,0.07987710962316803
947,16,0.07987710962316803
960,16,0.07987710962316803
967,16,0.07987710962316803
969,16,0.07987710962316803
445,14,0.07998174222325771
715,10,0.08040283928935986
53,14,0.0804986023444723
234,13,0.08170834603763032
489,16,0.08173298200899477
