RNA,protein,label
402,0,-1
322,1,-1
573,2,-1
172,3,-1
209,4,-1
74,5,-1
482,6,-1
700,7,-1
577,8,-1
567,9,-1
299,10,-1
118,11,-1
621,12,-1
599,13,-1
10,14,-1
229,15,-1
787,16,-1
425,17,-1
691,18,-1
245,19,-1
260,20,-1
439,21,-1
681,22,-1
534,23,-1
240,24,-1
356,25,-1
584,26,-1
354,27,-1
802,28,-1
618,29,-1
602,30,-1
707,31,-1
388,32,-1
274,33,-1
186,34,-1
574,35,-1
172,36,-1
212,37,-1
434,38,-1
360,39,-1
591,40,-1
337,41,-1
49,42,-1
617,43,-1
235,44,-1
570,45,-1
621,46,-1
367,47,-1
709,48,-1
49,49,-1
305,50,-1
34,51,-1
426,52,-1
228,53,-1
245,54,-1
250,55,-1
181,56,-1
124,57,-1
574,58,-1
405,59,-1
687,60,-1
276,61,-1
33,62,-1
325,63,-1
725,64,-1
715,65,-1
116,66,-1
497,67,-1
261,68,-1
599,69,-1
274,70,-1
643,71,-1
380,72,-1
818,73,-1
475,74,-1
87,75,-1
207,76,-1
554,77,-1
323,78,-1
769,79,-1
47,80,-1
704,81,-1
475,82,-1
769,83,-1
649,84,-1
487,85,-1
786,86,-1
803,87,-1
720,88,-1
314,89,-1
111,90,-1
398,91,-1
390,92,-1
422,93,-1
148,94,-1
621,95,-1
468,96,-1
675,97,-1
198,98,-1
439,99,-1
297,100,-1
394,101,-1
155,102,-1
96,103,-1
198,104,-1
719,105,-1
565,106,-1
8,107,-1
160,108,-1
80,109,-1
43,110,-1
403,111,-1
636,112,-1
309,113,-1
91,114,-1
255,115,-1
37,116,-1
341,117,-1
726,118,-1
485,119,-1
647,120,-1
214,121,-1
414,122,-1
228,123,-1
92,124,-1
269,125,-1
188,126,-1
320,127,-1
703,128,-1
529,22,-1
230,129,-1
104,130,-1
175,131,-1
343,132,-1
29,133,-1
297,134,-1
693,135,-1
241,136,-1
664,137,-1
17,138,-1
115,139,-1
633,140,-1
153,141,-1
657,142,-1
495,143,-1
308,144,-1
675,145,-1
632,146,-1
387,147,-1
366,148,-1
580,149,-1
564,150,-1
694,151,-1
786,152,-1
829,153,-1
350,154,-1
820,155,-1
343,156,-1
301,157,-1
639,158,-1
486,159,-1
634,160,-1
546,161,-1
747,162,-1
488,163,-1
56,164,-1
386,165,-1
382,166,-1
355,167,-1
331,168,-1
608,169,-1
562,170,-1
281,171,-1
182,172,-1
236,173,-1
564,174,-1
826,175,-1
177,176,-1
596,177,-1
343,145,-1
414,178,-1
352,179,-1
508,180,-1
210,181,-1
130,182,-1
275,183,-1
517,184,-1
598,185,-1
674,186,-1
811,187,-1
222,188,-1
112,189,-1
24,190,-1
628,191,-1
307,192,-1
734,193,-1
626,194,-1
480,195,-1
111,196,-1
271,197,-1
437,198,-1
689,199,-1
288,200,-1
453,201,-1
589,202,-1
44,203,-1
590,204,-1
75,205,-1
733,206,-1
158,207,-1
761,208,-1
45,209,-1
683,210,-1
582,211,-1
4,212,-1
350,213,-1
290,214,-1
530,215,-1
284,216,-1
313,217,-1
190,218,-1
346,219,-1
161,220,-1
36,221,-1
719,222,-1
611,223,-1
786,224,-1
286,225,-1
271,226,-1
653,227,-1
112,228,-1
812,229,-1
256,230,-1
425,231,-1
231,232,-1
488,233,-1
585,234,-1
556,235,-1
263,236,-1
796,237,-1
692,238,-1
101,239,-1
153,240,-1
266,241,-1
97,242,-1
138,243,-1
303,244,-1
153,245,-1
495,246,-1
400,247,-1
662,248,-1
554,249,-1
493,250,-1
724,251,-1
522,252,-1
717,253,-1
615,254,-1
138,255,-1
491,256,-1
378,257,-1
134,258,-1
609,259,-1
789,260,-1
749,261,-1
586,262,-1
191,263,-1
722,264,-1
631,265,-1
184,266,-1
307,267,-1
733,268,-1
518,269,-1
538,270,-1
275,271,-1
562,272,-1
810,273,-1
244,274,-1
282,275,-1
467,276,-1
495,277,-1
288,278,-1
324,279,-1
211,280,-1
301,281,-1
406,282,-1
485,283,-1
94,284,-1
256,285,-1
467,286,-1
207,287,-1
537,202,-1
824,288,-1
106,289,-1
33,290,-1
508,291,-1
179,219,-1
146,292,-1
305,293,-1
767,294,-1
468,295,-1
617,296,-1
495,297,-1
588,298,-1
349,299,-1
105,300,-1
616,301,-1
209,302,-1
636,303,-1
640,304,-1
424,305,-1
289,306,-1
253,307,-1
823,308,-1
835,309,-1
752,310,-1
627,311,-1
756,312,-1
477,313,-1
620,314,-1
544,315,-1
576,316,-1
721,317,-1
450,318,-1
88,319,-1
422,320,-1
644,321,-1
343,322,-1
16,323,-1
699,324,-1
574,325,-1
119,326,-1
483,327,-1
772,328,-1
184,329,-1
393,330,-1
234,331,-1
469,332,-1
403,333,-1
146,334,-1
267,335,-1
757,336,-1
98,337,-1
208,338,-1
694,339,-1
138,340,-1
142,341,-1
693,342,-1
145,343,-1
26,344,-1
428,345,-1
720,346,-1
568,347,-1
779,348,-1
423,349,-1
443,350,-1
411,351,-1
480,352,-1
724,353,-1
439,354,-1
273,355,-1
563,356,-1
164,357,-1
337,358,-1
716,359,-1
245,360,-1
210,361,-1
177,362,-1
712,363,-1
185,22,-1
382,364,-1
86,365,-1
43,366,-1
652,367,-1
776,368,-1
426,369,-1
446,370,-1
535,22,-1
372,371,-1
764,372,-1
581,373,-1
472,374,-1
746,375,-1
779,376,-1
599,377,-1
347,378,-1
522,379,-1
548,380,-1
615,381,-1
316,382,-1
234,383,-1
86,384,-1
557,385,-1
836,386,-1
632,387,-1
239,388,-1
675,389,-1
589,390,-1
290,391,-1
122,392,-1
171,393,-1
173,394,-1
392,395,-1
356,396,-1
37,397,-1
204,398,-1
252,399,-1
781,400,-1
602,401,-1
648,186,-1
325,402,-1
418,403,-1
696,404,-1
215,405,-1
184,406,-1
46,407,-1
299,408,-1
206,409,-1
100,410,-1
386,411,-1
661,412,-1
24,413,-1
609,414,-1
29,415,-1
774,416,-1
489,417,-1
476,418,-1
541,419,-1
19,420,-1
221,421,-1
296,422,-1
22,423,-1
809,424,-1
636,425,-1
274,426,-1
677,427,-1
182,428,-1
353,429,-1
208,430,-1
82,431,-1
713,432,-1
41,433,-1
485,434,-1
538,435,-1
818,436,-1
417,437,-1
597,438,-1
656,439,-1
257,440,-1
513,441,-1
484,442,-1
796,289,-1
256,443,-1
701,290,-1
163,444,-1
665,445,-1
494,446,-1
714,447,-1
551,448,-1
692,449,-1
635,450,-1
445,451,-1
157,452,-1
383,453,-1
758,454,-1
291,455,-1
72,456,-1
70,457,-1
389,458,-1
617,459,-1
385,460,-1
256,461,-1
728,462,-1
170,463,-1
281,464,-1
162,465,-1
794,466,-1
351,467,-1
394,468,-1
615,469,-1
820,470,-1
397,471,-1
652,472,-1
579,473,-1
694,474,-1
548,475,-1
11,476,-1
273,477,-1
377,478,-1
250,479,-1
703,480,-1
787,481,-1
803,482,-1
288,483,-1
299,484,-1
543,485,-1
536,486,-1
595,487,-1
10,488,-1
254,489,-1
554,490,-1
346,491,-1
211,492,-1
257,493,-1
95,494,-1
103,495,-1
33,496,-1
521,497,-1
398,498,-1
462,499,-1
583,500,-1
570,501,-1
382,502,-1
467,503,-1
523,504,-1
86,505,-1
810,506,-1
540,507,-1
344,508,-1
374,509,-1
310,510,-1
573,511,-1
293,512,-1
292,513,-1
354,514,-1
266,515,-1
444,516,-1
435,517,-1
620,518,-1
824,519,-1
119,520,-1
797,521,-1
21,522,-1
359,523,-1
715,524,-1
581,525,-1
78,526,-1
273,527,-1
703,528,-1
114,529,-1
676,530,-1
617,531,-1
241,532,-1
111,533,-1
591,534,-1
65,535,-1
322,536,-1
353,537,-1
423,538,-1
719,539,-1
255,540,-1
684,541,-1
558,542,-1
623,543,-1
703,544,-1
831,545,-1
801,546,-1
439,547,-1
206,548,-1
732,549,-1
84,550,-1
334,551,-1
242,552,-1
344,553,-1
642,554,-1
605,555,-1
720,556,-1
404,557,-1
412,558,-1
122,559,-1
530,560,-1
706,561,-1
59,562,-1
327,563,-1
755,564,-1
745,565,-1
809,566,-1
155,567,-1
315,568,-1
472,569,-1
523,570,-1
320,571,-1
54,572,-1
512,573,-1
145,574,-1
425,277,-1
302,575,-1
708,576,-1
224,577,-1
207,578,-1
394,579,-1
447,580,-1
665,581,-1
744,582,-1
717,583,-1
374,584,-1
545,585,-1
630,586,-1
34,587,-1
54,588,-1
674,589,-1
212,590,-1
533,121,-1
584,591,-1
75,592,-1
562,593,-1
614,594,-1
354,595,-1
431,596,-1
307,597,-1
31,598,-1
398,599,-1
639,600,-1
538,601,-1
75,602,-1
433,603,-1
614,604,-1
574,605,-1
694,606,-1
589,607,-1
594,124,-1
551,608,-1
308,609,-1
477,610,-1
427,611,-1
248,612,-1
526,613,-1
433,614,-1
721,615,-1
768,616,-1
153,617,-1
585,618,-1
13,619,-1
40,620,-1
29,621,-1
364,622,-1
820,623,-1
25,624,-1
168,625,-1
310,626,-1
230,627,-1
453,628,-1
646,629,-1
46,630,-1
489,631,-1
784,632,-1
540,633,-1
602,634,-1
119,635,-1
246,636,-1
755,637,-1
173,638,-1
766,639,-1
287,640,-1
347,641,-1
17,642,-1
729,643,-1
478,644,-1
44,645,-1
11,646,-1
768,647,-1
137,648,-1
71,649,-1
829,650,-1
785,651,-1
351,652,-1
741,653,-1
441,654,-1
46,655,-1
317,656,-1
548,657,-1
102,658,-1
721,659,-1
693,660,-1
497,661,-1
712,662,-1
457,663,-1
73,664,-1
571,665,-1
31,666,-1
780,667,-1
350,668,-1
25,669,-1
449,670,-1
608,671,-1
661,672,-1
252,673,-1
31,674,-1
609,675,-1
821,676,-1
600,677,-1
495,678,-1
524,679,-1
660,680,-1
707,681,-1
565,541,-1
418,682,-1
193,683,-1
533,684,-1
297,685,-1
786,686,-1
394,687,-1
765,688,-1
773,689,-1
745,690,-1
757,691,-1
5,692,-1
779,693,-1
103,694,-1
627,695,-1
754,696,-1
669,697,-1
111,698,-1
750,699,-1
580,700,-1
709,701,-1
311,702,-1
387,703,-1
456,704,-1
817,705,-1
386,706,-1
22,707,-1
674,708,-1
477,709,-1
652,710,-1
66,711,-1
55,712,-1
176,713,-1
740,714,-1
152,715,-1
225,716,-1
634,717,-1
644,718,-1
254,719,-1
682,720,-1
459,721,-1
483,722,-1
559,723,-1
157,724,-1
790,725,-1
82,726,-1
192,727,-1
649,728,-1
401,729,-1
321,730,-1
747,731,-1
789,327,-1
828,732,-1
433,733,-1
97,734,-1
415,328,-1
156,329,-1
479,330,-1
441,735,-1
240,736,-1
227,737,-1
769,738,-1
314,739,-1
86,740,-1
482,741,-1
263,742,-1
298,743,-1
783,744,-1
16,331,-1
312,332,-1
590,745,-1
210,746,-1
446,747,-1
166,748,-1
490,749,-1
201,750,-1
455,751,-1
610,130,-1
769,752,-1
69,753,-1
546,754,-1
352,755,-1
262,756,-1
829,757,-1
718,758,-1
312,759,-1
349,760,-1
804,761,-1
823,762,-1
167,763,-1
335,764,-1
266,765,-1
196,766,-1
50,767,-1
367,768,-1
552,769,-1
141,770,-1
169,771,-1
253,772,-1
562,773,-1
820,774,-1
54,775,-1
252,776,-1
347,777,-1
634,778,-1
93,779,-1
786,780,-1
840,781,-1
508,782,-1
490,783,-1
438,784,-1
176,785,-1
32,786,-1
710,787,-1
391,788,-1
570,789,-1
630,790,-1
419,791,-1
276,792,-1
116,793,-1
516,794,-1
629,795,-1
446,796,-1
260,797,-1
568,798,-1
197,799,-1
667,800,-1
470,801,-1
377,802,-1
813,803,-1
697,804,-1
167,805,-1
82,806,-1
61,807,-1
431,808,-1
148,809,-1
130,810,-1
306,811,-1
754,812,-1
338,813,-1
227,814,-1
168,815,-1
202,816,-1
602,817,-1
157,818,-1
793,819,-1
36,820,-1
651,821,-1
415,822,-1
165,823,-1
587,824,-1
387,825,-1
572,826,-1
66,827,-1
296,828,-1
656,829,-1
189,830,-1
263,831,-1
228,832,-1
435,833,-1
675,834,-1
830,835,-1
130,836,-1
354,837,-1
748,838,-1
632,839,-1
214,840,-1
325,841,-1
607,842,-1
392,843,-1
675,844,-1
535,845,-1
691,846,-1
660,360,-1
520,573,-1
703,847,-1
727,848,-1
317,849,-1
508,850,-1
489,851,-1
708,852,-1
777,853,-1
54,854,-1
196,855,-1
765,856,-1
701,857,-1
580,858,-1
783,61,-1
801,64,-1
688,859,-1
621,360,-1
110,860,-1
367,278,-1
604,861,-1
565,862,-1
788,793,-1
838,863,-1
514,864,-1
342,865,-1
414,866,-1
131,867,-1
417,868,-1
373,869,-1
213,870,-1
533,871,-1
424,872,-1
87,873,-1
419,874,-1
580,875,-1
532,876,-1
594,877,-1
514,878,-1
489,879,-1
642,880,-1
607,881,-1
431,882,-1
496,883,-1
279,884,-1
76,885,-1
339,886,-1
269,887,-1
8,888,-1
634,889,-1
501,890,-1
675,891,-1
750,892,-1
606,893,-1
656,894,-1
563,895,-1
621,896,-1
586,897,-1
811,898,-1
794,899,-1
532,900,-1
300,901,-1
532,902,-1
417,903,-1
766,904,-1
613,905,-1
557,906,-1
356,907,-1
420,908,-1
685,909,-1
564,910,-1
407,911,-1
224,912,-1
521,913,-1
779,914,-1
80,915,-1
687,916,-1
395,917,-1
419,918,-1
29,919,-1
271,920,-1
166,921,-1
181,922,-1
140,923,-1
389,924,-1
115,925,-1
64,926,-1
96,927,-1
69,928,-1
795,929,-1
583,542,-1
45,930,-1
674,931,-1
94,932,-1
767,933,-1
807,934,-1
711,935,-1
380,936,-1
153,937,-1
779,938,-1
645,939,-1
430,940,-1
414,941,-1
834,942,-1
756,943,-1
645,944,-1
264,945,-1
615,946,-1
388,947,-1
691,948,-1
626,949,-1
648,950,-1
120,547,-1
67,951,-1
647,952,-1
522,953,-1
692,954,-1
470,955,-1
479,956,-1
479,957,-1
422,958,-1
182,959,-1
685,960,-1
720,961,-1
545,962,-1
658,963,-1
111,964,-1
47,965,-1
147,966,-1
782,967,-1
689,968,-1
588,969,-1
388,970,-1
112,971,-1
66,972,-1
40,973,-1
44,974,-1
646,975,-1
193,976,-1
413,977,-1
322,978,-1
174,979,-1
266,980,-1
