RNA,protein,label
0,0,1
1,1,1
1,6,1
1,15,1
1,19,1
1,21,1
2,2,1
2,3,1
2,5,1
2,7,1
2,13,1
2,16,1
2,17,1
3,4,1
3,11,1
3,18,1
4,8,1
4,20,1
5,9,1
5,10,1
6,12,1
6,14,1
7,22,1
8,23,1
8,25,1
8,28,1
9,24,1
10,26,1
10,27,1
11,29,1
11,30,1
12,31,1
13,32,1
14,33,1
15,34,1
15,35,1
15,36,1
15,38,1
15,39,1
15,40,1
16,37,1
17,41,1
18,42,1
18,43,1
19,44,1
19,49,1
19,57,1
19,59,1
19,71,1
19,76,1
19,77,1
20,45,1
20,67,1
21,46,1
21,56,1
21,74,1
22,47,1
22,52,1
22,53,1
22,72,1
23,48,1
23,50,1
23,54,1
23,55,1
23,63,1
24,51,1
24,62,1
24,69,1
24,73,1
25,58,1
26,60,1
26,65,1
26,68,1
27,61,1
27,64,1
27,78,1
28,66,1
28,70,1
28,75,1
28,79,1
29,80,1
29,81,1
29,87,1
30,82,1
31,83,1
31,89,1
32,84,1
32,85,1
32,86,1
32,88,1
33,90,1
34,91,1
35,92,1
36,93,1
37,94,1
38,95,1
38,96,1
39,97,1
39,98,1
39,99,1
39,100,1
39,101,1
39,102,1
39,103,1
39,104,1
39,105,1
39,106,1
39,107,1
39,108,1
39,109,1
39,110,1
39,111,1
39,112,1
39,113,1
39,114,1
39,115,1
39,116,1
40,117,1
40,120,1
41,118,1
41,122,1
42,119,1
42,121,1
43,123,1
44,124,1
45,125,1
46,126,1
47,127,1
48,128,1
49,22,1
50,129,1
51,130,1
52,131,1
53,132,1
53,134,1
53,135,1
53,137,1
54,133,1
54,136,1
54,138,1
54,139,1
55,140,1
56,141,1
57,142,1
57,143,1
57,152,1
57,159,1
57,163,1
57,164,1
57,166,1
57,167,1
57,174,1
58,144,1
58,147,1
58,150,1
58,155,1
58,156,1
58,161,1
58,169,1
59,145,1
59,149,1
59,153,1
59,165,1
59,168,1
60,146,1
60,148,1
60,162,1
60,170,1
60,171,1
61,151,1
61,154,1
61,157,1
61,172,1
62,158,1
62,160,1
62,173,1
63,175,1
64,176,1
65,177,1
65,180,1
66,145,1
67,178,1
67,184,1
67,186,1
68,179,1
68,185,1
69,181,1
70,182,1
71,183,1
72,187,1
73,188,1
74,189,1
75,190,1
76,191,1
77,192,1
77,193,1
77,194,1
78,195,1
78,196,1
78,201,1
78,202,1
78,206,1
78,209,1
78,211,1
78,213,1
78,214,1
78,215,1
78,217,1
78,219,1
78,221,1
78,224,1
79,197,1
79,198,1
79,199,1
79,200,1
79,203,1
79,204,1
79,205,1
79,207,1
79,208,1
79,210,1
79,212,1
79,216,1
79,218,1
79,220,1
79,222,1
79,223,1
80,225,1
81,226,1
82,227,1
83,228,1
84,229,1
84,230,1
84,231,1
84,232,1
84,233,1
84,234,1
84,235,1
85,236,1
86,237,1
87,238,1
88,239,1
88,240,1
88,241,1
88,242,1
88,243,1
89,244,1
89,245,1
89,246,1
89,247,1
89,248,1
89,249,1
89,250,1
89,251,1
89,252,1
89,253,1
89,254,1
89,255,1
89,256,1
89,257,1
89,258,1
89,259,1
90,260,1
90,261,1
90,262,1
91,263,1
92,264,1
93,265,1
93,266,1
93,267,1
93,270,1
94,268,1
95,269,1
96,271,1
96,272,1
96,273,1
96,274,1
96,275,1
96,276,1
96,277,1
96,278,1
97,279,1
98,280,1
99,281,1
100,282,1
101,283,1
102,284,1
103,285,1
104,202,1
104,219,1
104,286,1
104,287,1
104,288,1
105,289,1
105,290,1
105,291,1
106,292,1
107,293,1
107,296,1
107,297,1
107,300,1
107,302,1
107,305,1
107,311,1
107,317,1
107,326,1
108,294,1
108,295,1
108,304,1
108,309,1
108,313,1
108,314,1
108,315,1
108,318,1
108,319,1
108,320,1
108,322,1
108,324,1
108,325,1
109,298,1
109,299,1
109,301,1
109,303,1
109,306,1
109,307,1
109,308,1
109,310,1
109,312,1
109,316,1
109,321,1
109,323,1
110,327,1
110,328,1
110,329,1
110,330,1
110,331,1
110,332,1
111,333,1
111,334,1
112,335,1
112,336,1
113,337,1
114,338,1
115,339,1
116,340,1
116,341,1
116,342,1
116,343,1
116,344,1
116,345,1
116,346,1
116,347,1
116,348,1
116,349,1
116,350,1
116,351,1
116,352,1
116,353,1
116,354,1
116,355,1
116,356,1
116,357,1
116,358,1
116,359,1
117,360,1
118,361,1
119,362,1
120,363,1
121,22,1
122,364,1
122,365,1
123,366,1
124,367,1
125,368,1
126,369,1
127,370,1
128,22,1
129,371,1
129,372,1
130,373,1
131,374,1
132,375,1
133,376,1
133,377,1
134,378,1
135,379,1
135,380,1
135,419,1
135,431,1
136,381,1
136,405,1
136,409,1
137,382,1
137,388,1
137,392,1
138,383,1
138,387,1
138,390,1
138,395,1
138,402,1
138,406,1
139,384,1
139,391,1
139,424,1
139,427,1
140,186,1
140,385,1
140,408,1
140,412,1
140,426,1
140,430,1
141,386,1
141,400,1
141,407,1
142,389,1
142,404,1
142,418,1
143,393,1
143,397,1
143,401,1
143,429,1
144,394,1
144,411,1
144,415,1
144,417,1
145,396,1
146,398,1
146,399,1
146,413,1
146,420,1
146,421,1
146,422,1
146,428,1
147,403,1
148,410,1
149,414,1
149,416,1
149,423,1
149,425,1
150,289,1
150,290,1
150,432,1
150,433,1
150,434,1
150,435,1
150,436,1
150,437,1
150,438,1
150,439,1
150,440,1
150,441,1
150,442,1
150,443,1
150,444,1
150,445,1
150,446,1
150,447,1
150,448,1
150,449,1
150,450,1
150,451,1
150,452,1
150,453,1
150,454,1
150,455,1
150,456,1
151,457,1
152,458,1
153,459,1
153,463,1
153,466,1
153,475,1
153,480,1
153,485,1
153,487,1
154,460,1
154,465,1
154,468,1
154,471,1
154,472,1
154,473,1
154,474,1
154,476,1
154,478,1
154,486,1
154,488,1
155,461,1
155,462,1
155,464,1
155,469,1
155,470,1
155,481,1
155,483,1
156,467,1
156,477,1
156,479,1
156,482,1
156,484,1
157,489,1
158,490,1
158,498,1
158,513,1
158,523,1
159,491,1
159,497,1
159,504,1
159,506,1
159,508,1
159,514,1
160,492,1
160,493,1
160,495,1
160,500,1
160,505,1
160,509,1
161,494,1
161,501,1
161,507,1
161,517,1
161,518,1
162,496,1
162,519,1
162,521,1
162,522,1
163,499,1
163,502,1
163,503,1
163,510,1
163,515,1
163,516,1
163,520,1
164,511,1
164,512,1
165,524,1
166,525,1
167,526,1
168,527,1
169,528,1
170,529,1
171,530,1
172,531,1
173,532,1
174,533,1
175,534,1
175,535,1
176,536,1
177,537,1
178,538,1
178,539,1
179,540,1
180,541,1
181,542,1
182,543,1
183,544,1
184,545,1
185,546,1
186,547,1
187,548,1
188,549,1
189,550,1
190,551,1
190,552,1
190,553,1
190,557,1
190,558,1
190,560,1
190,564,1
190,565,1
190,570,1
191,554,1
191,555,1
191,556,1
191,559,1
191,561,1
191,562,1
191,563,1
191,566,1
191,567,1
191,568,1
191,569,1
192,571,1
193,572,1
194,573,1
195,574,1
196,277,1
196,575,1
197,576,1
198,577,1
198,583,1
198,585,1
198,589,1
198,601,1
199,121,1
199,578,1
199,579,1
199,586,1
199,590,1
199,594,1
199,595,1
199,596,1
199,605,1
199,607,1
200,580,1
200,581,1
200,582,1
200,584,1
200,588,1
200,593,1
200,597,1
201,587,1
201,591,1
201,592,1
201,598,1
201,599,1
201,600,1
201,602,1
201,603,1
201,604,1
201,606,1
202,124,1
203,608,1
203,610,1
203,617,1
203,623,1
204,609,1
205,611,1
205,621,1
206,612,1
207,613,1
208,614,1
209,615,1
209,626,1
210,616,1
210,620,1
211,618,1
212,619,1
213,622,1
213,628,1
214,624,1
215,625,1
215,627,1
216,629,1
217,630,1
218,631,1
218,632,1
219,633,1
219,635,1
219,639,1
219,641,1
219,642,1
219,643,1
219,649,1
219,650,1
219,651,1
220,634,1
220,636,1
220,637,1
220,638,1
220,640,1
220,644,1
220,645,1
220,646,1
220,647,1
220,648,1
220,652,1
221,653,1
221,654,1
222,655,1
223,656,1
224,657,1
224,658,1
225,659,1
226,660,1
226,661,1
226,662,1
226,663,1
226,664,1
226,665,1
226,666,1
226,667,1
226,668,1
226,669,1
226,670,1
226,671,1
226,672,1
226,673,1
226,674,1
226,675,1
226,676,1
226,677,1
226,678,1
227,679,1
227,689,1
227,691,1
227,697,1
228,680,1
228,712,1
229,681,1
229,725,1
230,541,1
230,692,1
230,693,1
230,714,1
231,682,1
232,683,1
233,684,1
233,695,1
233,721,1
234,685,1
234,713,1
235,686,1
235,700,1
235,724,1
236,687,1
237,688,1
238,690,1
238,699,1
238,708,1
238,709,1
239,694,1
239,718,1
240,696,1
241,698,1
241,701,1
241,715,1
242,702,1
242,722,1
243,703,1
243,720,1
244,704,1
244,710,1
244,719,1
245,705,1
245,706,1
246,707,1
247,711,1
247,716,1
248,717,1
249,723,1
250,726,1
251,727,1
252,728,1
253,729,1
253,730,1
254,327,1
254,328,1
254,329,1
254,330,1
254,331,1
254,332,1
254,731,1
254,732,1
254,733,1
254,734,1
254,735,1
254,736,1
254,737,1
254,738,1
254,739,1
254,740,1
254,741,1
254,742,1
254,743,1
254,744,1
255,745,1
256,746,1
257,747,1
257,748,1
258,749,1
259,750,1
260,751,1
261,130,1
262,752,1
263,753,1
264,754,1
265,755,1
266,756,1
267,757,1
268,758,1
269,759,1
269,760,1
269,761,1
269,762,1
269,763,1
270,764,1
271,765,1
271,766,1
272,767,1
273,768,1
274,769,1
275,770,1
276,771,1
276,773,1
277,772,1
277,774,1
278,775,1
279,776,1
279,777,1
279,778,1
279,779,1
279,780,1
279,781,1
279,782,1
280,783,1
280,784,1
281,785,1
281,787,1
281,789,1
282,786,1
282,788,1
282,790,1
283,791,1
284,792,1
285,793,1
286,794,1
287,795,1
288,796,1
289,797,1
289,798,1
289,799,1
289,800,1
289,801,1
289,802,1
289,803,1
289,804,1
289,805,1
289,806,1
289,807,1
289,808,1
289,809,1
289,810,1
289,811,1
289,812,1
290,813,1
291,814,1
292,815,1
293,816,1
293,818,1
293,822,1
293,823,1
293,825,1
293,827,1
293,830,1
293,831,1
293,832,1
293,841,1
293,842,1
293,843,1
293,844,1
293,845,1
293,846,1
294,817,1
294,819,1
294,820,1
294,821,1
294,824,1
294,826,1
294,828,1
294,829,1
294,833,1
294,834,1
294,835,1
294,836,1
294,837,1
294,838,1
294,839,1
294,840,1
295,360,1
296,573,1
297,847,1
298,848,1
299,849,1
300,850,1
300,851,1
301,852,1
302,853,1
303,854,1
304,855,1
304,857,1
305,856,1
306,61,1
306,64,1
306,858,1
306,859,1
307,278,1
307,360,1
307,860,1
308,861,1
308,862,1
309,793,1
310,863,1
311,864,1
311,868,1
311,872,1
311,873,1
311,880,1
311,882,1
311,883,1
311,885,1
311,890,1
312,865,1
312,866,1
312,867,1
312,870,1
312,881,1
312,886,1
312,888,1
313,869,1
313,874,1
313,884,1
313,889,1
314,871,1
314,877,1
314,878,1
314,891,1
314,894,1
315,875,1
315,876,1
315,879,1
315,887,1
315,892,1
315,893,1
316,895,1
317,896,1
317,897,1
317,898,1
317,901,1
317,905,1
317,907,1
317,909,1
317,910,1
317,912,1
317,914,1
317,915,1
318,899,1
318,900,1
318,902,1
318,903,1
318,904,1
318,906,1
318,908,1
318,911,1
318,913,1
319,916,1
320,917,1
320,918,1
320,922,1
321,919,1
321,920,1
322,921,1
323,923,1
323,924,1
323,928,1
324,925,1
324,944,1
324,947,1
324,956,1
325,926,1
325,950,1
326,927,1
326,937,1
326,945,1
326,961,1
327,929,1
328,542,1
328,942,1
329,930,1
329,938,1
330,931,1
330,941,1
330,957,1
330,958,1
330,960,1
331,932,1
331,943,1
332,933,1
332,936,1
332,959,1
333,934,1
333,949,1
334,935,1
334,946,1
335,547,1
335,939,1
335,954,1
336,940,1
336,951,1
336,952,1
337,948,1
337,953,1
338,955,1
339,962,1
339,966,1
339,972,1
339,976,1
339,981,1
339,983,1
340,963,1
340,968,1
340,970,1
340,974,1
340,979,1
340,984,1
341,964,1
341,965,1
341,973,1
341,980,1
341,982,1
341,985,1
341,986,1
342,967,1
342,969,1
342,971,1
342,975,1
342,977,1
342,978,1
343,987,1
344,98,1
344,102,1
344,103,1
344,104,1
344,115,1
344,116,1
345,988,1
345,989,1
346,990,1
347,991,1
347,992,1
348,993,1
349,994,1
350,995,1
350,996,1
350,997,1
350,998,1
350,999,1
350,1000,1
350,1001,1
351,1002,1
352,1003,1
352,1004,1
353,1005,1
354,1006,1
355,1007,1
355,1008,1
355,1009,1
355,1010,1
355,1011,1
355,1012,1
355,1013,1
355,1014,1
355,1015,1
355,1016,1
355,1017,1
355,1018,1
355,1019,1
355,1020,1
355,1021,1
355,1022,1
355,1023,1
356,1024,1
357,1025,1
358,136,1
358,139,1
358,1026,1
359,1027,1
360,1028,1
361,1029,1
362,1030,1
363,1031,1
363,1032,1
363,1036,1
363,1042,1
364,1033,1
364,1050,1
364,1053,1
365,1034,1
365,1045,1
366,1035,1
367,1037,1
368,1038,1
369,1039,1
369,1058,1
370,1040,1
370,1061,1
371,1041,1
371,1067,1
372,1043,1
373,1044,1
374,1046,1
374,1059,1
375,1047,1
375,1062,1
375,1063,1
375,1065,1
376,1048,1
376,1057,1
376,1069,1
377,1049,1
378,1051,1
379,1052,1
379,1070,1
380,1054,1
381,1055,1
382,1056,1
383,1060,1
384,1064,1
385,1066,1
386,1068,1
387,1071,1
388,1072,1
389,1073,1
390,1074,1
391,1075,1
392,1076,1
393,792,1
394,1077,1
395,1078,1
396,1079,1
396,1080,1
396,1081,1
397,1082,1
397,1102,1
398,1083,1
398,1091,1
398,1099,1
398,1101,1
399,1084,1
399,1086,1
399,1090,1
399,1100,1
399,1108,1
400,1085,1
400,1087,1
400,1092,1
400,1093,1
400,1094,1
400,1095,1
400,1096,1
400,1106,1
400,1109,1
401,782,1
401,1088,1
401,1098,1
401,1104,1
402,1089,1
402,1103,1
402,1105,1
402,1107,1
403,1097,1
404,1110,1
405,1111,1
406,1112,1
406,1113,1
407,1114,1
407,1115,1
408,1116,1
409,1117,1
410,1118,1
411,1119,1
412,1120,1
412,1121,1
413,1122,1
414,238,1
415,271,1
415,277,1
415,278,1
415,360,1
415,860,1
415,1123,1
416,1124,1
417,1125,1
418,1126,1
419,1127,1
420,1128,1
420,1130,1
421,1129,1
422,1131,1
422,1132,1
423,1133,1
424,1134,1
425,1135,1
426,1136,1
427,1137,1
428,1138,1
429,1139,1
430,22,1
431,1140,1
432,1141,1
432,1142,1
432,1147,1
433,1143,1
433,1144,1
434,1145,1
435,1146,1
435,1148,1
436,1149,1
437,1150,1
