Protein	RNA
1drz_A	1drz_B
1vos_M	1vos_A
1vox_K	1vox_A
1vox_J	1vox_A
1voq_F	1voq_A
1vox_I	1vox_A
1vos_L	1vos_A
1vox_G	1vox_A
1vov_Q	1vov_A
1pns_R	1pns_A
1pns_T	1pns_A
1voq_N	1voq_A
1voz_Q	1voz_A
1vox_S	1vox_A
1voz_a	1voz_A
1vos_P	1vos_A
1vox_C	1vox_A
1vox_H	1vox_A
1voq_B	1voq_A
1vos_O	1vos_A
1vov_E	1vov_A
1vos_D	1vos_A
2om7_L	2om7_H
2wwb_A	2wwb_F
2wwa_N	2wwa_F
2wwb_K	2wwb_F
2ww9_O	2ww9_F
2ww9_I	2ww9_F
2wwb_J	2wwb_F
2r93_B	2r93_R
2r93_A	2r93_R
1vfg_A	1vfg_C
1emi_A	1emi_B
1jbt_A	1jbt_C
1pny_X	1pny_9
1pny_D	1pny_9
1pny_U	1pny_9
1pnu_K	1pnu_9
1pny_K	1pny_9
1pny_M	1pny_9
1pny_T	1pny_9
1ec6_B	1ec6_C
1f8v_C	1f8v_R
1f8v_E	1f8v_R
3i1t_N	3i1t_A
3i22_Q	3i22_A
3i1p_Z	3i1p_A
3e1b_Z	3e1b_B
2wwq_D	2wwq_B
3i1t_E	3i1t_A
2wwq_G	2wwq_B
3fik_F	3fik_B
3e1b_4	3e1b_B
3e1b_T	3e1b_B
2wwq_T	2wwq_B
2wwq_Y	2wwq_B
3i1p_D	3i1p_A
3i1t_L	3i1t_A
3i1n_I	3i1n_A
3i1t_M	3i1t_A
3e1d_Q	3e1d_B
3i1r_O	3i1r_A
3fik_R	3fik_B
2wwq_C	2wwq_B
3i1r_W	3i1r_A
3e1d_L	3e1d_B
3i20_1	3i20_A
3i22_X	3i22_A
3e1d_4	3e1d_B
3fik_U	3fik_B
3i20_J	3i20_A
3i1t_4	3i1t_A
3e1b_S	3e1b_B
3fik_5	3fik_B
3i1p_2	3i1p_A
3i20_V	3i20_A
3i1t_P	3i1t_A
3i1t_3	3i1t_A
3i1r_K	3i1r_A
3i20_X	3i20_A
3cw1_G	3cw1_V
3cw1_B	3cw1_V
3cw1_T	3cw1_w
3cw1_P	3cw1_v
3cw1_Y	3cw1_x
3cw1_2	3cw1_x
3cw1_5	3cw1_x
3cw1_K	3cw1_V
3cw1_J	3cw1_x
3cw1_9	3cw1_v
1hq1_A	1hq1_B
1dul_A	1dul_B
2nqp_C	2nqp_F
2az2_A	2az2_C
2hgh_A	2hgh_B
2r92_B	2r92_T
2r92_A	2r92_T
3i8h_P	3i8h_A
3i8h_N	3i8h_A
3i8h_M	3i8h_A
3i8h_I	3i8h_A
3i8h_L	3i8h_A
3i8h_F	3i8h_A
3i8h_O	3i8h_A
3i8h_J	3i8h_A
3i8h_W	3i8h_A
3i8h_Q	3i8h_A
3i8h_T	3i8h_A
3i8h_X	3i8h_A
3i8h_U	3i8h_A
3i8h_V	3i8h_A
3i8h_S	3i8h_A
3i8h_K	3i8h_A
3i8h_E	3i8h_A
3i8h_R	3i8h_A
3i8h_H	3i8h_A
3i8h_G	3i8h_A
3d5b_3	3d5b_B
3f1f_G	3f1f_B
3d5d_0	3d5d_B
3d5b_Q	3d5b_B
3d5d_S	3d5d_B
3f1f_S	3f1f_B
3f1h_Z	3f1h_B
2b2d_C	2b2d_S
2izn_A	2izn_R
1r3e_A	1r3e_E
2om7_K	2om7_J
3ks8_A	3ks8_F
2om7_L	2om7_F
1n32_L	1n32_Y
3bo1_A	3bo1_E
2b2e_C	2b2e_R
2wri_K	2wri_X
2xfz_C	2xfz_X
2wri_L	2wri_X
2wri_G	2wri_X
2xfz_Y	2xfz_X
2wri_Y	2wri_X
2xfz_E	2xfz_X
2xfz_D	2xfz_X
1ze2_B	1ze2_D
1ze2_A	1ze2_C
3kiy_R	3kiy_A
3kiy_U	3kiy_A
3kir_3	3kir_A
2xg0_G	2xg0_A
3kit_F	3kit_A
3kir_H	3kir_A
3kit_G	3kit_A
2xg0_5	2xg0_A
3kir_X	3kir_A
3kiw_0	3kiw_A
3kiy_E	3kiy_A
2xg0_P	2xg0_A
3kiw_Q	3kiw_A
3kir_2	3kir_A
3kir_S	3kir_A
3kiw_V	3kiw_A
2xg2_V	2xg2_A
3kiy_D	3kiy_A
2xg2_W	2xg2_A
3kir_6	3kir_A
3kit_I	3kit_A
3kiy_7	3kiy_A
3kiy_Y	3kiy_A
2xg0_N	2xg0_A
3kiy_J	3kiy_A
3kiy_9	3kiy_A
2xg0_C	2xg0_A
3kir_8	3kir_A
3kit_Z	3kit_A
3kit_T	3kit_A
3kiw_7	3kiw_A
2xg2_1	2xg2_A
3kiy_O	3kiy_A
3mum_P	3mum_R
3mur_P	3mur_R
3kni_3	3kni_B
2xg0_G	2xg0_B
2x9u_G	2x9u_B
2wdl_Q	2wdl_B
3kni_Q	3kni_B
2j01_0	2j01_B
2j03_Q	2j03_B
2wdj_S	2wdj_B
2x9u_S	2x9u_B
2wdl_0	2wdl_B
2x9u_0	2x9u_B
2xg2_4	2xg2_B
2wdi_Z	2wdi_B
1ibl_L	1ibl_Y
1x1l_X	1x1l_A
1rpu_B	1rpu_D
1pns_L	1pns_U
1pns_C	1pns_U
1pns_E	1pns_U
1vsp_L	1vsp_w
1vsp_O	1vsp_w
1vsa_X	1vsa_w
1vsa_D	1vsa_w
1vsa_F	1vsa_w
1vsa_E	1vsa_w
1vsp_Y	1vsp_w
1vsp_K	1vsp_w
1vsa_R	1vsa_w
1vsa_U	1vsa_w
1vsa_C	1vsa_w
1vsp_J	1vsp_w
1vsa_K	1vsa_w
1vsa_W	1vsa_w
1vsp_M	1vsp_w
1vsa_P	1vsa_w
1vsp_B	1vsp_w
1vsa_Q	1vsa_w
1vsp_G	1vsp_w
1vsp_S	1vsp_w
1vsp_H	1vsp_w
1vsa_b	1vsa_w
1vsp_A	1vsp_w
1vsa_a	1vsa_w
1vsp_T	1vsp_w
1vsa_N	1vsa_w
1vsp_Z	1vsp_w
1vsa_V	1vsa_w
1vsa_H	1vsa_w
1vsp_I	1vsp_w
2zh4_A	2zh4_B
1trj_A	1trj_C
2ply_A	2ply_C
1wsu_A	1wsu_G
3e1c_C	3e1c_M
3e1c_O	3e1c_M
3e1c_D	3e1c_M
3e1c_U	3e1c_M
3e1c_Q	3e1c_M
3e1c_S	3e1c_M
3e1c_R	3e1c_M
1urn_C	1urn_R
2zh3_A	2zh3_B
2jpp_B	2jpp_D
2qnh_n	2qnh_3
2qnh_l	2qnh_3
2qnh_m	2qnh_3
2qnh_h	2qnh_3
2qnh_s	2qnh_3
3iy9_S	3iy9_A
3iy9_Q	3iy9_A
3iy9_Y	3iy9_A
3iy9_B	3iy9_A
3iy9_T	3iy9_A
3iy9_C	3iy9_A
3iy9_L	3iy9_A
3iy9_G	3iy9_A
3iy9_R	3iy9_A
3iy9_M	3iy9_A
3iy9_I	3iy9_A
3iy9_N	3iy9_A
3iy9_J	3iy9_A
3iy9_D	3iy9_A
3iy9_O	3iy9_A
3iy9_K	3iy9_A
2wrn_M	2wrn_Y
2wrn_L	2wrn_Y
2wrn_Z	2wrn_Y
3cz3_A	3cz3_E
1mvr_O	1mvr_B
2zjr_W	2zjr_Y
2zjr_D	2zjr_Y
2zjr_T	2zjr_Y
3cf5_J	3cf5_Z
3dll_L	3dll_Z
2zjr_S	2zjr_Y
2zkr_t	2zkr_1
2zkr_v	2zkr_1
2zkr_s	2zkr_1
2zkr_3	2zkr_1
2zkr_r	2zkr_1
2zkr_2	2zkr_1
2zkr_m	2zkr_1
2zkr_c	2zkr_1
2cv1_B	2cv1_D
3bo0_A	3bo0_G
3bo1_B	3bo1_G
3cz3_B	3cz3_G
1aq4_C	1aq4_S
2c4y_C	2c4y_S
3dh3_B	3dh3_F
1vsp_X	1vsp_x
1vsp_E	1vsp_x
1vsp_K	1vsp_x
1vsp_U	1vsp_x
3i9e_P	3i9e_B
3i9e_Q	3i9e_B
3i9e_4	3i9e_B
1vsp_T	1vsp_x
1fje_B	1fje_A
3mrz_N	3mrz_A
3fin_U	3fin_A
3fin_3	3fin_A
3mrz_E	3mrz_A
3mrz_G	3mrz_A
3ms1_F	3ms1_A
3ms1_2	3ms1_A
3mrz_T	3mrz_A
3ms1_W	3ms1_A
3mrz_D	3mrz_A
3ms1_L	3ms1_A
3fin_L	3fin_A
3mrz_M	3mrz_A
