RNA names,Protein names,Labels
AC005586.2,Q01844,1
AC007639.1,Q01844,1
AC013402.2,Q01844,1
AC016205.1,Q01844,1
AC016251.2,Q01844,1
AC020911.1,Q01844,1
AC025171.1,Q01844,1
AC026462.2,Q01844,1
AC091047.1,Q01844,1
AC097532.1,Q01844,1
AL354696.2,Q01844,1
AL359220.1,Q01844,1
AL671710.1,Q01844,1
AP003486.1,Q01844,1
BCAR4,Q01844,1
BCAR4,Q96QC0,1
BCAR4,Q8TAD8,1
CDKN2B-AS1,O95931,1
CDKN2B-AS1,Q15022,1
GAS5,Q01844,1
H19,B1AKI9,1
H19,Q00839,1
HEIH,Q15910,1
HOTAIR,Q15365,1
HOTAIR,O60341,1
HOTAIR,Q15022,1
HOTAIR,Q15910,1
HOTTIP,P31269,1
HOTTIP,P61964,1
HOTTIP,Q03164,1
MALAT1,Q01844,1
MALAT1,P23246,1
MALAT1,O15042,1
MALAT1,Q15233,1
MEG3,P04637,1
NEAT1,Q01844,1
NEAT1,P51532,1
NEAT1,P51531,1
NEAT1,P23246,1
NEAT1,Q15233,1
NEAT1,Q8WXF1,1
PVT1,Q01844,1
SNHG1,Q01844,1
SNHG10,Q01844,1
SNHG11,Q01844,1
SNHG12,Q01844,1
SNHG5,Q01844,1
MALAT1,Q03518,1
MALAT1,Q13070,1
KCNQ1OT1,P49918,1
H19,P01344,1
XIST,Q9UBU9,1
XIST,Q00839,1
TERC,O14746,1
CDKN2B-AS1,P42224,1
MALAT1,Q13242,1
MALAT1,Q16629,1
MALAT1,Q13247,1
MALAT1,Q08170,1
MALAT1,P84103,1
MALAT1,Q01130,1
MALAT1,Q05519,1
MALAT1,Q07955,1
MALAT1,Q14790,1
MALAT1,P42574,1
MALAT1,P10415,1
MALAT1,Q07812,1
HIF1A-AS2,Q16665,1
AIRN,Q96KQ7,1
PINK1-AS,Q9BXM7,1
UCA1,P16220,1
UCA1,P31749,1
PCA3,Q92597,1
PCA3,P07288,1
PCA3,P55075,1
PCA3,P06493,1
XIST,P38398,1
GAS5,P42345,1
PANDAR,P23511,1
H19,O76093,1
H19,P03950,1
MIR17HG,P01106,1
MEG3,Q00987,1
MEG3,Q99988,1
MEG3,Q8TEY5,1
MALAT1,O94906,1
TERC,P12004,1
HOTAIR,O75530,1
HOTAIR,P28358,1
H19,P01106,1
H19,Q01094,1
SOX2-OT,P48431,1
