pred,label
-0.72930706,-1
0.42444402,1
0.68120337,1
0.11835706,-1
0.6985983,1
-0.38932192,-1
-0.8082872,-1
-0.7230967,-1
0.55851185,1
0.43783155,1
-0.47298592,-1
0.60117215,1
0.5543318,1
-0.047769457,-1
-0.5001601,-1
-0.50268286,-1
-0.7225724,-1
-0.25712955,-1
-0.75052834,-1
-0.75713235,-1
0.26421842,1
-0.4137366,-1
0.40382734,1
0.66569877,1
0.01990664,-1
0.61901295,1
-0.48780432,-1
0.5256908,1
0.16111293,1
0.09204388,1
-0.70596874,-1
-0.7117813,-1
-0.7675966,-1
-0.7652643,-1
-0.75299454,-1
0.45096335,1
-0.2514753,-1
0.5182766,1
-0.44444886,-1
0.6762899,1
-0.74448836,-1
-0.7531187,-1
-0.7556287,-1
0.6944165,1
-0.4013169,-1
0.38831046,1
-0.44292924,-1
0.5499673,1
-0.026499629,-1
0.37584206,1
-0.72698545,-1
-0.7651385,-1
-0.7395406,-1
-0.48487428,-1
0.6668117,1
0.70992076,1
-0.25006437,-1
0.09842923,1
0.009340614,-1
0.5507667,1
0.5829595,1
0.40581176,1
-0.80612755,-1
-0.24833497,-1
0.4248751,1
-0.49554795,-1
0.5617735,1
0.6318352,1
0.09298679,1
-0.7572458,-1
-0.031903923,-1
-0.7557819,-1
0.42806017,1
0.5548422,1
0.11415759,1
-0.733938,-1
0.052951634,1
-0.39626512,-1
0.7077935,1
0.50162053,1
0.68594146,1
0.47303122,1
-0.74319386,-1
-0.42016587,-1
0.38848168,1
0.11219147,1
0.62545526,1
0.24110314,1
-0.07711479,-1
0.53772527,1
-0.43484512,-1
0.49474773,1
0.669296,1
-0.41006967,-1
-0.2555419,-1
-0.74268943,-1
0.489959,1
-0.77694756,-1
-0.7607071,-1
-0.13600984,-1
0.5336548,1
-0.41009092,-1
0.5067374,1
-0.4117744,-1
-0.03482932,-1
0.33556867,1
0.690199,1
0.49212897,1
0.67512244,1
0.43695617,1
-0.78097713,-1
-0.4396738,-1
-0.3993256,-1
-0.059850812,-1
-0.4702278,-1
-0.75583905,-1
0.6651443,1
0.66292584,1
0.30168205,1
-0.41484958,-1
-0.44780824,-1
0.6945001,1
0.63868785,1
-0.7437514,-1
0.43340787,1
-0.18455884,-1
0.25066888,1
0.60891116,1
-0.71279097,-1
0.5100801,1
0.5958315,1
-0.40353838,-1
0.48719323,1
-0.04864183,-1
0.46076953,1
0.53895897,1
-0.40637365,-1
0.048642427,-1
0.09793043,-1
-0.027163804,-1
-0.48697013,-1
-0.79049885,-1
0.030962199,1
0.5657728,1
-0.75923043,-1
-0.71879846,-1
-0.48963627,-1
0.6774047,1
0.5045352,1
-0.7475906,-1
0.34491432,1
-0.032666445,-1
0.030675143,-1
-0.45902103,-1
0.6834598,1
0.66349983,1
0.66951686,1
-0.789526,-1
0.34268045,1
0.07577026,1
0.6318552,1
-0.7735683,-1
0.12169585,1
0.40790108,1
0.6458255,1
-0.69427985,-1
0.50342023,1
0.63035476,1
0.4334845,1
0.66728985,1
-0.25853702,-1
-0.7699746,-1
-0.7098054,-1
0.5338354,1
-0.44417137,-1
-0.7590071,-1
0.11492208,-1
0.43854487,1
0.11913094,1
-0.07643798,-1
0.10719505,-1
0.2319892,-1
0.6933005,1
0.010216504,-1
0.5377917,1
0.15855333,1
0.6853444,1
0.5996329,1
0.11326298,1
-0.498358,-1
0.13414812,1
0.3700748,1
-0.4083283,-1
0.08547798,1
0.43219548,1
-0.19022155,-1
-0.20067641,-1
0.6976616,1
-0.42497012,-1
0.18173328,1
0.010061473,1
-0.4367812,-1
0.5667141,1
-0.41671103,-1
