pred,label
0.17635152,1
0.18200332,1
0.30170432,1
0.2848936,1
-0.21852863,-1
-0.23526594,-1
-0.4112518,-1
0.03546542,1
-0.2945602,-1
-0.3912003,-1
0.32078233,1
0.1721217,1
-0.1521442,-1
0.030588418,1
-0.042057514,1
-0.42669383,-1
-0.4619727,-1
-0.053721517,-1
-0.029634207,-1
-0.047201544,-1
-0.224071,-1
0.07724437,1
0.025324404,1
0.0015084147,1
-0.21796522,-1
-0.29846343,-1
-0.4245965,-1
-0.006176889,-1
0.21896505,1
-0.14178854,-1
0.25742742,1
0.21613482,1
0.007822663,-1
-0.41877365,-1
-0.4650881,-1
0.30612305,1
-0.44233653,-1
-0.22590312,-1
0.18572986,1
-0.00549525,-1
0.111795664,1
-0.38028324,-1
0.18248507,1
-0.33699346,-1
0.009813935,1
-0.46026978,-1
0.16953039,1
-0.426271,-1
-0.10657543,-1
0.2958735,1
0.24680775,1
0.2314041,1
0.30327702,1
0.3319529,1
-0.47467348,-1
0.15609732,1
0.18918121,1
0.21562806,1
0.0015451908,1
-0.30395365,-1
-0.4510547,-1
0.252072,1
-0.22606814,-1
-0.44573522,-1
0.22538853,1
0.15577173,1
0.08024335,1
-0.045961946,1
-0.05971858,-1
0.25961137,1
-0.20556828,-1
0.039359123,1
-0.40701842,-1
0.3049856,1
0.07395023,1
0.29290402,1
-0.3033792,-1
-0.38770822,-1
-0.4459668,-1
-0.4629797,-1
-0.24101183,-1
-0.14326608,-1
0.23033312,1
0.26466465,1
-0.056247562,-1
0.2270585,1
-0.22581005,-1
0.26079616,1
-0.006294191,-1
0.27267256,1
-0.21564004,-1
0.24833333,1
0.04268837,1
0.2139886,1
-0.4632964,-1
0.23435548,1
0.30805954,1
-0.4097615,-1
-0.3935595,-1
0.20902991,1
0.18907821,1
-0.46252486,-1
0.2253122,1
-0.13989776,-1
0.16704106,1
-0.0066682994,-1
0.21291831,1
-0.4071192,-1
0.029940844,1
0.1745416,1
0.30868623,1
-0.4601859,-1
0.3264108,1
-0.3084884,-1
0.060387433,-1
0.317869,1
-0.31330064,-1
0.16763747,1
0.028325766,1
-0.24430701,-1
0.31283274,1
-0.46044374,-1
0.31646287,1
0.065036535,-1
-0.050806373,-1
0.31375775,1
-0.43657106,-1
0.20515597,1
-0.44662157,-1
0.3079151,1
-0.22994426,-1
