pred,label
0.9998081,1
-0.916975,-1
0.9953464,1
0.99998766,1
0.9960277,1
-0.99994224,-1
-0.9711745,-1
0.99999434,1
0.9994885,1
-0.99998736,-1
-0.96315813,-1
-0.99999946,-1
-0.46780208,1
-0.9999915,-1
-0.9999382,-1
0.9999952,1
0.9999967,1
-0.9996817,-1
-0.9873077,-1
0.99999356,1
0.9997995,1
-0.9816915,-1
0.99995565,1
0.9976173,1
-0.9999395,-1
0.99999857,1
-0.9991974,-1
0.9999996,1
0.98419154,1
0.99979454,1
0.99997926,1
0.9999664,1
-0.996136,-1
0.99973655,1
-0.9909852,-1
-0.9999984,-1
-0.99964255,-1
0.99999934,1
-0.98253566,-1
-0.99713236,-1
-0.999988,-1
0.9999867,1
-0.6317887,-1
-0.999969,-1
0.99996775,1
0.9999911,1
0.99998045,1
0.9999376,1
-0.9999926,-1
-0.99998516,-1
-0.99999744,-1
-0.99990565,-1
-0.9998633,-1
0.9999997,1
0.99999934,1
0.9945406,1
-0.99981284,-1
0.999995,1
-0.99884266,-1
0.9997091,1
-0.999994,-1
0.99999785,1
0.4131619,1
-0.9999967,-1
0.7828244,1
-0.99997956,-1
0.98925793,1
-0.9999757,-1
-0.99983454,-1
-0.992332,-1
0.97635335,1
0.9999756,1
-0.98349595,-1
-0.9994029,-1
-0.99259764,-1
-0.999984,-1
-0.99999493,-1
-0.9999993,-1
0.9999916,1
-0.9796643,-1
0.9999931,1
-0.9999787,-1
0.99999505,1
-0.9998937,-1
-0.9998872,-1
-0.9999807,-1
0.99988127,1
0.7755083,1
0.99974686,1
0.9999995,1
-0.998256,-1
-0.99957263,-1
0.9999919,1
-0.9966321,-1
-0.99999905,-1
0.9999809,1
-0.9999664,-1
0.99993056,1
0.9999938,1
-0.99853504,-1
-0.9660386,-1
-0.9997688,-1
0.9999685,1
0.9998198,1
-0.9999645,-1
-0.9745825,-1
-0.9999697,-1
-0.999991,-1
-0.9829755,-1
-0.9959841,-1
-0.9999795,-1
-0.9283151,-1
-0.9959928,-1
0.99999523,1
-0.9999788,-1
-0.9999945,-1
0.9999803,1
-0.99825966,-1
-0.95412815,-1
0.99997926,1
0.9999714,1
0.99998015,1
0.99996233,1
0.9998517,1
-0.9999948,-1
0.47916192,1
-0.9999961,-1
0.99999714,1
-0.99943435,-1
0.9876454,1
0.99999523,1
0.9999992,1
0.99965227,1
0.9999223,1
0.9999821,1
-0.99968916,-1
-0.99999976,-1
-0.998766,-1
-0.9996825,-1
-0.999764,-1
0.9415054,1
0.9999786,1
-0.9997859,-1
-0.99996907,-1
-0.9997228,-1
-0.90473974,-1
-0.99999833,-1
-0.9987007,-1
-0.9999955,-1
-0.98993057,-1
-0.9830104,-1
-0.99993205,-1
-0.9999905,-1
-0.9999071,-1
0.9994217,1
-0.9949419,-1
0.99999547,1
-0.8337734,-1
-0.9999916,-1
0.9999744,1
0.9999452,1
0.9907485,1
-0.9999945,-1
-0.99969095,-1
-0.9996663,-1
-0.99994373,-1
0.9990518,1
0.9999917,1
-0.79480445,-1
-0.99847126,-1
-0.9998649,-1
-0.8866763,-1
0.99998635,1
0.9961921,1
0.99999833,1
-0.88916975,-1
-0.9689139,-1
0.99998355,1
-0.8742883,-1
0.9999967,1
-0.9969515,-1
0.9923889,1
-0.99998856,-1
0.9915324,1
-0.9998694,-1
-0.9999964,-1
-0.99994016,-1
-0.99981785,-1
-0.9999945,-1
0.99998456,1
-0.9998122,-1
0.9999059,1
-0.9995369,-1
0.99998456,1
-0.9995276,-1
0.99991184,1
0.9999879,1
0.99739033,1
-0.9999654,-1
-0.9999388,-1
0.99998194,1
-0.99999696,-1
-0.99615127,-1
-0.99995255,-1
0.9999929,1
-0.99979645,-1
0.9999914,1
0.9999945,1
0.9999745,1
-0.99998957,-1
-0.9994093,-1
-0.99992865,-1
-0.999825,-1
-0.9983396,-1
-0.9915061,-1
0.9954501,1
-0.9994027,-1
0.9999871,1
0.9992505,1
-0.99980503,-1
-0.999996,-1
-0.999586,-1
-0.9999365,-1
-0.99997944,-1
0.9683768,1
-0.99996567,-1
-0.99998903,-1
-0.8664082,-1
-0.9999859,-1
-0.9987391,-1
-0.999914,-1
0.9999251,1
0.99999905,1
-0.9998603,-1
-0.99998903,-1
-0.999849,-1
-0.99205893,-1
0.99999166,1
-0.986676,-1
0.99999905,1
0.99997544,1
0.9587868,1
0.99863505,1
0.9999335,1
-0.99999195,-1
0.9999661,1
0.9998112,1
-0.9999526,-1
-0.999896,-1
0.995139,1
0.99995065,1
0.99996597,1
-0.97517014,-1
0.99999326,1
-0.999942,-1
-0.99920064,-1
0.99999386,1
0.9990304,1
0.99983436,1
-0.99996805,-1
0.99807113,1
0.99968106,1
0.9998824,1
-0.9996086,-1
-0.99999857,-1
-0.507202,-1
-0.6570243,-1
-0.99907374,-1
-0.9999726,-1
0.99999887,1
0.9998844,1
-0.9998942,-1
0.9999242,1
-0.9999631,-1
0.99998164,1
-0.999981,-1
-0.9999957,-1
0.9999928,1
-0.92653644,-1
0.9999524,1
-0.999969,-1
0.99999386,1
-0.99906516,-1
-0.99998426,-1
-0.051310718,1
0.95385414,1
0.9999868,1
-0.92038465,-1
-0.9999805,-1
0.9903756,1
0.9889984,1
0.9999998,1
0.9999662,1
-0.9998856,-1
0.999984,1
-0.992983,-1
0.9979645,1
0.9999842,1
-0.96093976,-1
-0.9993124,-1
0.9996415,1
0.9989458,1
-0.9996351,-1
-0.98881674,-1
-0.99806094,-1
-0.9999981,-1
0.99999905,1
0.9999969,1
0.9999996,1
0.9907943,1
-0.9999044,-1
0.99998283,1
0.9999175,1
-0.9993806,-1
0.90807074,1
0.99999976,1
0.9999473,1
0.13050789,1
-0.97923225,-1
0.99999046,1
-0.99998695,-1
0.94601303,1
-0.99999386,-1
0.99999523,1
-0.39522102,-1
0.9999979,1
0.9847699,1
0.986496,1
-0.33868447,1
-0.99932164,-1
-0.99997383,-1
-0.9672731,-1
0.99961764,1
-0.9999667,-1
0.9999549,1
-0.97929513,-1
0.99984366,1
0.99999714,1
-0.99992776,-1
0.9999978,1
-0.99742,-1
0.99908465,1
0.9998865,1
0.9999814,1
-0.99976116,-1
0.99999976,1
0.9999931,1
0.9999988,1
-0.49037123,-1
-0.9999993,-1
0.96865845,1
0.99829006,1
-0.9998019,-1
-0.96428806,-1
0.9998241,1
0.61879313,1
0.98643434,1
-0.99974686,-1
-0.9999206,-1
-0.99999744,-1
0.99991924,1
0.9999974,1
0.9999964,1
-0.9993432,-1
0.9999183,1
0.9999995,1
0.99999475,1
0.9999957,1
0.99996805,1
-0.999952,-1
-0.632403,1
-0.93477213,-1
-0.96556634,-1
-0.99999714,-1
0.9999864,1
-0.9999657,-1
-0.99958986,-1
-0.9999964,-1
-0.9819975,-1
0.9999935,1
0.99999684,1
-0.9861658,-1
-0.9999721,-1
-0.99993664,-1
0.9998877,1
0.9999769,1
-0.9925383,-1
0.99999326,1
0.9996162,1
0.9987957,1
0.99995875,1
0.9999415,1
-0.99999934,-1
0.9998396,1
-0.9998055,-1
0.99511474,1
0.9998856,1
0.9986955,1
0.99999833,1
-0.9999182,-1
-0.93166256,-1
-0.7666403,-1
-0.99998426,-1
0.997187,1
-0.9819356,-1
0.999935,1
0.98882025,1
-0.9991974,-1
-0.99832606,-1
0.99999857,1
0.999999,1
0.999742,1
0.9999523,1
0.9999919,1
-0.9998636,-1
-0.99856937,-1
0.9731369,1
0.9999802,1
-0.99999434,-1
0.9977283,1
-0.9817615,-1
-0.9998281,-1
-0.9999831,-1
-0.99998116,-1
-0.99981767,-1
0.9999964,1
0.99999744,1
-0.9999985,-1
-0.99994445,-1
-0.9885492,-1
-0.99999905,-1
0.9998664,1
0.99998695,1
-0.9933607,-1
-0.995139,-1
0.26370785,1
0.9998608,1
-0.9990437,-1
-0.95686096,-1
0.99999857,1
-0.99999744,-1
0.99981385,1
0.9999884,1
-0.98882335,-1
0.9998793,1
-0.9994613,-1
-0.99862576,-1
0.9837725,1
0.76741827,1
-0.9998493,-1
0.9993996,1
0.9980086,1
-0.99998045,-1
-0.99999046,-1
0.9999961,1
-0.9999013,-1
-0.9999983,-1
-0.9144516,-1
-0.9998822,-1
0.99991304,1
0.9993143,1
-0.739795,-1
0.9974375,1
0.9999996,1
0.9999952,1
0.99999857,1
-0.9999942,-1
0.99995184,1
0.9999833,1
-0.9998286,-1
0.9999943,1
0.99834865,1
0.9999995,1
0.9999898,1
0.99999666,1
0.9999971,1
0.9999864,1
0.99993825,1
0.9999364,1
-0.9996363,-1
-0.9999997,-1
0.9999933,1
0.99998474,1
0.99988246,1
-0.99999315,-1
0.7628717,1
-0.99995923,-1
0.9857478,1
0.8016536,1
0.9999973,1
0.99999887,1
-0.99999934,-1
-0.99999976,-1
-0.9999942,-1
0.9998389,1
-0.65411633,-1
-0.9999915,-1
-0.9999981,-1
-0.9999919,-1
0.99999905,1
0.9999404,1
0.99999905,1
-0.9999872,-1
0.99987626,1
-0.9990752,-1
-0.998517,-1
0.9561881,1
0.99574304,1
-0.9999868,-1
0.9999818,1
0.99999493,1
-0.99991894,-1
0.99963844,1
-0.9936897,-1
-0.9999854,-1
-0.99956,-1
0.99999857,1
-0.9999618,-1
0.99998695,1
-0.99999636,-1
-0.9967338,-1
0.9999044,1
-0.968654,-1
-0.9373118,-1
0.99992204,1
-0.9993798,-1
-0.9635243,-1
-0.99941224,-1
0.99996215,1
0.9999733,1
0.9999992,1
0.9998551,1
0.99777216,1
-0.99999994,-1
-0.99982953,-1
-0.9975999,-1
-0.99967176,-1
0.9998007,1
0.82008123,1
-0.9998339,-1
0.7428692,1
0.99999624,1
0.999993,1
0.99996525,1
0.99998283,1
-0.99995786,-1
-0.9585167,-1
0.9999962,1
0.9999986,1
0.9999981,1
-0.9999849,-1
0.9998813,1
0.99998647,1
-0.949072,-1
-0.9997931,-1
-0.99987745,-1
-0.99994826,-1
-0.9999469,-1
-0.99992913,-1
-0.9358716,-1
-0.99999547,-1
-0.99991256,-1
-0.99999636,-1
-0.9837016,-1
0.9348416,1
0.99782705,1
-0.9997621,-1
-0.302294,-1
-0.99166024,-1
-0.996599,-1
0.99999636,1
0.99991304,1
0.9999969,1
0.99999195,1
0.99974555,1
0.9743459,1
0.9993264,1
0.99996096,1
0.9999945,1
-0.99999833,-1
-0.99747384,-1
