pred,label
0.99999994,1
0.9999974,1
-0.9999988,-1
-0.9999752,-1
-0.99999887,-1
0.98724145,1
0.9999993,1
1.0,1
-0.9999962,-1
0.99999994,1
0.9999993,1
0.99999976,1
-0.9999966,-1
-0.9990401,-1
0.99997824,1
0.9999997,1
-0.99568516,-1
0.99999905,1
1.0,1
0.9999897,1
-0.9985674,-1
-0.99927324,-1
0.9999914,1
0.98936546,1
-0.9999955,-1
-0.9976645,-1
-0.9999995,-1
-0.9999984,-1
0.999968,1
-0.99799335,-1
0.9947989,1
0.99999994,1
1.0,1
-0.9771442,-1
0.9999929,1
-0.9999995,-1
1.0,1
1.0,1
0.9999879,1
-0.99999976,-1
0.9999998,1
-0.9870025,-1
0.9045756,1
0.999839,1
-0.9990285,-1
-0.99999475,-1
-0.99999994,-1
-0.99999887,-1
-0.99999946,-1
-0.9999938,-1
-0.99999803,-1
0.9999814,1
-0.99999887,-1
0.99988765,1
-0.9999995,-1
0.9999998,1
-0.99999946,-1
0.99999905,1
0.44871604,1
-0.9980447,-1
-0.9999995,-1
1.0,1
0.5679107,1
-0.9999995,-1
-0.99999785,-1
0.9999912,1
-0.99999577,-1
-0.9719193,-1
-0.99880624,-1
0.9999995,1
0.98354447,1
-0.5935221,-1
-0.46062756,1
-0.99999976,-1
0.99999994,1
0.9999991,1
-0.9997857,-1
-0.9144929,-1
0.9999998,1
-0.9999997,-1
-0.9938369,-1
1.0,1
-0.99999934,-1
0.9993567,1
0.86284786,1
-0.011635244,-1
-0.9987964,-1
0.9975016,1
-0.99999076,-1
0.9996684,1
-0.99967104,-1
-0.9999988,-1
-0.9999997,-1
-0.98655176,-1
-0.9978056,-1
-0.9987153,-1
-0.9997731,-1
-0.9999931,-1
0.9999995,1
-0.9999954,-1
0.99999326,1
0.9999962,1
-0.9997175,-1
1.0,1
-0.9930091,-1
-0.99999833,-1
-0.99999124,-1
-0.9999995,-1
-0.23645738,-1
0.9832521,1
0.99998116,1
0.99998814,1
-0.99999934,-1
0.9999998,1
0.99928164,1
-0.99999976,-1
-0.605354,1
0.9999996,1
0.5542264,1
1.0,1
0.99870473,1
-0.99999976,-1
0.9999442,1
-0.99982363,-1
0.99999994,1
-0.99999994,-1
0.9823305,1
-0.99999976,-1
0.99994415,1
0.90353614,1
0.9999997,1
0.9851889,1
0.99999994,1
1.0,1
0.9999993,1
-0.999999,-1
-0.9961256,-1
-0.9999984,-1
0.97120345,1
-0.9999895,-1
-0.94768614,-1
-0.9999969,-1
-0.9999895,-1
0.9999988,1
-0.99999905,-1
0.9999921,1
0.8648815,1
1.0,1
0.99999905,1
0.99999857,1
-0.9999998,-1
-1.0,-1
0.99999994,1
0.9999876,1
-0.9999964,-1
-1.0,-1
-0.9999988,-1
1.0,1
-0.9993534,-1
-0.9992848,-1
-0.9995937,-1
-0.99841076,-1
0.9999974,1
-0.99999547,-1
0.9999912,1
-0.93311626,-1
-0.9999981,-1
0.9999985,1
-0.9999998,-1
-0.9988361,-1
-0.9999998,-1
0.9999993,1
-0.9814759,-1
0.9727524,1
-0.99286914,-1
0.99999803,1
0.99996835,1
-0.9999995,-1
-0.9998815,-1
-0.91644645,-1
-0.999999,-1
-0.9999268,-1
-0.99998593,-1
0.99999946,1
-0.067203164,1
0.99997467,1
-0.99999434,-1
-0.99999756,-1
-0.9999995,-1
0.994245,1
0.99997467,1
-0.996681,-1
-0.99547744,-1
0.99999946,1
-0.99925643,-1
0.99998623,1
-0.99999636,-1
0.9992712,1
-0.9999911,-1
0.99999547,1
-0.9999992,-1
-0.9999998,-1
0.99566925,1
0.9999996,1
-0.9999969,-1
-0.99999833,-1
-0.9992547,-1
0.9990837,1
0.9999964,1
0.99999803,1
-0.99999857,-1
-0.99692845,-1
-0.99999905,-1
-0.99999857,-1
-0.99999905,-1
0.99999976,1
1.0,1
-0.999981,-1
0.9999976,1
0.9999992,1
1.0,1
0.9999997,1
0.9979972,1
0.9985762,1
-0.9999964,-1
1.0,1
0.99999976,1
0.9988686,1
1.0,1
0.28384593,1
1.0,1
0.9999941,1
-0.9401313,-1
0.999999,1
-0.999999,-1
1.0,1
0.98196566,1
-0.999779,-1
-0.99999565,-1
0.99752474,1
-0.9999779,-1
-0.94040495,-1
-0.15839803,-1
-0.99922353,-1
1.0,1
-0.9999833,-1
0.99857765,1
0.999995,1
0.27240178,-1
-0.9999998,-1
-0.93418777,-1
0.99999976,1
0.9934718,1
-0.99999195,-1
-0.7209381,1
-0.9995715,-1
0.9984937,1
-0.99999666,-1
0.9999845,1
-0.99996567,-1
0.99999994,1
-0.99999756,-1
-0.9990205,-1
0.999789,1
-0.99999994,-1
1.0,1
0.99999887,1
-0.9999996,-1
0.99992067,1
-0.9995448,-1
-0.9999099,-1
-0.99999374,-1
-0.9999979,-1
0.99999714,1
0.5144025,1
-0.99423647,-1
0.9706232,1
1.0,1
-0.9999974,-1
-0.9997359,-1
-0.99999505,-1
0.9978925,1
0.9999998,1
-0.94387144,-1
-0.99999905,-1
0.99999994,1
-0.99999994,-1
0.9999864,1
-0.9927257,-1
-0.99999976,-1
-0.8840081,-1
1.0,1
-0.9999981,-1
0.99999976,1
-0.99999946,-1
0.9999995,1
-0.66440916,-1
0.99999803,1
-0.9999831,-1
-0.99894935,-1
-0.9999976,-1
0.9999991,1
-0.99999434,-1
-0.99999976,-1
1.0,1
0.99999994,1
0.99953264,1
0.7020293,1
0.99999976,1
-0.9999351,-1
-0.99999976,-1
-0.9999817,-1
0.99999976,1
-0.9999993,-1
0.99999315,1
0.9999899,1
-0.80680114,-1
-0.9999988,-1
-0.99999976,-1
0.24356723,1
-0.99999994,-1
-0.9999862,-1
-0.99999976,-1
0.9591912,1
0.9999959,1
-0.99944514,-1
-0.99999994,-1
-0.9999988,-1
0.99999875,1
-0.9999997,-1
-0.99920756,-1
-0.999999,-1
-0.99998075,-1
-0.99999994,-1
0.9999976,1
-0.9999998,-1
-0.9999976,-1
-0.9999998,-1
1.0,1
0.9999998,1
1.0,1
0.47001845,1
1.0,1
-0.99935746,-1
0.99999994,1
0.99999875,1
0.99999994,1
0.99999946,1
-0.99999523,-1
-0.97007596,-1
1.0,1
-0.99999833,-1
-0.99999857,-1
-0.9999993,-1
-0.99999905,-1
0.9999957,1
1.0,1
0.99999875,1
0.999999,1
0.99999857,1
-0.99997836,-1
0.99999976,1
-0.9999998,-1
-0.93138784,-1
-0.9999991,-1
-0.99999934,-1
0.9999997,1
0.99999887,1
-0.999999,-1
-0.999995,-1
-0.999157,-1
0.9997983,1
-0.99826294,-1
0.9999995,1
1.0,1
-0.99999326,-1
0.9999983,1
-0.9999998,-1
-0.3314458,1
1.0,1
-0.9999988,-1
-0.99999905,-1
0.99999976,1
-0.8873669,-1
0.95948976,1
0.9965707,1
0.9999995,1
1.0,1
0.9999979,1
0.9999984,1
-0.99999833,-1
0.9999998,1
-0.9999938,-1
-0.77194196,-1
0.99999595,1
-0.9815093,-1
1.0,1
1.0,1
-0.99949133,-1
-0.99927425,-1
-0.92446876,-1
0.9998591,1
-0.9999972,-1
0.9999996,1
0.9999862,1
-0.99999905,-1
0.9999995,1
1.0,1
0.47957274,1
0.96098673,1
-0.9999976,-1
-0.99999183,-1
-0.9999997,-1
-0.99999976,-1
0.9999985,1
-0.98699874,-1
-0.9999997,-1
0.99999875,1
0.9999995,1
0.99999875,1
-0.9999997,-1
-0.9999996,-1
0.9999983,1
0.9999988,1
-0.99990433,-1
-0.9999991,-1
-0.9962752,-1
-0.9999974,-1
0.9999993,1
-0.9999995,-1
-0.9999988,-1
-0.9985588,-1
-0.9999998,-1
-0.9999847,-1
-0.9999993,-1
0.9999993,1
-0.999999,-1
-0.99996495,-1
0.99987173,1
