pred,label
0.9999857,1
0.9999974,1
0.99999994,1
-0.9760933,-1
1.0,1
-0.9999996,-1
-0.99819326,-1
-0.6973261,-1
-0.9993558,-1
-0.99998325,-1
-0.9993143,-1
0.9999996,1
-0.9999044,-1
0.9999993,1
0.9999778,1
-0.9975792,-1
0.9999947,1
-0.9998031,-1
-0.9948954,-1
1.0,1
0.99999976,1
-0.99943125,-1
0.9999993,1
0.9999995,1
0.99953395,1
0.9998522,1
-0.99999076,-1
-0.9998314,-1
-0.9987141,-1
-0.99926615,-1
-0.9988429,-1
-0.9791971,-1
-0.99999976,-1
-0.9996182,-1
-0.9477575,-1
-0.99986154,-1
-0.99997735,-1
-0.9997802,-1
-0.99999756,-1
-0.9999942,-1
0.9999996,1
0.9289374,1
-0.99830437,-1
0.9999991,1
0.9998637,1
-0.99998474,-1
0.7547612,1
-0.99950683,-1
-0.9998746,-1
-0.9999946,-1
1.0,1
-0.9998658,-1
0.99999475,1
1.0,1
0.9996845,1
0.9998215,1
0.99856526,1
-0.99999595,-1
-0.99773616,-1
0.99999493,1
-0.99991035,-1
-0.9999996,-1
0.99999976,1
0.99999994,1
-0.99984056,-1
0.9999895,1
0.99999994,1
0.9998353,1
0.9998026,1
0.99987894,1
0.99999976,1
-0.9898959,-1
-0.9994971,-1
0.9999886,1
-0.9999962,-1
-0.9999427,-1
0.99997836,1
0.9992879,1
0.9993186,1
1.0,1
-0.99579316,-1
-0.85436606,-1
-0.99988985,-1
-0.9999914,-1
-0.9998986,-1
-0.88346064,-1
-0.9970421,-1
-0.99991417,-1
-0.99983853,-1
0.99999285,1
0.88652647,1
0.9999995,1
0.99999994,1
0.9946805,1
-0.99997854,-1
0.9999385,1
0.99993664,1
0.99999946,1
-0.99998707,-1
0.9999992,1
-0.9967211,-1
-0.9924564,-1
0.987526,1
0.99983335,1
0.99998885,1
-0.9998353,-1
-0.92692566,-1
0.9993015,1
-0.99988294,-1
-0.9999799,-1
-0.9997897,-1
0.99999577,1
0.99975926,1
1.0,1
0.9998627,1
-0.99999976,-1
-0.99995136,-1
-0.99980855,-1
1.0,1
0.99998266,1
-0.16236082,1
0.9999919,1
-0.99955475,-1
-0.9991485,-1
0.99999934,1
-0.99731976,-1
0.99999714,1
0.96230966,1
0.99990034,1
0.9999709,1
-0.9997905,-1
-0.99953425,-1
0.9999957,1
1.0,1
-0.9998644,-1
0.5349461,1
0.9844438,1
-0.9996999,-1
-0.9775389,-1
-0.9999976,-1
0.99997616,1
0.9999776,1
0.99999005,1
-0.9813,-1
-0.99999905,-1
0.99993056,1
0.9999995,1
0.99999857,1
-0.999999,-1
-0.99997616,-1
-0.9995078,-1
0.99999994,1
-0.9999988,-1
0.9999891,1
-0.99999905,-1
