pred,label
-0.0037234724,1
0.9697161,1
-0.95548904,-1
0.06103924,-1
0.64195,1
0.9285315,1
0.9471917,1
-0.7669683,-1
0.8909558,1
0.82488215,1
0.8704128,1
0.84000325,1
-0.34264526,-1
0.99257517,1
0.7015639,1
-0.6261861,-1
-0.67830765,-1
-0.8654175,-1
-0.95439875,-1
-0.93869156,-1
-0.9496244,-1
-0.98094904,-1
0.954547,1
0.87998354,1
0.5603726,1
0.6129054,-1
-0.9725882,-1
0.85187984,1
-0.8809926,-1
0.9333726,1
-0.69889694,-1
0.4626089,1
-0.9393404,-1
-0.94752514,-1
-0.7491356,-1
-0.9426751,-1
-0.76539814,-1
0.6076301,-1
-0.8608352,-1
-0.44677594,-1
-0.91898113,-1
-0.9720883,-1
-0.96040875,-1
0.8612229,1
-0.8942512,-1
-0.74009585,-1
0.56567764,1
-0.8168878,-1
-0.116984695,1
0.9038565,1
-0.8760482,-1
-0.95341045,-1
-0.9756496,-1
0.7944696,1
0.78014636,1
-0.9625018,-1
0.906607,1
-0.8330607,-1
0.93072957,1
0.37546417,-1
-0.5021324,1
0.9080736,1
-0.8355169,-1
-0.96523935,-1
0.99195415,1
-0.0069244206,1
-0.89005554,-1
-0.8637711,-1
-0.7721945,-1
-0.77595466,1
0.9756305,1
0.9517972,1
-0.6049793,1
-0.96948695,-1
0.90240973,1
-0.99546105,-1
-0.8606344,-1
-0.19405556,-1
-0.8873805,-1
0.06453976,-1
-0.89424235,-1
-0.9121281,-1
0.96155465,1
-0.86353296,-1
0.99288905,1
-0.96186745,-1
0.81699675,1
0.98872596,1
0.9627047,1
0.84365207,1
-0.14175215,1
0.07673028,1
0.9007186,1
-0.6109905,-1
0.47050816,1
-0.5829321,-1
-0.4561721,-1
-0.17001447,1
-0.80136245,-1
-0.46860647,1
-0.7076598,1
-0.9420499,-1
0.99422175,1
-0.80986214,-1
-0.9528669,-1
0.91512245,1
0.9577942,1
0.8565349,1
0.49200326,1
0.74524134,1
-0.8992218,-1
-0.87998337,-1
0.98919845,1
-0.3421438,-1
-0.028005928,1
-0.6982695,-1
0.8275353,1
-0.9699666,-1
0.96372175,1
-0.9290741,-1
-0.91098946,-1
-0.62812877,-1
-0.9482648,-1
-0.8604954,-1
0.39866036,1
0.8661163,1
0.79737884,1
-0.8720652,-1
0.7450016,1
-0.98957855,-1
-0.9292079,-1
-0.96396405,-1
0.76557285,1
0.99207217,1
-0.83641404,-1
0.96614844,1
0.6287672,-1
-0.9083039,-1
-0.9416157,-1
-0.96908724,-1
0.9104538,1
-0.9548121,-1
0.80493253,1
0.06792426,1
0.86071515,1
-0.9429984,-1
-0.8734903,-1
0.8696693,1
0.38280258,1
0.6402738,1
-0.13094488,-1
0.7029633,1
-0.6949775,-1
-0.89879656,-1
0.29991207,1
0.8325867,1
-0.92914027,-1
-0.8300636,-1
-0.66082734,-1
0.96417534,1
0.93207276,1
-0.8422364,-1
-0.82438993,-1
-0.83913374,-1
0.8855542,1
-0.93283224,-1
0.9770068,1
0.7827869,1
-0.75143754,-1
0.9605378,1
-0.8106327,-1
-0.8892113,-1
0.81822705,1
-0.94082505,-1
0.9246389,1
-0.909227,-1
-0.9455901,-1
-0.9503547,-1
0.86884665,1
-0.9240922,-1
0.95685387,1
-0.8873181,-1
-0.74019706,-1
0.9133582,1
-0.9083798,-1
-0.82560116,-1
-0.9864966,-1
0.7554957,1
-0.92255604,-1
0.9145988,1
0.7820456,1
-0.9177216,-1
-0.7214121,-1
-0.16905546,1
-0.812204,-1
0.83554393,1
0.59554815,1
0.9089761,1
0.86306673,1
0.9952629,1
0.9929485,1
-0.8455241,-1
0.9784635,1
0.38870767,1
-0.9237734,-1
0.63851345,1
-0.8118993,-1
-0.86489123,-1
-0.9135529,-1
-0.24836531,1
0.8668804,1
-0.8973314,-1
0.9489323,1
-0.98429143,-1
0.89324445,1
0.95381206,1
0.9914349,1
0.9885011,1
-0.9393061,-1
0.94176596,1
-0.9886648,-1
-0.93652076,1
-0.9654694,-1
-0.8268211,1
-0.8862268,-1
-0.9576967,-1
-0.77531546,-1
0.8793709,1
-0.8308489,-1
-0.9868524,-1
-0.9505723,-1
-0.29791817,1
-0.9307232,-1
0.94279885,1
0.98488915,1
-0.8875905,-1
0.98952156,1
0.5080955,1
0.22255272,-1
0.9861719,1
0.816875,1
0.98543555,1
-0.9253565,-1
0.82055306,1
0.97830665,1
0.52812535,1
0.9824111,1
-0.87230563,1
0.39406484,-1
0.97499585,1
-0.46310914,-1
0.88208765,1
0.96796983,1
-0.9485787,-1
-0.8551332,-1
-0.88048863,1
0.8049098,1
-0.94100314,-1
0.96452796,1
-0.66694874,-1
0.28358197,1
-0.6940661,-1
0.8874437,1
0.8398602,1
-0.93571794,-1
0.9430051,1
0.9784656,1
-0.9893404,-1
-0.9442043,-1
-0.9680792,-1
0.99362695,1
0.935454,1
0.97386116,1
-0.16765621,1
-0.9638652,-1
0.96282595,1
0.7415105,1
-0.6287137,-1
-0.27855518,1
-0.7458397,-1
0.8937695,1
0.930569,1
-0.27652833,-1
-0.8750906,-1
-0.31416512,-1
0.9676453,1
0.9287025,1
0.05343786,-1
0.28819868,1
0.9567126,1
0.926993,1
0.9098025,1
0.97066003,1
0.74566066,-1
-0.9692245,-1
-0.20384073,-1
0.9681799,1
0.90758634,1
-0.85721385,-1
0.0451279,1
0.7731922,1
-0.43954587,-1
0.91931415,1
-0.70461345,-1
0.96486413,1
0.9668688,1
-0.9740454,-1
-0.9646434,-1
-0.63116807,1
0.9382784,1
0.45904207,-1
0.86649954,-1
0.933562,1
0.9607488,1
-0.86909115,-1
-0.7705053,-1
-0.8266605,1
0.9831433,1
0.8548317,1
0.97549313,1
-0.96759933,-1
-0.9358468,-1
-0.037884295,-1
0.23714647,1
-0.99486595,-1
0.847231,1
-0.8618569,-1
-0.5929321,-1
-0.9587449,-1
-0.8651278,-1
-0.940833,-1
-0.9292845,-1
-0.2545056,1
-0.30180472,-1
-0.83692557,-1
-0.9283172,-1
-0.91640526,-1
-0.44292903,-1
-0.91468424,-1
0.97192127,1
-0.82114285,-1
-0.43300426,-1
-0.04303211,1
0.9567539,1
-0.9323153,-1
-0.7809743,-1
-0.93246603,-1
-0.37818065,-1
0.9704214,1
-0.96199304,-1
0.9921916,1
0.9302384,1
-0.5989933,-1
-0.97907144,-1
0.9055558,1
-0.65353954,1
-0.9887456,-1
0.50063455,1
-0.16513428,-1
-0.9759341,-1
-0.8640102,-1
-0.6986813,1
0.9712926,1
-0.31153688,-1
-0.95806247,-1
-0.79090136,-1
-0.9378004,-1
-0.93022203,-1
0.8063875,1
0.9960052,1
-0.95224833,-1
0.17528293,1
-0.71673477,1
0.937626,1
-0.38010287,-1
0.8821563,1
-0.9034118,-1
0.99325055,1
0.95486456,1
-0.95523286,-1
-0.82559246,-1
0.9394688,1
-0.9655109,-1
-0.9127973,-1
0.79373217,1
-0.87342775,-1
-0.11918461,-1
-0.79324836,-1
0.97976464,1
0.98077315,1
0.5100942,-1
0.9668299,1
0.980458,1
0.82462037,1
-0.91648823,-1
-0.7608447,-1
-0.73654705,-1
0.9764181,1
-0.9136162,-1
-0.7425332,-1
-0.97330135,-1
-0.5665581,1
0.92326486,1
0.988464,1
0.99336326,1
-0.889378,-1
-0.75675577,-1
0.80612713,1
0.53126985,1
0.38949943,1
0.2160452,1
0.8518773,1
-0.8533193,-1
0.8105778,1
0.9914155,1
-0.85780346,-1
0.5171224,1
0.13283736,1
0.8717458,1
-0.91859174,-1
0.8939318,1
0.9056286,1
0.6056948,1
0.7107338,1
-0.9550781,-1
0.8999835,1
-0.89725405,-1
-0.9481572,-1
0.2703456,1
0.90474814,1
-0.88283694,-1
-0.9325887,-1
0.99358356,1
0.89246404,1
0.9612558,1
0.74563026,-1
0.71393657,1
-0.8391924,1
-0.8237524,-1
-0.56959414,-1
-0.9259326,-1
-0.95111185,-1
0.988132,1
0.94011325,1
0.8049284,1
0.8998316,1
-0.8996392,-1
0.96365803,1
-0.76959634,-1
0.8204917,1
-0.79145867,-1
-0.39684257,-1
-0.8640086,-1
0.9163339,1
0.4261962,1
-0.882104,-1
-0.8170887,-1
0.9932574,1
0.938093,1
0.50139534,1
-0.9452472,-1
0.90422046,1
0.94494003,1
-0.7182845,-1
-0.9479489,-1
0.7152087,1
0.111450285,1
0.5270679,1
-0.5431488,-1
0.871792,1
-0.968523,-1
0.9924349,1
0.88712454,1
-0.70694256,-1
-0.9736406,-1
-0.8015327,-1
0.86928976,1
0.8548401,1
0.9047356,1
-0.96760577,-1
-0.9531397,-1
-0.9582371,-1
-0.9895966,-1
0.87958026,1
-0.9767382,-1
0.93302953,1
-0.95813835,-1
0.98320967,1
0.28856006,1
-0.956766,-1
0.9302618,1
-0.78471184,-1
0.89590394,1
0.9603172,1
-0.7781969,-1
-0.62949824,-1
0.9274147,1
0.8061929,1
-0.9565438,-1
0.95803326,1
-0.61490923,-1
-0.90614486,1
0.87568724,1
0.9572212,1
0.95948684,1
-0.5873546,-1
-0.934636,-1
0.5290468,1
-0.631953,1
0.8893352,1
-0.866266,-1
-0.96728647,-1
0.6412441,1
-0.8324498,-1
-0.9134039,-1
-0.9845898,-1
0.8991065,1
0.9943419,1
-0.5259333,-1
-0.91510457,-1
-0.88055336,-1
-0.86155784,-1
-0.9502674,-1
