pred,label
0.9993865,1
0.9821687,1
-0.9999869,-1
0.99935436,1
-0.984233,1
-0.9927505,-1
-0.84130037,-1
-1.0,-1
-0.99997497,-1
-0.9987112,-1
-0.9998327,-1
0.9641649,1
0.9992323,1
-0.99997514,-1
-0.9998836,-1
-0.8531382,-1
0.99938416,1
-0.4847515,-1
0.999596,1
-0.99999386,-1
0.9969313,1
-0.9960636,-1
-0.9896167,-1
-0.9934943,-1
0.9999173,1
-0.99999994,-1
-0.999892,-1
0.9897826,1
-0.99997234,-1
0.9996965,1
-0.9991938,-1
-0.99995977,-1
0.9944178,1
-0.9998319,-1
-0.9447342,-1
0.9982836,1
-0.99995965,-1
0.99861807,1
0.56876826,1
-0.9992709,-1
0.9965309,1
-0.99996567,-1
-0.905711,-1
-0.9961855,-1
0.9993284,1
0.99986744,1
-1.0,-1
-0.9999988,-1
-0.99900126,-1
-0.9963693,-1
0.99829054,1
0.9998715,1
-0.99920136,-1
0.99977565,1
-0.99993056,-1
0.99958026,1
0.99929094,1
-0.9999513,-1
-0.9999578,-1
0.9907034,1
-0.9999995,-1
-0.9972491,-1
0.99978256,1
0.9999628,1
0.99982446,1
0.9870783,1
-0.9998691,-1
0.9996753,1
0.99935913,1
0.9999664,1
0.9986308,1
0.96070594,1
0.9997247,1
-0.9984734,-1
0.9999776,1
-1.0,-1
0.99629897,1
0.9998703,1
-0.9996153,-1
-0.9999571,-1
0.7430167,1
-0.9999826,-1
0.4475181,1
-0.27159542,-1
0.9999339,1
-0.9983746,-1
-1.0,-1
0.99917847,1
-0.9998893,-1
0.9999647,1
-0.9967882,-1
-0.99996805,-1
0.9996852,1
0.9997738,1
0.9988982,1
0.9798307,1
0.998019,1
-0.9987007,-1
-0.9991525,-1
0.9281291,1
-0.9846831,-1
-0.99994236,-1
-0.9999755,-1
-0.9999726,-1
-0.9979817,-1
-0.98517895,-1
0.99982405,1
-0.9992683,-1
-0.998301,-1
0.9568445,1
0.99948376,1
-0.8277075,-1
-0.99958575,-1
-0.9998891,-1
0.9998767,1
-0.99976134,-1
-0.9999202,-1
0.99978393,1
0.9994966,1
0.9956294,1
0.9995054,1
-0.987188,-1
-0.9999872,-1
0.99689496,1
-0.99800473,-1
0.16779616,1
-0.8161987,-1
-0.9998291,-1
0.95379746,1
-0.9999903,-1
0.9999182,1
0.9998991,1
-0.99892014,-1
0.9997442,1
0.99942386,1
-0.9997819,-1
0.99989516,1
-0.99999523,-1
-0.99910134,-1
-0.9999995,-1
-1.0,-1
-0.9999439,-1
-0.99823654,-1
0.99967486,1
-0.9955639,-1
-0.9999871,-1
-0.99984694,-1
-0.9851048,-1
-0.999793,-1
-0.99002075,-1
-0.99989337,-1
-0.99997306,-1
0.28784817,1
0.9719184,1
0.99974495,1
0.99982756,1
-0.5843005,1
-0.9999373,-1
0.98987156,1
0.9822312,1
-0.9964282,-1
-0.98196375,-1
0.9926482,1
-0.9965726,-1
