pred,label
0.9999998,1
-0.9999969,-1
-0.9999988,-1
-1.0,-1
1.0,1
1.0,1
-0.9993624,-1
0.9999996,1
-0.9999997,-1
-0.32401878,1
1.0,1
-0.99998236,-1
-0.99838936,-1
-0.9999969,-1
0.9999934,1
-0.25134233,1
-0.9999985,-1
0.9999991,1
0.9999993,1
-0.99987984,-1
-0.99999976,-1
-0.99998784,-1
0.99999934,1
-0.999234,-1
0.99997157,1
-0.99948895,-1
0.99999976,1
1.0,1
-0.99958384,-1
-0.5719972,-1
0.99999243,1
-0.99990463,-1
0.9999356,1
-0.999999,-1
0.99998236,1
-0.9999957,-1
-0.99998325,-1
-0.99990654,-1
-0.9587188,-1
-0.9999997,-1
-0.97305286,-1
-0.99995106,-1
-0.99999505,-1
1.0,1
0.99999833,1
0.81100035,1
0.99999976,1
0.99999595,1
-0.99973226,-1
0.99999887,1
-0.9999319,-1
-0.9999869,-1
1.0,1
0.99703306,1
-0.99999994,-1
1.0,1
-0.9994963,-1
-0.999943,-1
-0.9998491,-1
1.0,1
0.99998266,1
-0.99679893,-1
1.0,1
0.99999976,1
-0.99856365,-1
-0.99998957,-1
0.9993763,1
-0.055341303,-1
1.0,1
0.99999976,1
-0.9999888,-1
-0.99953467,-1
-0.99998426,-1
-0.9999764,-1
-0.9999849,-1
-0.9999988,-1
-0.9970132,-1
-0.9999928,-1
0.9999583,1
-0.9998913,-1
-0.9999993,-1
0.9999926,1
-0.9977464,-1
-0.9999985,-1
1.0,1
-0.99877906,-1
-0.9999995,-1
-0.99999887,-1
0.99995923,1
-0.9996927,-1
0.9999551,1
0.99435776,1
0.99997663,1
-0.00845474,1
-0.9999997,-1
-0.99999857,-1
-0.9999996,-1
-0.9995082,-1
0.99999547,1
-0.99997926,-1
-0.99959195,-1
0.9999838,1
1.0,1
1.0,1
0.9999538,1
-0.9998296,-1
-0.99999183,-1
1.0,1
1.0,1
0.9926192,1
1.0,1
-0.9999912,-1
1.0,1
-0.9977633,-1
-0.9999966,-1
1.0,1
0.99999976,1
1.0,1
-0.9972519,-1
1.0,1
-0.99999475,-1
-0.99904865,-1
-0.9999847,-1
-0.98073834,-1
-0.99995375,-1
0.99991727,1
0.99999833,1
-0.9995995,-1
0.9958211,1
-0.99999595,-1
1.0,1
0.62351954,1
-0.99997145,-1
0.99999833,1
0.8798388,1
