pred,label
-0.17395094,1
-0.885733,-1
-0.6315373,-1
0.34848982,1
0.09094381,-1
0.5378828,1
-0.4635212,1
-0.21856117,1
-0.7671472,-1
0.6967699,1
-0.38544536,1
-0.36286443,-1
0.26913518,1
-0.5927993,-1
-0.7131595,-1
-0.3378875,1
0.16462603,-1
-0.5432874,1
-0.185828,-1
-0.391534,-1
-0.36501852,-1
-0.6847345,-1
-0.37584946,-1
0.524027,1
-0.16288066,1
-0.51438075,-1
0.8474542,1
0.092637956,-1
0.67533374,1
-0.62428945,1
-0.81998533,1
0.55253685,1
-0.14494589,-1
-0.21985364,-1
-0.34082213,1
0.37004748,1
-0.721025,1
0.17950264,-1
-0.5651782,1
0.2329109,-1
0.61816204,-1
0.75297594,1
0.69017154,1
-0.44831938,1
-0.16045925,-1
-0.07113919,-1
-0.1231761,1
0.61586636,1
0.6912045,1
0.010458142,1
-0.47099316,1
0.7541838,1
-0.57444614,-1
-0.4693408,-1
0.48699203,1
-0.3726331,1
-0.279399,1
-0.1472562,-1
-0.52597153,-1
-0.44054076,-1
0.18377402,-1
0.024111927,1
-0.44329968,-1
-0.503695,-1
0.07671514,-1
-0.2620343,1
0.049188763,1
-0.2961185,-1
-0.8356666,1
-0.8088948,-1
-0.5052911,-1
-0.33196595,-1
-0.40592024,1
-0.20045677,1
0.81144345,1
-0.4164806,-1
-0.4451699,-1
-0.37268707,-1
-0.3246477,-1
-0.6333435,-1
0.4533623,1
-0.52056134,1
0.51142067,1
-0.6427411,1
-0.69534177,1
-0.43089107,-1
-0.22408473,-1
0.5527828,1
-0.35232452,-1
0.33452603,-1
-0.43061692,1
-0.69917154,-1
-0.7881944,-1
0.40244505,-1
0.50174546,1
-0.1796579,1
-0.41929978,-1
0.90860885,-1
-0.3842576,1
-0.7213043,1
-0.45180055,-1
-0.4736012,-1
-0.40496847,-1
-0.7941677,-1
-0.1478424,-1
-0.38914233,1
-0.4925966,-1
-0.27133524,-1
-0.51615334,1
-0.19924134,1
0.22885635,-1
0.123762906,-1
-0.46417835,-1
-0.37086073,-1
-0.41573548,1
0.33295003,-1
0.8992499,-1
0.58224523,1
0.43231058,1
0.33908886,-1
-0.4343132,1
0.23683932,-1
0.017677426,1
-0.499997,1
0.26211253,-1
0.7528006,1
0.8676922,1
-0.73505473,1
-0.42508215,-1
-0.47611296,-1
0.7294159,-1
0.5232207,-1
0.7406113,1
-0.319464,-1
-0.6719082,1
0.17752016,1
0.9297066,1
0.14962903,-1
-0.7289454,-1
0.71028733,1
-0.46452576,1
0.26883367,-1
-0.05637902,1
-0.042551666,-1
-0.34585094,-1
-0.3269135,-1
-0.5246315,-1
-0.29920283,-1
0.0726254,-1
-0.0115994215,-1
-0.56738317,-1
0.9320033,1
-0.08885273,-1
-0.25949356,1
0.648823,1
0.6480503,1
0.82700056,1
-0.26964113,-1
-0.6758384,-1
0.4576806,1
-0.46422622,-1
-0.22141609,-1
-0.16379207,-1
0.31622967,1
-0.046213508,1
-0.7202835,-1
0.2827195,-1
-0.71591413,-1
-0.22786447,-1
-0.4175954,1
-0.36717942,-1
0.5601444,1
0.26302806,-1
-0.534326,-1
-0.37827036,-1
0.01881677,1
-0.0005109906,1
0.08759594,-1
-0.56502336,-1
-0.14266029,1
-0.57842094,-1
-0.06430262,-1
-0.42081892,1
0.047067553,1
-0.46088648,-1
-0.041395962,1
-0.39572752,-1
0.6847341,1
-0.2194686,1
0.43869433,-1
-0.39946604,1
0.06736645,-1
0.5016173,1
-0.6301501,-1
0.6076234,1
0.5245899,1
0.1079388,-1
-0.3025776,1
-0.26003158,1
0.66095686,1
0.5849512,1
-0.20130765,-1
-0.14318219,-1
0.6502906,1
-0.57812786,-1
-0.23847666,1
-0.57713,-1
0.56527156,1
0.08590901,-1
-0.39610168,-1
0.49636048,-1
-0.61035454,1
-0.5293371,1
-0.24040714,-1
-0.15232778,-1
0.44700894,1
0.37677324,1
0.17713833,-1
0.2946585,1
-0.7616283,1
-0.05857572,1
0.8711227,1
-0.10653594,1
0.22163057,-1
-0.3601271,-1
-0.14372343,1
0.55603975,1
0.020783573,1
0.79654706,1
-0.52163833,-1
-0.8900183,1
0.45092428,-1
0.5012426,1
0.2033777,-1
-0.7739915,1
-0.18063197,1
-0.49495283,1
0.08349016,-1
0.6044325,1
-0.058120847,1
0.06829509,-1
-0.7744818,-1
0.21533245,1
0.49155736,1
0.057517618,1
-0.14788592,-1
-0.56569636,1
-0.7452123,1
0.2581746,-1
-0.37681305,-1
-0.15134537,-1
-0.86762184,1
-0.832471,-1
-0.11517805,1
-0.8420465,1
-0.6131538,-1
0.3882316,-1
0.519711,-1
0.075443506,-1
0.8556997,1
0.000900805,1
-0.522544,1
-0.40777528,-1
-0.7061175,-1
-0.68393093,1
0.8978354,1
-0.75656646,1
-0.52793103,-1
0.5141003,1
-0.60333145,1
0.0764665,1
0.72666925,1
-0.2905396,1
0.16105229,-1
0.3532274,1
0.0936434,-1
-0.7263913,1
-0.4286228,-1
0.4991851,1
-0.290101,1
0.037656635,-1
0.45448276,1
0.77217627,-1
0.1761195,-1
-0.5396053,1
0.5186111,1
-0.76575357,1
-0.3024246,1
-0.40463597,-1
0.36654064,1
-0.5135836,1
-0.16235742,-1
-0.5254749,-1
-0.6191765,1
-0.23506439,1
-0.2731811,-1
-0.76350707,-1
-0.2316576,-1
-0.050766945,1
0.086147875,-1
-0.70325077,1
-0.8024297,1
-0.63408756,1
0.44191235,1
-0.6909126,1
0.04613924,1
0.85400176,1
-0.64259785,1
-0.17752385,-1
-0.7757313,-1
0.41069686,1
-0.4514989,-1
-0.5784771,-1
-0.048357755,1
-0.14713934,1
-0.10537851,1
0.21470672,1
-0.24665311,-1
-0.03719902,1
-0.01560688,-1
-0.5919421,1
-0.5947212,-1
0.20995608,1
-0.2530843,-1
-0.23517627,-1
-0.90492785,1
-0.15670946,-1
0.6600886,1
-0.19048676,1
-0.8636435,1
-0.44305196,-1
-0.3911613,1
-0.38713524,-1
-0.6342316,1
-0.6445663,1
-0.6035629,-1
0.2518184,-1
0.23230368,1
-0.37833416,1
-0.3703063,-1
-0.42431793,-1
-0.4955076,-1
-0.29005176,-1
0.136873,1
-0.6831356,-1
-0.65118736,-1
0.28926796,-1
0.5093084,-1
0.35187444,1
0.041285694,-1
0.8796377,1
-0.43961367,-1
-0.5224381,1
-0.76507425,-1
0.77280325,1
-0.78748786,1
-0.24672869,-1
0.08309677,-1
-0.5815814,-1
0.15911028,-1
0.83114755,1
-0.7173447,-1
0.02298686,-1
-0.44528413,-1
-0.15560639,1
0.12437883,1
-0.593047,-1
-0.3870771,1
-0.8484656,1
-0.50898373,1
-0.7303015,-1
0.055434346,-1
-0.7693189,-1
-0.5306079,1
-0.3869284,1
0.7095078,1
-0.5694889,-1
0.048839003,-1
-0.5869058,1
-0.39541543,-1
0.13903692,1
0.2221883,1
-0.5238799,1
0.85626614,1
-0.2382577,-1
0.12261817,1
-0.7695112,1
0.5862897,1
0.43438113,1
0.6950623,1
0.33053058,-1
-0.1216594,1
0.055096418,1
-0.0123952925,-1
-0.2794795,-1
0.36295745,1
0.11501071,-1
0.36387953,-1
0.23166084,-1
0.029709578,1
-0.3841203,1
-0.2858313,-1
-0.51272,1
-0.4696881,-1
0.29705808,-1
-0.5521568,-1
-0.030057639,-1
0.38508168,-1
0.4810756,1
-0.36814404,-1
-0.15957579,1
0.80985844,-1
0.93897414,1
-0.0601255,-1
-0.6611286,-1
0.5409032,1
-0.05703929,-1
0.7873035,-1
0.22829524,-1
0.9121781,-1
-0.26630554,-1
0.098264635,-1
-0.2570606,1
-0.52660567,-1
-0.23197556,1
-0.26867262,-1
0.3462064,-1
-0.5907285,-1
0.95840585,1
-0.46111453,-1
0.525821,-1
-0.045945972,1
-0.33044794,-1
-0.74647,1
-0.41101536,1
0.42453584,-1
-0.39345405,-1
-0.124473184,-1
0.49191362,-1
0.12456301,1
-0.028894603,1
-0.42565057,-1
-0.18269101,-1
-0.24709907,-1
0.45727038,1
0.7170063,-1
-0.561351,-1
-0.16325858,-1
-0.32489848,1
-0.112903714,-1
-0.20869526,-1
0.2121487,1
0.7376532,1
-0.48544565,1
0.4723576,1
0.20292637,1
0.05292943,-1
0.14073992,-1
-0.30689517,-1
0.67938924,-1
0.36983612,1
-0.045704037,-1
0.07788736,1
-0.2552084,-1
-0.769613,1
-0.46731365,1
-0.05196929,-1
-0.4285965,-1
-0.19721085,1
-0.48561174,-1
-0.21636382,-1
-0.04415995,-1
0.4318185,1
-0.5070493,1
-0.60120654,-1
0.24520138,1
0.18543458,1
-0.33041266,-1
0.25601408,-1
-0.45051837,-1
0.49587554,-1
-0.28391895,-1
0.15161201,-1
-0.05695185,1
0.9272878,1
0.076298624,1
-0.8023219,-1
-0.1672124,1
0.009156823,1
-0.26218972,1
0.37700292,1
-0.14939535,-1
-0.6298908,1
0.5350193,1
0.601223,1
-0.5104326,1
0.5264753,-1
-0.27932644,-1
0.07667801,-1
-0.6171113,1
0.5841413,-1
-0.25146013,-1
0.4082819,1
-0.6728212,-1
0.9336547,-1
-0.4489858,1
-0.5317441,-1
0.2133269,1
-0.56175405,-1
-0.5202509,1
0.7927954,1
0.18434846,1
0.36994374,-1
0.23640966,1
-0.41990325,1
-0.33352792,1
0.051954597,1
-0.51928264,-1
0.43543768,1
-0.41091633,1
0.06954974,1
0.42473966,-1
0.1999138,1
-0.6946349,-1
-0.10373184,-1
-0.3009281,1
0.17255783,1
0.17469001,-1
0.100735515,-1
0.0029487908,1
0.1135138,1
-0.16493678,-1
-0.8153987,-1
0.06982696,1
-0.20296201,1
-0.39461553,1
0.9297087,1
-0.3205656,-1
-0.23294869,-1
0.15773612,-1
0.7497765,1
-0.6159923,1
0.47179472,1
0.19884372,-1
0.10921958,1
-0.8287773,-1
-0.29971302,-1
0.3849889,1
-0.537972,-1
-0.42938733,-1
-0.3494129,-1
0.45955193,1
-0.15409115,1
-0.09426597,-1
0.25962532,1
-0.43275845,-1
0.32634947,1
-0.40228596,1
-0.51555395,-1
-0.04494536,1
0.3791894,1
-0.45807597,-1
0.16945732,-1
0.8857875,1
0.35236576,-1
0.22857085,-1
-0.31851676,1
-0.36205268,1
-0.0056263804,-1
-0.18646511,-1
-0.11368862,-1
0.1908854,1
-0.5503943,1
0.22745559,-1
-0.5677452,1
0.26001734,-1
0.13123184,1
-0.63714767,-1
0.8675998,1
-0.14842093,-1
-0.20859984,-1
0.93399715,1
-0.5357927,-1
-0.23383114,-1
0.8635434,1
-0.6379564,-1
-0.62373865,1
-0.28879112,-1
0.42658305,-1
-0.35219982,-1
0.12299204,1
0.35545412,1
-0.0022527575,1
-0.35143557,-1
-0.09676242,-1
-0.553558,-1
0.7421462,1
-0.28115812,-1
-0.57298017,-1
0.11200735,1
0.8988024,1
0.14608061,-1
0.4840805,1
-0.16692439,-1
-0.113002,-1
-0.13539094,1
-0.6510487,-1
0.24627781,-1
0.057044685,1
-0.50828665,-1
-0.37699696,-1
0.067389786,-1
0.3273224,1
-0.039692134,1
0.8809436,1
-0.63431585,-1
-0.4022014,-1
-0.21400961,1
-0.6443971,-1
0.8610606,1
0.09568009,1
-0.73193944,1
-0.8745011,1
-0.41155505,-1
-0.5648981,-1
-0.17653665,1
0.17264679,-1
-0.6894071,1
0.5212054,-1
0.030856341,-1
0.100236624,1
-0.4717472,1
0.44894984,-1
-0.6026728,-1
0.59993744,1
-0.42928365,1
-0.7324991,1
-0.25446904,-1
-0.09861967,-1
-0.5746672,1
0.5254669,1
-0.61679995,1
0.3990675,1
-0.46186313,-1
-0.54168606,1
-0.3939762,1
-0.14063093,-1
0.51311386,1
-0.5964855,1
0.293024,1
-0.43248713,-1
-0.787825,-1
-0.54788315,-1
0.6076792,1
-0.18136239,-1
0.892011,1
-0.08683953,-1
0.5353917,1
-0.668645,-1
0.43052757,1
-0.12077141,-1
-0.74963295,-1
-0.47736722,1
-0.0309816,-1
-0.4009821,-1
-0.19156238,1
0.056662142,1
-0.21588993,-1
-0.34966853,1
-0.7589367,-1
-0.34807384,1
-0.3861568,-1
-0.7236657,-1
0.23738018,1
0.019704461,-1
-0.7934971,-1
0.00018468499,-1
-0.16959602,-1
0.17731011,-1
-0.50569206,-1
0.15368855,-1
0.7950641,-1
-0.21608317,1
-0.30606905,1
0.6876444,1
-0.33785507,1
-0.44744074,-1
0.33614522,-1
0.7290869,1
0.4485003,1
0.81806076,1
-0.64615977,1
-0.10667229,-1
0.17306405,1
0.48342413,1
-0.42405474,-1
0.41961622,1
-0.7191285,1
0.8930959,1
0.66089594,1
-0.16846347,-1
-0.275007,1
-0.47547618,-1
0.4012374,1
-0.11339712,1
-0.35835302,-1
-0.14587662,-1
0.87715816,1
-0.04153642,-1
0.08743313,-1
-0.46913627,1
0.5154541,1
-0.5758598,1
-0.7532072,1
0.038485408,1
-0.56455195,1
-0.7811333,1
0.568403,-1
0.22767517,-1
-0.80199003,1
-0.5373728,1
0.30613518,-1
-0.2490707,-1
0.3620687,1
0.8825368,1
-0.32420757,1
-0.7416629,1
-0.510999,-1
-0.42861506,-1
-0.4812903,1
0.023731291,1
-0.012224942,-1
-0.05702594,-1
-0.67249805,-1
0.260585,1
-0.38059753,1
-0.28024426,-1
0.52562225,-1
-0.121680856,-1
-0.5538954,-1
-0.19973272,-1
0.52031946,1
0.5557163,1
-0.18483356,1
0.7044771,1
0.66816866,1
-0.38795736,-1
0.36178172,-1
-0.8726835,-1
-0.05889547,1
0.25272474,-1
-0.024753332,-1
0.06991038,-1
-0.3447146,-1
0.08956626,1
-0.17215538,-1
0.14183575,-1
0.39023963,1
-0.27222973,-1
0.21333721,1
0.33424369,-1
-0.0391185,-1
0.24860358,-1
-0.6704681,-1
-0.50797004,-1
-0.73681444,1
-0.38958076,1
-0.4308528,-1
-0.5467269,-1
0.7626974,1
0.5161203,1
0.28542086,1
0.37466812,1
-0.4871028,-1
0.22183421,-1
0.8220314,1
0.05145845,1
-0.042155027,-1
0.44610417,1
-0.39908743,1
-0.10262957,-1
0.055409968,1
0.83535373,1
0.42174807,1
-0.27916452,1
-0.16386557,-1
-0.2458286,-1
0.23609433,-1
-0.27826643,-1
-0.010756761,1
0.5937543,-1
-0.45299068,-1
-0.35180512,1
-0.26919496,1
-0.4659127,-1
-0.073667586,1
-0.10064188,1
-0.053307444,-1
-0.24071142,1
-0.57846475,-1
0.7709995,-1
-0.39130503,1
-0.45864344,-1
-0.23529068,-1
-0.31699157,1
0.7786383,1
-0.5237286,1
0.053366452,-1
0.741017,1
-0.7315905,1
-0.40098548,-1
-0.08207515,-1
-0.03535992,1
-0.53516483,-1
-0.825535,1
0.5744046,1
-0.43557593,-1
-0.3896388,1
0.10605931,1
-0.46995676,-1
0.6103128,1
-0.40111804,-1
-0.26691085,-1
-0.7760468,1
0.33913863,1
0.06873542,-1
-0.3675097,-1
0.5177312,1
-0.20586786,-1
-0.66715074,1
0.8467631,1
-0.059505284,-1
-0.22956371,-1
-0.61367774,1
-0.67942405,1
-0.1511333,1
0.4365144,1
0.61516833,1
-0.23141849,1
-0.13186061,-1
0.3349502,-1
0.6506901,1
-0.6161564,-1
-0.17389843,1
0.14071,-1
-0.70619184,-1
-0.43594906,-1
-0.37124118,-1
-0.4493063,-1
0.039016455,1
0.55701244,1
0.057596058,-1
-0.3266325,1
-0.28828523,1
0.23272443,1
-0.3997668,1
0.5540802,1
0.5478799,1
-0.1046052,-1
0.08199936,-1
-0.042226344,1
-0.40987313,1
0.26235998,-1
0.38630378,-1
-0.2913808,1
-0.7680161,-1
-0.0942322,1
-0.25487265,-1
-0.3892892,-1
-0.6594399,-1
-0.16683194,-1
-0.44909972,1
0.8788833,1
-0.6235771,1
0.6967044,-1
0.17239153,1
-0.2662883,-1
-0.28645548,-1
0.50745356,-1
0.11423841,1
-0.651875,-1
-0.48303333,-1
0.3378839,-1
-0.5151942,1
-0.68650293,-1
0.06155157,-1
-0.34209847,1
-0.26606473,1
-0.4526696,1
0.47084796,1
-0.4868228,-1
0.3008844,-1
-0.5848462,-1
0.0425134,-1
-0.45078018,-1
0.23709533,1
-0.3393953,-1
0.16027236,1
0.65326744,1
-0.073396325,-1
0.79570735,1
0.61022127,1
0.56168395,-1
0.66628426,-1
-0.72103256,-1
-0.66555274,-1
-0.5345658,-1
0.42860636,-1
-0.009621888,-1
0.8925347,1
0.30481377,1
0.9674076,-1
0.41743565,1
0.14873776,1
0.7985163,-1
-0.79666185,-1
-0.8393546,1
0.27178288,-1
0.9396137,1
0.51701176,1
0.6477855,-1
0.8781378,-1
-0.8025942,-1
0.21739444,-1
0.97484165,-1
0.8022082,1
-0.7077242,1
0.9829255,1
-0.23428014,-1
0.04323888,-1
-0.81726503,-1
-0.9187282,1
0.09920886,-1
0.8578747,1
-0.4113159,-1
-0.34019756,-1
-0.44012073,-1
-0.20481619,-1
0.7865006,-1
0.3378719,1
-0.5075009,-1
-0.5053132,-1
-0.122834146,-1
0.22901145,1
-0.83428925,-1
-0.7038025,-1
0.74113625,-1
0.70031714,1
-0.13309574,1
0.45040023,-1
0.9446027,1
0.17970756,1
-0.6669474,1
-0.56771195,1
0.079589784,-1
0.8882442,1
-0.53148687,-1
0.7626335,1
-0.34525728,1
-0.22237718,-1
-0.7587729,-1
-0.17545372,1
0.33682516,-1
-0.8643852,-1
0.6533704,1
0.8625576,1
0.31853914,1
-0.49469823,-1
0.12481761,1
-0.6954499,-1
-0.392354,1
0.3358627,1
0.6206143,1
0.23408908,-1
-0.32275,-1
0.96553695,1
0.6521861,1
0.83980083,-1
-0.53742754,1
-0.6360622,1
-0.66821754,1
0.16152573,1
0.46398556,1
0.90024185,1
0.82967377,-1
0.32011536,1
0.37934208,1
0.6184101,1
0.95974773,-1
0.046613336,-1
-0.8244429,1
0.9874747,1
0.18217641,1
0.9138043,-1
-0.96559125,-1
-0.75558156,-1
-0.9262536,1
-0.8474798,1
0.64116997,1
-0.16585514,-1
-0.31458417,-1
-0.9506667,-1
-0.6492627,-1
0.62466574,1
0.631222,1
0.5000783,-1
0.8210222,1
0.8965761,1
0.5959525,-1
0.82746565,-1
0.16330579,-1
-0.86998653,1
-0.6015738,1
-0.2825615,-1
-0.773038,-1
-0.87109804,-1
-0.09377164,-1
-0.14575407,-1
-0.61109906,1
0.0022913814,-1
0.8518618,1
0.79680777,1
-0.16245264,-1
0.3311445,-1
0.20124948,1
0.7564648,1
0.6299971,1
0.90132356,-1
-0.52474886,-1
-0.42878506,1
0.91968894,-1
0.25491196,1
-0.5120243,-1
0.7796917,1
0.09670305,1
0.3219068,-1
-0.8418124,1
0.23071742,1
-0.6265781,1
0.74033046,1
-0.9243687,1
-0.48086467,-1
-0.7121037,-1
-0.63450325,-1
