pred,label
-0.9719312,-1
-0.9924583,-1
0.9989882,1
0.9888193,1
0.99999005,1
0.9972881,1
0.9897585,1
0.9416532,1
0.8527693,1
0.8938502,1
-0.550739,1
-0.99990606,-1
-0.98079115,-1
-0.99974537,-1
-0.9995149,-1
-0.99887764,-1
0.98236626,1
0.9478217,1
-0.9820515,-1
-0.8831106,-1
-0.98872775,-1
-0.9995119,-1
-0.99950945,-1
-0.99969864,-1
0.9967929,1
0.748781,1
-0.86435837,-1
0.9367649,1
-0.99939847,-1
0.9614143,1
-0.99974614,-1
0.94649786,1
0.8169297,1
0.7810843,1
-0.99922067,-1
-0.99996305,-1
-0.9994578,-1
0.99747217,1
-0.96716493,-1
-0.99990225,-1
-0.9998579,-1
0.9999644,1
-0.73266995,-1
0.9984577,1
-0.947881,-1
0.9999805,1
-0.9856693,-1
-0.99688303,-1
-0.99298793,-1
0.9960546,1
-0.9247032,-1
-0.99988675,-1
-0.9991166,-1
-0.9997716,-1
-0.9902726,-1
0.79970145,1
0.99993706,1
-0.9999001,-1
-0.99073577,-1
-0.9999047,-1
0.6337018,1
-0.9989124,-1
-0.9997089,-1
-0.9992481,-1
0.92927825,1
-0.99946296,-1
0.9992881,1
0.9952221,1
-0.99912924,-1
0.98223495,1
0.999677,1
0.9886221,1
0.9887113,1
-0.9281357,-1
-0.9331087,-1
-0.5229329,-1
-0.99999595,-1
-0.3812453,1
-0.98614347,-1
0.99734235,1
0.7773245,1
-0.9997122,-1
-0.773726,1
-0.99977714,1
-0.95747167,-1
0.95171124,1
-0.987116,-1
-0.99955803,-1
-0.99687564,-1
0.9298992,1
-0.99443984,-1
-0.9923014,-1
0.99426466,1
-0.99930793,-1
0.99467736,1
-0.9996206,-1
-0.99976444,-1
0.99111086,1
-0.9994027,-1
0.657524,1
0.19572166,1
-0.99582946,-1
-0.9239353,-1
-0.6747544,-1
0.97995216,1
0.999815,1
-0.9991285,-1
-0.9910272,-1
0.99988943,1
-0.9999902,-1
-0.8902625,-1
0.10666844,1
0.6720784,1
0.9999996,1
-0.27315724,1
0.8414278,1
0.8403478,1
-0.9938956,-1
0.99997944,1
0.9997757,1
0.97860044,1
0.76828647,1
0.99919826,1
-0.99965054,-1
-0.9526987,-1
-0.8116447,-1
-0.99501383,-1
0.7465744,-1
-0.9997087,-1
-0.99987316,-1
-0.9973433,-1
0.99054015,1
-0.28769064,1
-0.5007059,1
0.989439,1
-0.99998164,-1
-0.9371786,-1
0.95471877,1
-0.93977326,-1
0.9999864,1
0.21455258,1
0.99991864,1
-0.9999407,-1
0.99843884,1
0.99837106,1
0.9963488,1
-0.99955285,-1
-0.713307,-1
-0.9982287,-1
-0.99915224,-1
-0.9969291,-1
-0.99456286,-1
-0.9999551,-1
0.9752318,1
0.68791664,1
-0.9259907,-1
0.8276184,1
0.9660515,1
-0.9971566,-1
-0.9996222,-1
-0.99996835,-1
-0.99714494,-1
-0.9157554,-1
0.93716824,1
-0.9941544,-1
-0.9965727,-1
0.99065524,1
-0.9999799,-1
0.9984077,1
-0.9408726,-1
0.9690558,1
-0.9647435,-1
-0.99998814,-1
0.9987358,1
0.99340004,1
-0.9993191,-1
0.9997544,1
-0.9925281,-1
0.99931496,1
-0.9994546,-1
-0.78200626,-1
0.9999288,1
0.9963536,1
0.8715433,1
0.2967512,1
0.7757906,1
-0.97374713,-1
-0.99675655,-1
-0.98961335,1
0.8200702,1
0.9971761,1
0.86475027,1
-0.45317602,1
0.9999432,1
-0.97384566,-1
0.99999547,1
-0.4071161,-1
0.99821395,1
-0.9999058,-1
0.99996465,1
-0.99991363,-1
-0.99831194,-1
0.99796927,1
-0.84498155,-1
0.9990382,1
0.9980837,1
0.9538819,1
-0.9990298,-1
0.99773425,1
-0.994542,-1
0.9973411,1
-0.99989253,-1
-0.99690634,-1
0.95388263,1
0.97775,1
-0.9995046,-1
0.98850524,1
-0.85228336,1
0.8846632,1
-0.99896485,-1
-0.9999066,-1
-0.99999,-1
-0.96151453,-1
-0.9903449,-1
-0.9429398,-1
-0.9999771,-1
-0.9991488,-1
0.48913363,1
-0.99567515,-1
-0.99999565,-1
-0.99999565,-1
-0.9995037,-1
0.8917029,1
-0.99376225,-1
-0.9981409,-1
0.99742216,1
-0.9994611,-1
0.9837925,1
-0.99997854,-1
-0.7784368,-1
-0.9950868,-1
-0.9864214,-1
0.99961436,1
0.80063707,-1
0.71384484,1
0.9959859,1
0.999908,1
0.6866144,1
-0.9977033,-1
-0.9996325,-1
-0.96157706,-1
