pred,label
-0.7775254,-1
-0.042304337,-1
-0.31517565,-1
0.28632057,1
-0.26906496,-1
-0.36482483,-1
0.3284719,1
-0.6705137,-1
0.24529347,1
-0.095412016,-1
-0.23259065,-1
-0.30208647,-1
-0.017302305,1
0.30979803,1
0.30187488,1
-0.2395595,-1
0.26305425,1
0.3005117,1
0.32268327,1
0.2568244,1
0.3313446,1
-0.44022277,-1
0.27894574,1
0.33422962,1
0.43908033,1
0.39797515,1
-0.7726444,-1
-0.6013855,-1
-0.29185215,-1
-0.42269477,-1
0.29096928,1
0.5372082,1
-0.31277594,1
-0.32419664,-1
0.25859618,1
-0.016539693,-1
0.4452877,1
0.05605012,-1
0.46385044,1
0.35017207,1
-0.76981664,-1
-0.3604294,-1
-0.61945254,-1
-0.8196075,-1
0.16279656,-1
0.27513343,1
-0.16106144,1
0.17279428,-1
0.5512067,-1
-0.7959452,-1
0.5339177,1
0.14576599,1
-0.42913285,-1
-0.55448836,-1
0.40092424,1
0.53093165,1
-0.36563894,-1
0.32988963,1
0.17949161,1
-0.60649896,-1
0.36854252,1
0.23623532,1
0.22276497,1
0.21476749,-1
0.1978426,1
-0.49062192,-1
0.37594798,1
0.6129175,1
0.54909956,1
-0.36448786,-1
-0.20215282,-1
0.069043905,1
0.3972469,1
-0.06642756,-1
0.23059538,1
-0.44841963,-1
-0.42536998,-1
-0.0035305917,1
-0.7887412,-1
-0.016197503,-1
0.3323977,1
0.36385325,1
0.34073234,1
0.33419687,1
-0.116475195,-1
0.124657005,1
-0.328148,-1
-0.21570706,-1
0.3561524,1
-0.40098128,-1
-0.04855436,1
-0.06323597,-1
0.34597746,1
0.37841865,1
-0.13148421,-1
-0.83493763,-1
-0.3110454,-1
-0.4524923,-1
0.26181883,1
-0.6992485,-1
-0.025064617,1
-0.261393,-1
-0.18192491,-1
-0.9613104,1
-0.8271744,-1
0.08374846,1
-0.16572627,-1
-0.23124054,1
0.30503958,1
0.32986003,1
-0.33816442,-1
0.23573142,1
0.28806278,1
-0.56812036,-1
-0.019982815,-1
0.12211755,1
-0.27513674,-1
-0.4144948,-1
-0.7421168,-1
0.36551243,1
-0.43045264,-1
0.012960881,-1
0.2426498,1
-0.4979466,-1
-0.4036764,1
0.019717008,1
-0.8056213,-1
0.26315355,1
0.31997123,1
-0.8038721,-1
0.030763,1
-0.10452539,-1
0.013657212,1
0.23816863,1
-0.8179426,-1
-0.8017546,-1
-0.61054635,-1
-0.44474703,-1
-0.18905517,-1
0.10091737,1
0.47447482,1
-0.5652014,-1
-0.37761116,-1
0.056731522,1
-0.7940398,-1
0.29767188,1
-0.59879947,-1
0.26297948,1
-0.0442743,-1
-0.06925917,-1
-0.025610685,1
-0.007999539,1
-0.08888951,-1
-0.06128785,-1
-0.011441141,1
-0.11253464,-1
-0.09609836,-1
-0.017765254,1
-0.017482042,1
-0.14259836,-1
-0.08934143,1
-0.014971048,1
-0.019534916,1
-0.016177237,1
-0.0825105,-1
-0.040362805,1
-0.016144872,1
-0.0031001568,1
-0.25738806,-1
-0.008083075,1
-0.11138582,-1
-0.07804766,-1
-0.07140809,-1
-0.088318616,-1
-0.09329608,-1
-0.04780677,1
-0.091499835,-1
-0.045535147,1
-0.030132055,1
-0.103657335,-1
-0.08637416,-1
-0.0038769543,1
-0.08745772,-1
-0.079942256,-1
-0.023558885,1
-0.008031666,1
0.0066874325,1
-0.07479143,-1
-0.013399273,1
-0.070296645,-1
-0.12870863,-1
-0.0136630535,1
-0.21543488,-1
-0.07380065,-1
-0.08780968,-1
-0.092095435,-1
-0.13437295,-1
-0.014429688,1
-0.087275624,-1
-0.0038348734,1
-0.11487082,-1
-0.0041157603,1
-0.021947086,1
-0.025899142,1
-0.078775406,-1
-0.03902003,-1
-0.09630245,-1
-0.014047921,1
-0.04733476,-1
-0.1530262,-1
-0.086580426,-1
-0.13602102,-1
-0.008825362,1
-0.064388365,-1
-0.16318095,-1
-0.005363345,1
-0.06417248,-1
-0.01297158,1
-0.1637071,-1
-0.010587424,1
0.0020305812,1
-0.057376146,1
-0.068462014,-1
-0.0040225685,1
-0.21622053,-1
-0.18699884,-1
-0.008402258,1
-0.052598774,-1
-0.024816155,1
-0.07190165,-1
-0.09287006,1
-0.089286536,-1
-0.008385003,1
-0.026972622,1
-0.09293395,-1
-0.016270727,1
-0.023663908,1
-0.00119856,1
-0.1578874,-1
-0.24566022,-1
-0.12003222,1
-0.034752727,1
-0.015932918,1
-0.0138385,1
-0.07910955,-1
-0.24815786,-1
-0.030164868,1
-0.005026132,1
-0.013579756,1
-0.024428964,1
-0.2289978,-1
-0.01404655,1
-0.23315224,-1
-0.010083169,1
-0.016768306,1
-0.030786544,1
-0.08306253,-1
-0.21865213,-1
-0.10215521,-1
-0.019139826,1
-0.009234935,1
-0.13420445,-1
-0.2123639,-1
-0.08036646,1
-0.03291264,1
-0.08838621,-1
-0.14083597,-1
-0.02108109,1
-0.1558367,-1
-0.09510785,-1
-0.021662593,1
-0.045907527,-1
-0.04150924,-1
-0.08922014,-1
-0.0766927,-1
-0.013665855,1
-0.08329931,-1
-0.02968812,-1
-0.1439527,-1
-0.030692577,1
-0.028643847,1
-0.017783076,1
-0.024889886,1
-0.004171878,1
-0.019996315,1
-0.016284168,1
-0.092633784,-1
-0.051525176,1
-0.09330988,-1
-0.013080329,1
-0.09781879,-1
-0.087852985,-1
-0.12942064,1
-0.022815913,1
-0.048074067,1
-0.2330333,-1
-0.8530066,-1
0.7626544,1
0.59251267,1
0.50096697,1
-0.44789797,-1
0.07342607,1
-0.7987139,-1
0.42582962,1
0.4662393,1
-0.658407,-1
-0.2753066,-1
0.67847025,1
-0.73112184,-1
0.049438298,-1
-0.8596438,-1
0.65722173,1
-0.7010489,-1
0.68562376,1
-0.8934412,-1
0.49114788,1
-0.964183,-1
0.712702,1
-0.7666039,-1
-0.2986467,-1
-0.9254794,-1
-0.10006383,-1
0.6247996,1
0.54292494,1
-0.5665393,-1
0.71158725,1
0.21686554,1
-0.87130237,-1
0.22726461,-1
0.33533937,1
-0.30852148,-1
-0.81309134,-1
0.8629606,1
-0.3251939,-1
-0.8037219,-1
0.49324402,1
0.55731,1
-0.39095485,-1
0.67208636,1
0.521296,1
-0.535277,-1
-0.9424488,-1
-0.1331608,-1
-0.8213316,-1
0.5629443,1
0.56242174,1
0.436163,1
-0.76314884,-1
0.7611305,1
0.6264202,1
-0.8635645,-1
-0.3642993,-1
0.3390097,1
0.41285568,1
0.6196154,1
-0.65601003,-1
-0.8360565,1
0.09989551,-1
-0.5147414,-1
0.6063347,1
0.5960446,1
0.06428024,1
-0.5325568,-1
0.048680604,1
0.20012432,1
-0.043011755,-1
-0.857011,-1
0.585658,1
-0.32955006,-1
-0.23206222,1
-0.6203852,-1
0.84408844,1
-0.57931656,-1
0.6887918,1
-0.8207859,-1
0.60139537,1
-0.7207511,-1
-0.7304537,-1
0.8659818,1
-0.84830606,-1
-0.4029443,-1
0.5630977,1
-0.83489186,-1
0.79940164,1
0.8248436,1
-0.98983735,-1
0.44507772,1
0.6253307,1
0.5879981,1
0.7189441,1
0.4931103,1
-0.8236889,-1
0.08045545,1
-0.8532255,-1
-0.5822398,-1
-0.73178536,-1
0.6361817,1
-0.6428499,1
0.36752123,1
0.59228873,1
0.19506261,-1
-0.63477767,-1
-0.9225653,-1
0.9163074,1
-0.68722,-1
0.39955428,1
0.081264615,-1
0.031425893,-1
-0.41957763,-1
0.086880445,-1
-0.3824458,1
-0.9688693,-1
0.439661,1
0.62798166,1
0.66961926,1
-0.98288476,-1
0.606447,1
-0.58329993,-1
-0.80540067,-1
0.8397182,1
-0.05072972,1
-0.09068704,-1
0.7606431,1
-0.441335,-1
-0.98775524,-1
0.45546183,1
0.74638164,1
-0.48665813,-1
0.5449773,1
0.7544699,1
0.62047416,1
-0.82487917,-1
-0.4343698,-1
-0.6686071,-1
-0.7979425,1
-0.76379293,-1
0.5500039,1
-0.30314165,-1
0.8751667,1
-0.55441743,-1
-0.97504556,-1
0.64405805,1
0.6195539,1
-0.61092365,-1
0.32759753,1
0.4940622,1
0.0667561,1
-0.32266092,1
-0.54391026,-1
0.42181817,1
0.5098143,1
-0.33374393,-1
0.086432636,-1
-0.5981312,-1
0.63974786,1
-0.75818145,-1
-0.89987,1
0.5289471,1
0.5187039,1
-0.60616773,-1
0.45568874,1
-0.095909536,-1
-0.3700273,-1
0.73387647,1
0.6525854,1
0.25112498,1
0.6638748,1
-0.69061315,-1
-0.441155,-1
-0.18635434,-1
-0.5185951,-1
-0.4703185,-1
-0.723497,-1
0.18600765,1
-0.08525616,1
0.46552676,1
-0.7070478,-1
-0.1541124,-1
0.57087123,1
-0.8270941,-1
0.44108874,1
0.27186826,1
-0.27351448,-1
-0.78423893,-1
-0.7789041,-1
0.41250247,1
-0.43377423,1
0.42134243,1
-0.69910175,-1
-0.27364424,1
