pred,label
-0.028754085,1
-0.26993215,-1
-0.3534889,-1
-0.05205208,1
-0.1438747,-1
-0.015095264,1
-0.22205439,-1
-0.3443797,-1
-0.034334183,1
-0.09606758,-1
-0.1239171,-1
-0.114984035,-1
-0.02219829,1
-0.0298796,1
-0.22339627,-1
-0.03268373,1
-0.022257358,1
-0.23501658,-1
-0.12038639,-1
-0.046693146,1
-0.014394015,1
-0.32642558,-1
-0.029630423,1
-0.10438803,-1
-0.025336653,1
-0.17502084,-1
-0.2405527,-1
-0.16123816,-1
-0.023688376,1
-0.014507353,1
-0.025489807,1
-0.1707432,-1
-0.041293442,1
-0.04290238,1
-0.18834278,-1
-0.08467275,1
-0.030904263,1
-0.17572635,-1
-0.040179342,1
-0.08594605,-1
-0.02653122,1
-0.079453856,1
-0.16397315,-1
-0.07770246,-1
-0.060013622,-1
-0.020462304,1
-0.024508804,1
-0.03482017,1
-0.16793,-1
-0.023625016,1
-0.032859027,1
-0.029748172,1
-0.15654516,-1
-0.060768098,1
-0.21685687,-1
-0.08000952,-1
-0.08932069,-1
-0.21010447,-1
-0.22603115,-1
-0.07153422,1
-0.029810697,1
-0.031798124,1
-0.19912994,-1
-0.12897915,-1
-0.023337245,1
-0.088942975,-1
-0.18143928,-1
-0.039722323,1
-0.099116385,-1
-0.037102968,1
-0.08157736,1
-0.09944928,-1
-0.022531986,1
-0.10263324,-1
-0.18686062,-1
-0.029397339,1
-0.20161295,-1
-0.032036453,1
-0.035113245,1
-0.11082113,-1
-0.043918252,1
-0.17253822,-1
-0.033729345,1
-0.05918604,1
-0.19470453,-1
-0.016593874,1
-0.040168732,1
-0.18710792,-1
-0.028908074,1
-0.14321935,-1
-0.19638655,-1
-0.21536565,1
-0.074450165,-1
-0.17991209,-1
-0.038438767,1
-0.055063725,1
-0.19884422,-1
-0.2223134,-1
-0.12689874,-1
-0.1375786,-1
-0.040284187,1
-0.12664178,-1
-0.07680747,1
-0.03403899,1
-0.09737146,-1
-0.039071023,1
-0.030160785,1
-0.027126402,1
-0.25561157,-1
-0.08810872,-1
-0.22396669,-1
-0.05085817,1
-0.06411365,1
-0.17837834,-1
-0.03228563,1
-0.20587286,-1
-0.27236772,-1
-0.098891854,-1
-0.043105572,1
-0.15990242,1
-0.25618693,-1
-0.022114754,1
-0.22458816,-1
-0.031694263,1
-0.0128698945,1
-0.12513906,-1
-0.04562986,1
-0.18577272,-1
-0.020068198,1
-0.14786363,-1
-0.046803683,1
-0.17541182,-1
-0.17055178,-1
-0.23525989,-1
-0.22219387,-1
-0.081043035,1
-0.23326504,-1
-0.18627527,-1
-0.057173163,1
-0.2591902,-1
-0.02808997,1
-0.12591678,-1
-0.038125485,1
-0.0890753,1
-0.041564494,1
-0.13235494,-1
-0.052546978,1
-0.11110473,1
-3.4958124e-05,-1
-2.7626753e-05,1
1.9669533e-06,1
-3.3557415e-05,-1
-1.7285347e-06,1
-2.887845e-05,-1
-2.399087e-05,1
-4.0084124e-05,-1
-5.751848e-06,-1
-6.303191e-05,-1
-3.2424927e-05,1
-1.5795231e-06,1
-1.4394522e-05,1
-6.0796738e-06,1
-0.00011301041,-1
-1.4007092e-06,1
-0.0001552999,-1
-2.5212765e-05,1
-3.9756298e-05,-1
-1.0639429e-05,1
-9.715557e-06,-1
-2.2828579e-05,1
-2.6494265e-05,-1
-2.3543835e-05,1
-1.0967255e-05,1
-7.009506e-05,-1
-3.862381e-05,-1
-0.00012037158,-1
-6.765127e-06,1
-6.6161156e-06,1
-1.4901161e-05,-1
-2.8312206e-05,-1
6.2584877e-07,1
-4.9203634e-05,-1
-0.00014156103,-1
1.3411045e-06,1
-2.2679567e-05,-1
-3.7133694e-05,-1
-2.7030706e-05,1
-7.867813e-06,1
-0.00015050173,-1
-1.0162592e-05,-1
-7.390976e-06,1
-2.3633242e-05,1
-4.082918e-06,1
-7.3313713e-06,1
-2.7418137e-06,1
-5.841255e-06,1
-4.5001507e-05,-1
-3.8594007e-05,-1
-3.516674e-05,1
-2.1100044e-05,1
-5.2064657e-05,-1
-1.552701e-05,1
-3.33488e-05,-1
-2.8640032e-05,1
-4.0233135e-05,-1
-2.1964312e-05,1
-2.5808811e-05,-1
-1.7225742e-05,1
-4.3034554e-05,-1
-5.593896e-05,-1
-3.054738e-05,-1
-3.954768e-05,-1
-8.523464e-06,1
-3.361702e-05,-1
-9.864569e-06,1
-3.0338764e-05,-1
-4.4971704e-05,-1
-2.1070242e-05,1
-7.927418e-06,1
-3.2782555e-07,1
-3.951788e-05,-1
-2.3007393e-05,-1
-1.5050173e-05,1
-2.1547079e-05,1
-2.2500753e-05,1
-6.467104e-06,-1
-4.2915344e-06,1
-2.5123358e-05,-1
-3.796816e-05,-1
-4.222989e-05,-1
-2.3514032e-05,1
8.583069e-06,1
-2.8550625e-05,1
-1.14142895e-05,1
-1.2129545e-05,1
-3.7014484e-05,-1
-4.082918e-05,-1
-1.4334917e-05,-1
-0.0001655221,-1
-4.3690205e-05,-1
-1.9580126e-05,1
2.413988e-06,1
-6.765127e-06,1
-0.00011381507,-1
-1.7404556e-05,-1
-9.62615e-06,1
-4.887581e-06,1
-7.390976e-06,1
1.3113022e-06,1
-1.5735626e-05,-1
-2.4557114e-05,1
-2.9176474e-05,-1
-0.00011512637,-1
-2.69413e-05,-1
-5.939603e-05,-1
-2.425909e-05,1
-3.8832426e-05,1
-3.543496e-05,-1
-5.310774e-05,-1
-0.000112473965,-1
-5.120039e-05,-1
-5.224347e-05,-1
-3.629923e-05,-1
-3.3289194e-05,-1
-3.1381845e-05,-1
8.970499e-06,1
4.5001507e-06,1
-3.874302e-05,-1
-2.9414892e-05,1
-1.9282103e-05,-1
-3.889203e-05,-1
-1.5974045e-05,-1
-3.787875e-05,-1
-2.1487474e-05,1
-1.6123056e-05,1
-5.5372715e-05,-1
-2.5212765e-05,1
-1.168251e-05,-1
-5.2452087e-06,1
-4.36306e-05,1
-1.5586615e-05,1
-2.1129847e-05,1
-4.2378902e-05,1
-5.096197e-05,-1
-4.4852495e-05,-1
-4.1663647e-05,-1
-2.2172928e-05,1
-2.1100044e-05,-1
-2.2292137e-05,-1
-3.0398369e-06,1
-1.6748905e-05,1
-2.1874905e-05,-1
-2.3961067e-05,1
-1.3947487e-05,1
