pred,label
-0.00270468,1
-0.039535105,-1
0.00096705556,1
-0.0976783,-1
-0.029869586,-1
-0.010834813,1
-0.12941849,-1
-0.010768682,1
0.0005001426,1
-0.047830373,-1
-0.03855738,-1
0.0030766726,1
-0.069654435,-1
-0.0030937493,1
-0.07074702,-1
-0.00384593,1
-0.013854951,-1
0.0014519393,1
-0.05514434,-1
-0.0023924112,1
-0.0032058656,1
0.0025073886,1
-0.025208294,-1
-0.0672774,-1
-0.045086533,-1
-0.02605179,-1
0.007891446,1
-0.00034615397,1
-0.037201792,1
-0.0277901,-1
-0.0027899444,1
-0.012848705,1
0.00084492564,1
-0.119749814,-1
-0.042903304,-1
-0.007798046,1
-0.008790314,1
-0.06231132,-1
-0.1261321,-1
0.005443841,1
-0.0019857883,1
-0.026887476,1
-0.0024703443,1
-0.02312252,-1
-0.121727586,-1
0.002196759,1
-0.00789699,1
-0.048274666,-1
-0.026828438,-1
-0.04335177,-1
-0.05671972,-1
-0.00092464685,1
-0.029838353,-1
0.0015631318,1
-0.06173891,-1
0.002482295,1
-0.029060692,-1
0.008737326,1
-0.009605914,1
-0.06471577,-1
-0.12803224,-1
-0.12901127,-1
-0.03548473,-1
-0.010231316,1
-0.041413635,1
-0.0033386648,1
-0.012199283,1
-0.02613327,-1
-0.020122647,-1
-0.0052403808,1
-0.0076898932,1
-0.0191648,-1
-0.08816549,-1
-0.009369642,1
-0.042231828,-1
-0.067043155,-1
-0.006461054,1
-0.12233609,-1
-0.037721068,-1
0.0043998063,1
0.0072380602,1
-0.05832243,-1
-0.025371403,-1
-0.11973187,-1
-0.123250276,-1
-0.0038639307,1
-0.0045817494,1
-0.070424944,-1
-0.06906775,-1
-0.036058456,-1
-0.012180418,-1
-0.07701352,-1
-0.0072279274,1
-0.0017679632,1
-0.0062224865,1
-0.005140811,1
-0.01591447,1
-0.0063046217,1
-0.007266462,1
-0.03747669,-1
-0.037476182,-1
-0.06728664,1
-0.013305873,1
-0.019296408,-1
-0.027961046,-1
-0.04784152,-1
-0.11707091,-1
-0.044655293,-1
-0.0146895945,1
-0.021256953,-1
-0.044174016,-1
-0.045335382,-1
-0.04733494,-1
-0.002138257,1
-0.0023961365,1
-0.0044557154,1
-0.007245213,1
-0.044514418,1
-0.1291818,-1
-0.016385525,1
0.0027356446,1
-0.024683684,-1
0.0017939806,1
-0.0040296316,1
-0.006092906,-1
-0.03456378,-1
-0.056281894,-1
-0.06863892,-1
-0.06312609,1
-0.007237464,1
-0.00066041946,1
-0.00040262938,1
-0.12038219,-1
-0.027553767,-1
-0.07052839,-1
-0.044353247,-1
-0.05381468,-1
-0.0063284338,1
-0.0110247135,1
0.013135999,1
-0.0059370697,1
-0.058086485,-1
-0.00768438,1
-0.00858286,1
-0.046005577,-1
-0.124150544,-1
0.004812926,1
0.004656732,1
-0.853321,-1
0.6080668,1
-0.5747111,-1
-0.34377757,1
-0.44721165,-1
0.64671886,1
-0.9952515,-1
0.5267241,1
0.69848573,1
-0.84014064,-1
0.46368924,1
