pred,label
-0.0011397302,1
-0.123559,1
-0.74503636,-1
-0.58689445,-1
-0.19619784,1
-0.7600087,-1
-0.022609025,1
-0.65607214,-1
-0.0108778775,1
-0.56180346,-1
0.027203858,1
-0.036845803,1
0.15611973,1
0.082499444,1
-0.515375,-1
0.10087189,1
0.16681659,1
0.2703323,1
-0.590276,-1
-0.76968724,-1
-0.66932356,-1
0.13417932,1
-0.7878178,-1
-0.53690684,-1
-0.7308874,1
-0.21646684,-1
0.019470304,1
-0.0027730763,1
-0.4337476,-1
-0.23977074,-1
0.05363995,1
-0.4975809,-1
-0.30423987,-1
0.17190239,1
0.03222561,1
-0.45744962,-1
0.0032378137,1
-0.56409776,-1
0.031243593,1
-0.6516831,-1
0.050015867,1
-0.20694873,1
-0.011558652,1
-0.31945872,1
-0.34119502,1
-0.38025627,-1
0.06986058,1
0.06872898,1
0.11449641,1
-0.89823097,-1
-0.7564913,-1
-0.8727646,-1
-0.58370006,-1
-0.6399913,-1
-0.5131442,-1
-0.59501976,-1
-0.25761628,1
0.054214597,1
-0.38427263,-1
0.098240346,1
-0.48746875,-1
-0.021151423,1
-0.017081678,1
-0.06694332,1
0.031918406,1
-0.6906404,-1
-0.7217228,-1
0.15281034,1
-0.23819867,-1
-0.72618294,-1
-0.6910811,-1
-0.2615252,-1
-0.1885376,1
-0.21571508,1
-0.89095926,-1
0.0828304,1
-0.3750365,-1
-0.0061150193,1
-0.6929244,1
0.04240632,1
-0.008909017,1
-0.059042424,1
-0.8517109,-1
-0.4150946,-1
-0.487627,-1
0.05737713,1
-0.15688342,1
-0.27717498,-1
-0.577548,-1
-0.26725522,1
-0.31797764,-1
0.26457298,1
-0.09654203,1
-0.80899906,-1
0.0696941,1
-0.63625497,-1
-0.25326562,1
-0.48128346,-1
-0.6233743,-1
-0.9945069,1
-0.27595404,1
-0.3862844,-1
-0.0029104352,1
-0.8493695,-1
-0.5158142,-1
-0.48198307,-1
-0.55476433,-1
-0.30274343,-1
-0.81917125,-1
-0.628399,-1
0.025337517,1
0.22912565,1
-0.11370933,-1
-0.269671,-1
-0.6511049,-1
0.013715804,1
0.03728324,1
-0.58906126,-1
0.057042778,1
-0.7031047,-1
-0.19560575,1
0.048306853,1
-0.62372226,-1
-0.22433388,-1
-0.5507925,-1
0.0027736723,1
0.029868156,-1
0.10292256,1
-0.22560945,-1
-0.53534675,-1
0.034763098,1
-0.5798144,1
-0.13357002,1
-0.5602872,-1
-0.58930445,-1
-0.39781013,1
-0.50341576,1
-0.96030384,-1
-0.62946165,-1
-0.6291057,-1
-0.06388545,1
0.0753645,-1
0.14996102,1
0.014467835,1
-0.0006804764,1
-0.8134134,-1
-0.5372176,-1
0.060436934,1
-1.5497208e-06,-1
-1.1920929e-07,-1
-7.748604e-07,-1
-5.066395e-07,1
2.9802322e-08,-1
-3.5762787e-07,-1
2.9802322e-07,-1
-4.4703484e-07,-1
-5.9604645e-08,1
-2.9802322e-07,1
-8.940697e-08,1
-8.6426735e-07,1
3.5762787e-07,1
4.4703484e-07,-1
2.9802322e-07,1
3.5762787e-07,-1
-3.2782555e-07,-1
-5.9604645e-07,1
-6.556511e-07,-1
-2.682209e-07,-1
8.940697e-08,-1
-5.066395e-07,1
-9.536743e-07,-1
6.2584877e-07,1
-5.9604645e-08,1
-3.5762787e-07,1
-5.9604645e-08,1
-9.23872e-07,1
5.9604645e-08,-1
7.4505806e-07,-1
-2.0861626e-07,-1
-1.5497208e-06,-1
2.0861626e-07,-1
0.0,1
-2.3841858e-07,1
-1.0430813e-06,1
0.0,1
-3.5762787e-07,-1
-2.9802322e-07,-1
-7.748604e-07,-1
5.066395e-07,1
-2.682209e-07,1
-2.9802322e-08,-1
-6.854534e-07,-1
-6.854534e-07,1
1.7881393e-07,-1
-4.4703484e-07,1
6.2584877e-07,-1
2.0861626e-07,1
-1.7881393e-07,1
-8.6426735e-07,-1
-3.874302e-07,-1
2.0861626e-07,1
-2.682209e-07,-1
8.940697e-08,-1
-6.2584877e-07,1
4.7683716e-07,1
-4.7683716e-07,-1
-1.4901161e-07,-1
-3.2782555e-07,-1
-3.874302e-07,-1
-4.7683716e-07,-1
5.662441e-07,-1
-6.2584877e-07,1
-4.7683716e-07,1
-8.046627e-07,-1
-1.1920929e-07,1
3.2782555e-07,1
6.854534e-07,1
4.7683716e-07,-1
-3.5762787e-07,1
-3.5762787e-07,1
-6.2584877e-07,1
-8.6426735e-07,-1
-1.1920929e-07,1
-2.3841858e-07,-1
2.0861626e-07,-1
-3.5762787e-07,1
-3.2782555e-07,-1
2.9802322e-08,-1
-9.536743e-07,-1
-2.9802322e-07,1
4.172325e-07,1
-8.940697e-07,1
2.3841858e-07,-1
-5.9604645e-08,1
-7.748604e-07,1
2.682209e-07,-1
-9.536743e-07,-1
5.066395e-07,1
-1.2516975e-06,-1
-5.9604645e-07,1
6.2584877e-07,-1
-6.854534e-07,-1
1.4901161e-07,-1
-9.23872e-07,-1
-7.748604e-07,-1
1.1026859e-06,1
-3.5762787e-07,-1
-8.6426735e-07,1
-1.7881393e-07,-1
-7.1525574e-07,1
-7.4505806e-07,1
-3.5762787e-07,1
2.0861626e-07,1
-4.4703484e-07,-1
-7.1525574e-07,-1
-3.874302e-07,1
-4.4703484e-07,1
-2.682209e-07,1
-7.748604e-07,-1
3.2782555e-07,1
0.0,1
5.9604645e-07,1
8.940697e-08,-1
1.7881393e-07,-1
-5.662441e-07,-1
-8.046627e-07,1
-6.2584877e-07,1
-2.3841858e-07,1
-1.7881393e-07,1
-1.4901161e-07,-1
8.940697e-08,-1
8.940697e-08,-1
-3.2782555e-07,-1
5.364418e-07,1
-1.1920929e-07,1
-5.662441e-07,1
-6.2584877e-07,1
-5.9604645e-07,1
2.0861626e-07,-1
2.9802322e-08,-1
-1.4901161e-07,-1
-2.682209e-07,-1
-2.9802322e-08,1
4.172325e-07,1
-4.7683716e-07,-1
-2.9802322e-08,1
-1.7881393e-07,1
-2.0861626e-07,1
-8.940697e-08,-1
6.556511e-07,-1
-8.34465e-07,1
-8.940697e-08,-1
1.7881393e-07,1
-2.9802322e-08,1
-2.0861626e-07,1
1.4901161e-07,-1
-0.00067830086,1
-0.0055633783,-1
-0.002478987,-1
-0.006355256,-1
-0.0066658854,-1
-0.0015598834,1
-0.002834469,1
-0.0018890798,1
-0.0018114448,1
-0.0025507212,-1
-0.0020688176,1
-0.0057585835,-1
-0.0020189285,-1
-0.0026541352,-1
-0.0024481118,-1
-0.0026043952,-1
-0.0009109378,1
-0.0031383932,-1
-0.005375296,-1
-0.006781906,-1
-0.0014252067,1
-0.0012547672,1
-0.0034974813,-1
-0.0028975904,-1
-0.0026762784,-1
-0.0025671422,1
-0.0016706288,1
-0.0013645589,1
-0.006109059,-1
-0.0009460449,1
-0.0006287098,1
-0.0013802648,1
-0.002399832,1
-0.0033970177,-1
-0.002244413,1
-0.0054284334,-1
-0.0009294152,1
-0.005152583,-1
-0.0016322136,1
-0.0019471943,1
-0.0029611886,-1
-0.0022578537,1
