pred,label
-0.9999852,-1
-1.0,-1
1.0,1
-1.0,-1
-0.9998444,-1
0.9998789,1
-1.0,-1
0.9994213,1
-0.99998593,1
-1.0,-1
-0.99999136,-1
-0.9999998,-1
0.99999887,1
1.0,1
1.0,1
-1.0,-1
-0.99999946,-1
0.9999459,1
0.9992862,1
1.0,1
-0.9999981,-1
-1.0,-1
0.9999971,1
0.9445327,1
0.99999684,1
-0.999733,-1
-0.99999875,-1
-0.9999884,-1
-0.9941191,1
0.99999946,1
-1.0,-1
-0.9666221,1
0.9964168,1
-1.0,-1
-0.99999815,-1
-1.0,1
0.99999994,1
-0.99999887,-1
0.9999974,1
1.0,1
0.9999992,1
-0.9961734,-1
-0.9999995,-1
-0.99999493,-1
1.0,1
0.99911326,1
-0.9999812,-1
-1.0,-1
-0.95508885,-1
0.99984306,1
-0.99999976,-1
0.9999916,1
-1.0,-1
-0.99998736,-1
-0.99999905,-1
-0.99999994,-1
-0.9999979,-1
-1.0,-1
0.9991456,1
-0.996483,-1
-0.95976514,-1
0.99997306,1
0.9999926,1
-0.99991226,-1
0.9999998,1
0.999955,1
1.0,1
0.9999976,1
-0.9977971,-1
-0.99999976,-1
0.99999946,1
-0.9999959,-1
0.99441284,1
-0.9999952,-1
0.99991775,1
0.9999768,1
0.9811886,1
-0.9998761,-1
0.99997187,1
-0.99978024,-1
1.0,1
0.9995131,1
0.9999869,1
1.0,1
0.9998467,1
-0.99999875,-1
1.0,1
0.97899723,1
0.9999998,1
-0.55605143,-1
-0.9999438,-1
0.99998015,1
-1.0,-1
-1.0,-1
0.99994785,1
0.9997149,1
-1.0,-1
0.99913126,1
0.99414825,1
-1.0,-1
-1.0,-1
1.0,1
-0.9999507,-1
0.99991184,1
-0.99999994,-1
-1.0,-1
1.0,1
-0.9999853,-1
-0.999999,-1
-0.9999959,-1
-0.9999528,-1
-0.9999993,-1
1.0,1
-0.96042573,-1
0.999999,1
0.99999934,1
-0.99999994,-1
0.9999824,1
-0.9999995,-1
-0.9905533,1
0.99971956,1
0.99998045,1
-0.9999051,-1
0.9999836,1
0.9999962,1
0.9999998,1
0.99999475,1
-0.89765465,1
-0.99999994,-1
-1.0,-1
0.9999954,1
0.99999976,1
-0.9786219,-1
-0.5462134,-1
-0.99976254,-1
-0.9999969,-1
0.99998593,1
-0.3304757,1
-1.0,-1
-0.8778775,-1
-0.99999803,-1
-0.999953,-1
0.99999976,1
-0.71176624,1
-1.0,-1
-0.99999094,-1
0.99999595,1
-0.99999595,-1
0.99995655,1
-0.9999938,-1
-0.7970361,-1
-0.9991608,-1
0.99999803,1
0.9671218,1
0.99990416,1
-0.9999166,-1
-0.2484149,-1
-0.99332654,-1
0.98608726,1
0.9998741,1
-0.89535564,-1
0.9999036,1
-0.99997264,-1
-0.9999807,1
0.94196266,1
-0.9999995,-1
0.9999995,1
0.9973174,1
0.99997836,1
-0.8676677,-1
0.9982452,1
0.9997614,1
0.9998646,1
-0.9783718,-1
-0.26207626,-1
-0.99995166,-1
-0.9999993,-1
-0.9999643,-1
-0.999999,-1
-0.9999764,-1
0.9999909,1
-0.99916136,-1
-0.9999998,-1
0.9285621,1
0.99999976,1
-0.9999528,-1
0.9999679,-1
0.9974788,1
0.9999582,1
0.99999785,1
0.99999833,1
0.9999538,1
-0.99901223,-1
0.9999915,1
-0.99711025,-1
1.0,-1
0.9996665,1
0.9999991,1
-0.9999917,-1
0.9997352,1
0.9999786,1
-0.999722,-1
0.9997769,1
-0.9999888,-1
0.99998116,1
0.9954765,1
-0.9999984,-1
0.9992611,1
-0.9999993,-1
-0.9999998,-1
0.7127389,-1
-0.9999942,-1
0.9866176,1
0.99999785,1
-0.9999788,-1
-0.99999,-1
0.9988555,1
-0.99801004,-1
0.9999993,1
-0.99978423,-1
-0.99965525,-1
-0.9875303,-1
-0.9999998,-1
-0.9999996,-1
0.9972746,1
0.9998715,1
0.99927264,1
0.9999979,1
-0.99910754,-1
-0.99999785,-1
0.9999997,1
-0.9999234,-1
0.9999687,1
0.99971557,1
0.99672,1
-0.9999992,-1
0.9999928,1
0.9999929,1
0.9963902,1
-0.9748598,-1
0.99992687,1
0.9999519,1
0.9999571,1
0.99999404,1
0.9999959,1
-0.9998987,-1
-0.9999547,-1
-0.9125825,-1
-0.99946916,-1
-0.9833545,-1
0.99552935,1
-0.9999745,-1
-0.9999993,1
0.9997528,1
-0.99999434,-1
0.9999853,1
0.9999996,1
0.9988486,1
0.9999893,1
-0.9993906,-1
-0.99999094,-1
0.025120735,1
-0.99999946,-1
-0.21258461,-1
0.97515154,1
0.99999994,1
0.9998009,1
0.99999803,1
-0.93698466,-1
-0.99990374,-1
-0.999999,-1
-0.9999996,-1
0.9932461,1
0.99999946,1
-0.9999973,-1
-0.9987901,-1
-0.99987054,-1
0.99956286,1
-0.96604,-1
-0.9999995,-1
-0.9998024,-1
0.99779606,1
0.99986905,1
-0.99999976,-1
0.99440783,1
-0.9999985,-1
0.9850691,1
-0.99999636,-1
0.9999667,1
-0.9999891,-1
-0.99519247,-1
0.9993768,1
0.9999969,1
-0.994374,-1
-0.99982435,-1
-0.99999666,-1
0.80091184,1
-0.9999802,-1
0.99572533,1
0.99790597,1
-0.99878496,-1
-0.9927517,-1
0.99995893,1
0.9999409,1
-0.6123234,-1
0.9979683,1
0.99733424,1
-0.98828614,-1
0.9999569,1
0.9959193,1
-0.9900722,-1
-0.7009946,-1
0.99995756,1
0.9973858,1
-0.9945392,-1
-0.99955875,-1
-0.99942124,-1
-0.9956585,-1
0.9996544,1
0.9960981,1
-0.99956113,-1
0.99751854,1
0.9994411,1
0.7985486,1
-0.96107334,-1
-0.9810838,-1
-0.9989199,-1
-0.9964085,-1
-0.9722182,-1
-0.9999588,-1
-0.9998204,-1
0.90634173,1
0.8344913,1
-0.9876447,1
-0.99893224,-1
-0.9998462,-1
0.98639584,1
0.99427915,1
-0.9985741,-1
-0.99998546,-1
0.99242425,1
-0.999627,-1
-0.9984393,-1
0.9967967,1
0.99821824,1
-0.99997276,-1
0.99290276,1
0.93473685,1
-0.9999769,-1
0.9987005,1
-0.999991,-1
0.9930122,1
0.99629897,1
-0.996123,-1
0.99479747,1
-0.9948473,-1
-0.99988484,-1
-0.99999475,-1
0.9999381,1
-0.99936265,-1
0.9788336,1
0.9999116,1
0.9787131,-1
0.9732646,1
-0.9997616,-1
0.999728,1
-0.58292663,-1
-0.98688203,1
-0.99726593,-1
0.9826985,1
0.997986,1
0.97898483,1
-0.8833909,-1
0.9456903,1
0.9508249,1
-0.56342566,1
-0.9683641,-1
0.9983125,1
-0.98403144,-1
-0.9999988,-1
0.9999141,1
-0.7203758,-1
-0.999029,-1
-0.99999857,-1
0.98566777,1
-0.99605596,-1
-0.9998033,-1
-0.43203092,1
-0.88141274,-1
0.9981958,1
-0.99997014,-1
0.9990597,1
-0.9990144,-1
-0.9998719,-1
-0.9999884,-1
0.99927,1
0.9924119,1
-0.5277716,-1
-0.9999335,-1
-0.99996376,-1
0.9997125,1
0.9990966,1
-0.988993,1
0.94786066,1
0.99953204,1
0.7242126,-1
-0.99995464,-1
0.58704734,1
0.99131066,1
0.9706371,1
0.99457496,1
0.9740105,1
-0.39914444,-1
-0.99973375,-1
0.9975087,1
0.9285201,1
-0.9694568,-1
-0.998652,-1
-0.9998539,-1
-0.9992502,1
-0.99613416,-1
0.09368682,-1
-0.9999694,-1
0.9957768,1
-0.9997495,-1
0.9705725,1
0.9915354,1
-0.7574674,-1
0.9991885,-1
-0.9860938,-1
0.9995364,1
0.9989487,1
0.97248954,1
-0.7925467,1
-0.9949492,-1
0.9993517,1
-0.99958384,-1
-0.99998116,-1
0.9975463,1
0.7116354,1
-0.9839796,-1
-0.9795894,-1
-0.9845503,-1
0.9968082,1
0.49066126,-1
0.99998873,1
0.9999995,1
-1.0,-1
-1.0,-1
