pred,label
0.9962591,1
-0.99958813,-1
-0.9912586,-1
0.9945793,1
0.97449005,1
-0.99702567,-1
-0.9983624,-1
0.96094066,-1
-0.94349694,-1
0.9983158,1
-0.9999103,-1
0.9953621,1
-0.9898963,-1
-0.92520005,-1
-0.9997697,-1
0.9396148,1
0.9446386,1
0.99960357,1
-0.99928325,-1
-0.4526972,1
0.9991328,1
-0.996991,-1
-0.9998245,-1
-0.987328,-1
-0.9994475,-1
-0.97022074,-1
-0.9993341,-1
-0.9708516,-1
-0.9995438,-1
0.9998904,1
-0.040234774,1
0.9271506,1
0.99150604,1
-0.99911255,-1
0.99986625,1
0.9931563,1
0.99943,1
0.9960437,1
-0.99962384,-1
-0.9998293,-1
0.9972128,1
-0.9993958,1
-0.9972073,-1
-0.78349465,1
-0.999877,-1
0.9889431,1
0.99970967,1
0.99475056,1
0.9990151,1
0.99515265,1
-0.99423975,-1
0.99975896,1
0.9999749,1
0.99918664,1
0.99817777,-1
0.9996213,1
-0.9977276,-1
0.998451,1
0.91817063,1
-0.9996477,-1
-0.9964723,-1
-0.9999893,-1
0.9936013,1
-0.9995583,-1
0.9997991,1
-0.9848068,-1
-0.9995751,-1
0.99968153,1
0.9984436,1
0.9964651,1
0.39975536,-1
0.99974066,1
-0.9931888,-1
0.99985695,1
-0.9999011,-1
0.99865097,1
0.14286134,-1
-0.985136,-1
-0.9998959,-1
-0.99998504,-1
-0.9006599,-1
-0.99986464,-1
0.99953353,1
0.9989384,1
0.9185434,1
0.9826547,1
-0.8143168,-1
0.9997976,1
-0.9997859,-1
-0.9998431,-1
0.99507785,1
-0.99997354,-1
-0.99958146,-1
-0.999933,-1
0.9984746,1
0.9998219,1
-0.99949414,-1
-0.9999204,-1
0.9967801,1
0.99389726,1
0.9962272,1
0.99994355,1
0.99120945,1
0.98490936,1
-0.99991006,-1
0.9596845,-1
-0.9395793,-1
-0.92076504,-1
0.3925486,1
0.99913234,1
0.998701,1
0.9989305,1
-0.51617646,-1
-0.9996801,-1
-0.99989766,-1
0.9541761,1
-0.9988017,-1
-0.99933314,-1
0.9904924,1
-0.99981946,-1
0.9983613,1
0.9983877,1
-0.9764674,-1
-0.24552965,-1
0.99934673,1
0.99899703,1
-0.9993677,-1
-0.9818308,-1
-0.09764686,-1
-0.99841195,-1
-0.9610726,1
0.1663926,1
-0.96759385,-1
0.959622,1
0.9038008,1
0.9940158,1
0.9999818,1
-0.9970596,-1
-0.99939346,-1
-0.98279387,-1
0.99606645,1
-0.9612891,-1
-0.9996482,-1
-0.99689966,-1
-0.97186184,-1
0.9035578,1
0.9984025,1
0.97703826,1
-1.0,-1
-1.0,-1
-1.0,-1
1.0,1
-1.0,-1
-0.99999976,-1
-1.0,-1
0.9999675,1
1.0,1
-1.0,-1
-0.9999974,-1
0.9999814,1
-0.999995,-1
0.9997773,1
-0.9999807,-1
0.9999924,1
-1.0,-1
-0.9999934,-1
-0.99925643,-1
-0.99803454,-1
0.99960744,1
1.0,1
0.9999408,1
0.9999992,1
1.0,1
-1.0,-1
0.99999946,1
-0.9999995,-1
-1.0,-1
-0.9949192,-1
0.9999995,1
-0.99835646,-1
-0.99999714,-1
-0.99999994,1
-0.96353656,-1
0.99993014,1
-0.9853699,1
0.9999997,1
0.9999995,1
-1.0,-1
0.9999973,1
1.0,1
-1.0,-1
-1.0,-1
-0.999986,-1
-0.9381467,1
-1.0,-1
-0.9949792,-1
0.99999994,1
-1.0,-1
0.99205065,-1
1.0,1
-1.0,-1
0.9997416,1
-1.0,-1
0.9999943,1
0.99983335,1
-0.9999933,-1
-1.0,-1
1.0,1
1.0,1
-0.99999976,-1
-0.999994,-1
-0.9977659,1
-1.0,-1
-0.9999993,-1
-0.9880948,-1
0.9999993,1
0.99962795,1
0.8469141,1
-0.99999994,-1
1.0,1
-0.9999755,-1
0.9997943,1
0.929717,-1
-0.99999994,-1
-1.0,-1
-1.0,-1
0.9975975,1
0.99897605,1
-1.0,-1
0.9999945,1
0.9999997,1
1.0,1
-1.0,-1
-1.0,-1
0.9999998,1
1.0,1
-0.99999976,-1
-0.9998124,-1
0.99335974,1
-0.120193005,-1
-1.0,-1
-0.99999976,1
-1.0,-1
1.0,1
-1.0,-1
0.2327294,1
0.99999946,1
0.99999905,1
0.99976563,1
0.99840605,1
-1.0,-1
0.9999966,1
-1.0,-1
-0.5217674,1
1.0,1
0.99999976,1
0.9999964,1
-1.0,-1
-0.99999994,-1
-0.9999873,-1
0.9976878,1
-0.9992181,-1
0.9999857,1
1.0,1
-0.9982723,-1
0.7736119,1
0.99994916,1
-1.0,-1
0.9999779,1
-0.99991345,-1
-1.0,-1
0.99915487,1
1.0,1
0.99999994,1
-1.0,-1
-0.30082855,-1
-0.99999946,-1
-1.0,-1
0.999988,1
0.99840695,1
-0.999759,-1
1.0,1
0.9999998,1
0.99993426,1
-1.0,-1
-1.0,-1
1.0,1
0.9996489,1
0.99999833,1
-0.9988748,1
0.9999992,1
-1.0,-1
-0.9999829,-1
-0.9999983,-1
-1.0,-1
-0.995815,1
-1.0,-1
0.59826833,1
-0.9999998,-1
-0.99999994,-1
1.0,1
-1.0,-1
-0.9984327,-1
0.32699433,1
-0.997872,1
-1.0,-1
0.9999993,1
-0.9999973,-1
-0.9998954,-1
-0.9997702,-1
0.99990815,1
0.9999806,1
-1.0,1
-0.99992466,-1
1.0,1
0.9999911,1
-0.9995836,-1
0.99980354,1
1.0,1
0.99963456,1
-0.99467814,-1
-0.9999964,-1
-0.9999903,-1
-0.99999905,-1
-1.0,-1
0.9998088,1
0.999647,1
0.999986,1
0.99999976,1
1.0,1
-1.0,-1
-1.0,-1
0.9186425,1
-1.0,-1
-1.0,-1
-1.0,-1
-1.0,-1
1.0,1
1.0,1
-0.9942578,1
0.9999947,1
-1.0,-1
-0.9999726,-1
-0.99999803,-1
-1.0,-1
0.99999976,1
-1.0,-1
0.99999994,1
-0.99999934,-1
0.9999997,1
0.9999346,1
-0.99999994,-1
-1.0,-1
-1.0,-1
0.9998958,1
0.9998643,1
0.9999993,1
-0.998941,-1
-1.0,-1
0.9995468,1
-0.9999981,-1
0.9998655,1
-0.9999509,-1
-1.0,-1
0.9995323,1
0.7457652,1
0.999985,1
-0.9999998,-1
0.99899906,1
-1.0,-1
-0.9999928,-1
0.84911865,1
0.9999819,1
0.99999934,1
0.9872578,1
0.9182974,1
-0.99983877,-1
-0.99999356,-1
1.0,1
0.05750984,-1
-0.9247056,-1
-0.999954,-1
-0.99999374,-1
0.9999373,1
0.9837645,1
-1.0,-1
-0.99996805,-1
1.0,1
0.9999898,1
0.9999905,1
-0.9995324,-1
-1.0,-1
1.0,1
1.0,1
-0.9999779,-1
-0.99817616,-1
-0.99983364,1
1.0,1
0.999981,1
-0.9999988,-1
-0.99999815,-1
-1.0,1
-1.0,-1
0.9987865,1
0.9999892,1
-1.0,-1
-1.0,-1
0.9999605,1
-1.0,-1
0.9980847,1
-1.0,-1
-1.0,-1
-1.0,-1
0.9999382,1
0.99995255,1
0.99999976,1
0.9999995,1
-0.9999933,-1
-1.0,-1
-1.0,-1
1.0,1
0.9998069,1
-0.99999756,-1
0.99992007,1
-1.0,-1
1.0,1
0.99999976,1
-1.0,-1
-1.0,-1
-0.99999976,-1
0.9999955,1
-0.93449455,1
-0.99896866,-1
-1.0,-1
0.997126,1
0.9980462,1
0.99995667,1
0.9824759,1
-1.0,-1
-0.9997725,-1
-0.94877183,1
-1.0,-1
-1.0,1
-1.0,-1
-0.99999905,-1
0.99914604,1
0.99991465,1
-0.9999986,-1
-0.9999483,-1
0.99999946,1
-0.9999991,-1
0.99464065,1
0.99815273,1
-0.99998116,-1
-1.0,-1
0.99978185,1
0.9784362,1
0.9999995,1
0.9999435,1
-0.26547417,-1
-0.9999976,-1
1.0,1
-0.99993587,-1
-0.99961483,-1
0.99999756,1
-0.9978111,-1
-0.9999368,-1
-0.9999716,-1
0.16679811,-1
-0.9980892,-1
-0.8386687,1
0.9998784,1
-0.9999917,-1
0.9404841,1
0.999999,1
0.9999995,1
0.99995923,1
-0.9996018,1
-0.9999678,-1
0.9999277,1
-0.99999994,-1
-0.9998517,-1
0.99999714,1
0.9801579,1
0.9999261,1
-0.99999714,-1
-0.9999936,-1
0.9999992,1
0.9997863,1
-0.99999475,-1
-0.9850982,-1
0.9952097,1
-0.99952495,-1
-0.99926,-1
0.9999778,1
0.9983062,1
-0.9935623,-1
-0.9814801,-1
-0.9999869,-1
0.99890006,1
-0.9999993,-1
1.0,1
0.99709475,1
-0.99893457,-1
-0.99998975,-1
-0.99998,-1
-0.9999985,-1
-0.9999988,-1
-0.99996877,1
0.9774706,1
-0.9999914,-1
-0.9999935,-1
-1.0,-1
-0.99999315,-1
-0.99999887,-1
1.0,1
0.9999757,1
-1.0,-1
-0.999789,-1
-0.96728194,-1
0.9972871,1
0.99943966,1
-0.9831018,-1
-0.9907907,-1
0.99999285,1
0.9999419,1
1.0,1
0.9996055,1
0.99981356,1
0.99924046,1
-0.9999752,-1
0.99999887,1
0.81644195,1
0.98871726,1
-0.99998766,-1
-0.99955547,-1
0.997808,1
0.9999959,1
0.9999824,1
-0.9999802,-1
0.9999757,1
0.99923396,1
0.98438466,1
0.99997574,1
-0.9976299,-1
0.99817866,1
-0.99558735,-1
-0.99869853,-1
-0.99998903,-1
0.9999319,1
-0.9976823,-1
-0.9985343,-1
-0.9999993,-1
-0.9999992,-1
0.998652,1
0.99999976,1
-0.99561155,-1
0.35140014,1
0.98786324,1
0.9980774,1
-0.9999977,-1
-0.99999887,1
-0.99999785,-1
-0.9999988,-1
0.99998474,1
-0.9943168,-1
-0.99999934,-1
0.99972177,1
0.9999257,1
-0.75143695,1
-0.9994205,-1
-0.99999374,-1
0.99010646,1
-0.9832671,-1
-0.9999995,-1
-0.9998899,-1
-0.99998873,-1
0.9999983,1
0.99994415,1
-0.99920875,-1
-0.9999216,-1
-0.99953806,-1
0.9916389,-1
-0.9999992,-1
0.9999879,1
0.99999833,1
-0.99818903,-1
0.9996838,1
0.9999976,1
0.99999875,1
0.99919707,1
0.9999988,1
0.9979919,1
0.7911442,-1
-0.9927262,-1
-0.9998574,-1
0.9999295,1
-0.99991035,-1
0.98171717,1
0.9948627,1
0.9999996,1
0.9999899,1
-0.99999994,-1
0.9997039,1
0.9999533,1
0.9951238,1
0.9999268,1
1.0,1
-0.99950445,-1
-0.9998545,-1
0.999872,1
-0.9020109,1
-0.9999899,-1
-0.9963814,-1
-0.97290236,-1
-0.98934084,-1
-0.9998023,-1
-0.99999356,-1
-0.9999933,-1
0.99998194,1
0.9990778,1
0.99982667,1
-1.0,-1
1.0,1
0.98246557,1
-0.9978666,-1
-0.99947107,-1
0.9869181,1
-0.99999356,-1
-0.9999988,-1
0.9999976,1
0.9994475,1
0.99986964,-1
0.9925738,1
0.99949306,1
0.9999984,1
0.99999994,-1
-0.99996907,-1
-0.99999857,-1
-0.9992281,-1
-0.0955593,-1
-1.0,-1
0.9904235,1
-0.9999966,-1
-0.99595875,-1
-0.9996201,-1
-0.9997949,-1
1.0,1
0.99896866,1
0.9987741,1
0.99999213,1
0.99852693,1
0.999783,1
-0.9999226,-1
0.999999,1
-0.9999993,-1
0.9999128,1
-0.9999178,-1
-0.9990864,-1
0.9866828,1
0.9994944,1
-0.99993634,-1
-0.99907947,-1
0.99999976,1
0.9960905,1
0.9999997,1
-0.9999931,-1
0.99999267,1
0.9993341,1
-0.9997308,1
0.99308085,1
1.0,1
0.99971277,1
0.9997871,1
0.9999616,1
-1.0,-1
0.99805504,1
0.99417007,1
-0.9999904,-1
-0.99959886,-1
-0.99956375,-1
1.0,1
-1.0,-1
-1.0,-1
-0.9963187,-1
-0.99999905,-1
0.8910149,-1
1.0,1
1.0,1
0.9997735,1
0.99999255,1
-1.0,-1
1.0,1
0.9995779,1
-0.99892366,-1
0.7269948,1
0.9962968,1
-0.99991685,-1
0.99952924,1
0.99991155,1
-0.9999996,-1
0.99761885,1
0.9998403,1
-0.9997665,-1
0.999801,1
-0.9996691,-1
0.9999988,1
-0.9999805,-1
-0.9998429,-1
-0.9999687,-1
-0.99841815,-1
-0.99996096,-1
-0.9999998,-1
-0.9984834,-1
-0.95727277,-1
-0.9988031,-1
-0.99999446,-1
0.9999864,1
-0.9997637,-1
0.99999815,1
-0.9999826,-1
0.9987546,1
0.99987316,1
0.99999624,1
-0.9999575,-1
-0.99998933,1
-0.9851327,1
-0.99999875,-1
-1.0,-1
-1.0,-1
-0.9974419,-1
-0.9999981,-1
1.0,1
-0.9999991,-1
0.9998436,1
1.0,1
-1.0,-1
-0.99882984,-1
