pred,label
0.99646944,1
0.9859899,1
-1.0,-1
0.5697522,-1
0.99281824,1
0.99999404,1
-0.8584711,-1
0.9815716,-1
0.99994713,1
-0.9997814,-1
-0.99999976,-1
0.9784014,1
-0.8379319,-1
1.0,1
-0.9999983,-1
-0.99873865,-1
-1.0,1
-0.9997945,-1
0.99996376,1
-0.99997646,-1
-0.999544,-1
-0.99864626,-1
0.9107931,1
0.9999996,1
0.9981645,1
-0.9999976,-1
-0.9999998,-1
-1.0,-1
0.99982285,1
0.99999356,1
0.9999743,1
0.9997763,1
-0.9993436,-1
0.9750444,1
0.99869055,1
0.99987197,1
-0.9990099,-1
-0.99999946,-1
-1.0,-1
0.9999869,1
1.0,1
1.0,-1
0.99996907,1
0.9999456,1
-0.9999998,-1
-0.9985064,1
0.9999604,-1
-1.0,-1
-0.9999957,-1
-0.99951947,-1
-0.99999994,-1
-0.9968362,-1
-0.99999994,-1
0.99999976,1
1.0,1
0.9999992,1
-0.9993183,-1
0.99998647,1
0.9999835,1
0.9998111,-1
0.9999991,1
0.9999516,1
-0.99999994,-1
-1.0,-1
0.9896859,1
0.9999364,1
0.9999984,1
0.9999342,1
-0.9999992,-1
0.9999971,1
-1.0,-1
0.9995047,1
-0.9998822,-1
0.999928,1
-0.99999815,-1
-0.5128515,1
1.0,1
-1.0,-1
-0.99956506,-1
0.99994254,1
-0.9983705,-1
0.9998312,1
-0.99999994,-1
0.9999285,1
-0.99999994,-1
0.9993562,1
-0.99999976,-1
0.9999912,1
-0.9999998,-1
-0.99519336,-1
-0.9999828,-1
-0.85897195,1
-0.9999998,-1
0.9999914,1
-0.9999769,-1
0.9999857,1
0.992613,1
0.9999818,1
0.99990964,1
0.9999909,1
0.999999,1
-0.9994444,-1
0.9999788,1
0.9999823,1
-0.9998215,-1
0.9999938,1
-1.0,-1
-0.9999886,-1
-0.99999976,-1
-0.9999981,-1
0.9999058,1
-0.99978375,-1
0.99787134,1
0.9999211,1
-0.9841715,-1
0.9999912,1
-1.0,-1
0.99989885,1
-0.9999905,-1
-0.9999998,-1
0.9965068,1
-0.99995065,-1
0.9999998,1
-0.89474064,-1
-0.99999934,-1
-0.99999714,-1
-0.99999994,-1
0.9999953,1
0.99982625,1
0.9220173,1
-0.999994,-1
0.99959594,1
1.0,1
0.99998975,1
1.0,1
0.99768806,1
0.9993841,1
-0.9998966,-1
-0.99689674,-1
-0.99999714,-1
-0.98667145,-1
0.9999823,1
-0.9965309,1
-0.9999998,-1
-0.9999977,-1
-0.9999938,-1
-1.0,-1
-0.9999504,-1
0.8410387,1
-0.97191334,1
-0.99996686,-1
-0.99999124,-1
0.9798491,1
-0.9999912,-1
-0.9999969,-1
-0.99999875,-1
-0.99999994,-1
0.9999998,1
0.99999696,1
-1.0,-1
0.99999976,1
-0.9987132,-1
0.99999994,1
1.0,1
-0.99997497,-1
0.99499434,1
0.9949958,-1
-0.99902195,-1
-0.999908,-1
0.9985157,1
-0.9999559,-1
-0.9999992,-1
0.9999897,1
0.9153237,-1
-1.0,-1
-0.99999946,-1
0.9992023,1
-0.99765885,-1
-1.0,-1
-0.99998325,-1
-0.9999993,-1
-1.0,-1
-0.99752593,-1
-0.99999446,-1
0.99998206,1
0.9999449,1
0.9993914,1
0.6214422,1
0.99996066,1
-1.0,-1
0.9995779,1
-1.0,-1
-0.9999995,-1
0.9999995,1
-0.99597096,-1
-1.0,-1
0.99901795,1
0.99999875,1
-0.986872,-1
0.99999994,1
-0.9999971,-1
0.9999996,1
-0.9616161,-1
-0.996923,-1
1.0,1
-0.99999905,-1
-0.9999642,-1
0.9999917,1
0.99999976,1
0.9999695,1
-0.99999785,-1
1.0,1
0.99962527,1
-0.99999976,-1
-0.9999986,-1
-0.9999848,-1
0.96807903,1
0.95601064,-1
0.9999938,1
-0.99999994,-1
1.0,1
0.99999857,1
0.9998538,1
-0.9937667,-1
0.9999997,1
1.0,1
0.99999976,1
0.9999995,1
0.9700391,1
0.9775358,-1
0.9999311,1
0.9985308,1
0.99999857,1
0.9998339,1
-0.99681747,-1
0.99995184,1
0.95694727,1
-0.99996513,-1
0.9853183,1
-0.9999902,-1
0.9999928,1
-0.99999577,-1
-1.0,-1
-0.9999995,-1
-0.9999916,-1
-0.999836,-1
-0.99999976,-1
0.9997456,1
0.9999897,1
0.99976903,1
0.9994732,1
-1.0,1
-1.0,-1
0.9999612,1
0.99999166,1
-0.9999998,-1
-0.98636234,-1
1.0,1
-1.0,-1
0.9861486,1
-0.9990935,-1
1.0,1
0.9999047,1
-0.9988789,-1
-1.0,-1
-0.95615596,-1
-0.9970078,-1
0.9972695,1
-0.9999948,-1
-0.9999992,-1
0.99807,1
0.99897975,1
0.9999723,1
0.9997413,1
0.9999993,1
0.83399403,1
-0.9999955,-1
0.99929214,1
-0.99988866,-1
-0.99999976,-1
0.9556135,1
-0.9999984,-1
0.99964505,1
-1.0,-1
-0.9999543,-1
-0.93776476,-1
0.99971694,1
-1.0,-1
0.99999946,1
-0.99999994,-1
0.9297017,1
0.16980329,1
-1.0,-1
1.0,1
-1.0,-1
0.99999666,1
-0.99996924,-1
-1.0,-1
-1.0,-1
0.99999887,1
-0.99999756,-1
0.99998647,1
-1.0,-1
-1.0,-1
-0.8580301,-1
1.0,1
-1.0,-1
1.0,1
1.0,1
-0.9999829,-1
-0.99999404,-1
-0.9991108,1
1.0,1
1.0,1
-1.0,-1
-0.9999995,-1
1.0,1
1.0,1
-1.0,-1
0.9999221,1
-1.0,-1
1.0,1
0.9999957,1
-1.0,-1
-1.0,-1
-0.99999875,-1
1.0,1
1.0,1
1.0,1
0.9999993,1
1.0,1
-1.0,-1
-0.99999934,-1
-1.0,1
0.999898,1
-1.0,-1
-1.0,-1
-1.0,-1
-0.9999996,-1
-0.99998766,-1
1.0,1
-0.9999996,-1
-0.9999998,-1
1.0,1
1.0,1
0.9998947,1
1.0,1
0.9999969,1
1.0,-1
-1.0,-1
1.0,1
1.0,1
0.9999985,1
0.99999905,1
1.0,1
-1.0,-1
-1.0,-1
-1.0,-1
1.0,1
1.0,1
-0.9997249,-1
0.9992836,1
-1.0,-1
1.0,1
-1.0,-1
0.9999833,1
-0.9894103,-1
