pred,label
-1.0,-1
-0.9998758,-1
-0.9914363,-1
-0.9999228,1
0.9999521,1
-0.99999005,-1
0.9999835,1
-0.11157751,1
-0.96434903,-1
0.9999998,1
1.0,1
-0.14536038,-1
0.9999993,1
0.9999998,1
-0.99071443,-1
1.0,1
-0.99999976,-1
0.9999997,1
0.9999991,1
-0.9999898,-1
0.99997765,1
-1.0,-1
-0.9999893,-1
-1.0,-1
-0.99997014,-1
-1.0,-1
-0.98671377,-1
-0.9999973,-1
0.9999992,1
0.9872011,1
0.99999374,1
-1.0,-1
0.9999998,1
0.99066246,1
0.9999941,1
0.99992895,-1
0.9999924,1
0.9999903,1
-0.9999993,-1
-0.99985504,-1
-0.99961174,-1
-0.99999887,-1
-0.9605747,-1
-1.0,-1
0.9999997,1
-0.99889225,-1
-0.9999836,-1
0.9999671,1
-0.9976306,-1
0.99999857,1
-0.9999984,-1
0.9981571,1
0.9999215,1
0.9999997,1
0.9999998,1
-0.9999974,-1
-0.9994756,-1
-0.99921596,-1
-0.9999008,-1
-0.9883238,-1
-1.0,-1
-1.0,-1
0.99937963,1
0.99819666,1
0.999968,1
0.9999961,1
0.9998874,1
-0.98502356,-1
-0.9871092,-1
-0.99826515,-1
0.99999857,1
0.9985026,1
0.99999976,1
-1.0,-1
0.9999992,1
0.9999783,1
-0.998799,-1
-1.0,-1
0.99999833,1
-0.99948174,-1
-0.9997209,-1
-0.6807377,-1
-1.0,-1
-0.99994063,-1
-0.99997014,-1
0.99997324,1
-0.99998474,-1
0.99970275,1
-0.999965,-1
1.0,1
-0.98421264,-1
1.0,1
0.9999995,1
-0.9999289,-1
-1.0,-1
0.99991304,1
0.999993,1
-1.0,-1
-0.7541644,-1
0.9999798,1
0.9999996,1
0.7833283,1
-0.7022695,-1
-0.9999912,-1
-1.0,-1
-0.5023568,-1
0.9999938,1
0.9999409,1
0.99996656,1
0.9989999,1
0.9996542,1
0.999964,1
0.9997692,1
0.9810012,1
-0.9998018,-1
-0.9987544,-1
0.9984058,1
-0.99999475,-1
-0.9999943,-1
-1.0,-1
-1.0,-1
0.99999976,1
-0.99974537,-1
-0.99727124,-1
-0.99995804,-1
-0.9962063,1
-1.0,-1
0.9999845,1
-1.0,-1
0.9999254,1
-0.99999994,-1
0.9999392,1
-0.999959,-1
0.9961754,1
-0.99991065,1
-0.99539953,-1
0.99999017,1
0.9999996,1
0.9997058,1
0.9989611,1
0.99428934,1
-0.99995613,-1
1.0,1
0.9994609,1
-1.0,-1
0.99999976,1
0.4223515,1
0.9997025,1
-0.99999756,-1
0.99969417,1
1.0,1
