pred,label
0.9999999,1
1.0,1
1.0,1
0.9999875,1
1.0,1
0.00016841668,-1
5.5616683e-12,-1
2.5388563e-10,-1
4.014339e-09,-1
0.63321936,-1
0.99999905,1
1.4575456e-09,-1
0.99999905,1
6.70291e-08,-1
1.0,1
2.4673485e-09,-1
1.0,1
1.0,1
0.99999654,1
1.6255335e-06,-1
0.061874866,-1
4.1636925e-09,-1
5.1730616e-12,-1
0.0007856281,-1
0.99979955,1
1.0,1
2.3617419e-12,-1
1.3623042e-11,-1
1.0,1
1.0,1
1.0,1
3.013665e-07,-1
2.15192e-09,-1
1.0,1
0.99999917,1
0.009108675,-1
0.9999999,1
3.76651e-06,-1
1.2252959e-11,-1
1.0,1
1.0,1
7.993743e-11,-1
1.1110149e-06,-1
9.449265e-12,-1
1.0,1
1.1997622e-11,-1
1.0,1
1.0,1
2.2366529e-09,-1
0.99999213,1
0.0005020806,-1
5.4100735e-08,-1
1.0,1
0.43489966,1
0.9999912,1
0.99999726,1
0.9999999,1
5.1344205e-08,-1
1.9509045e-11,-1
1.6054244e-05,-1
0.9999912,1
2.1961304e-16,-1
1.0,1
1.1533655e-09,-1
0.99999976,1
1.0,1
1.0,1
1.9049153e-08,-1
0.9999988,1
1.0,1
3.250694e-09,-1
0.9995802,1
1.0,1
1.9164367e-10,-1
1.0,1
0.9999995,1
1.0,1
0.9998467,1
4.0523022e-07,-1
7.7029263e-13,-1
1.0,1
7.254758e-07,-1
3.0782749e-10,-1
1.4591034e-09,-1
6.436579e-07,-1
9.270119e-13,-1
0.99991155,1
1.0,1
1.0,1
1.5324271e-12,-1
1.0,1
1.0,1
3.4388728e-11,-1
7.337679e-08,-1
2.6001482e-11,-1
6.850945e-08,-1
3.266524e-05,-1
0.99999976,1
1.1651894e-07,-1
6.241034e-08,-1
1.9690456e-12,-1
2.966707e-10,-1
1.0,1
1.0,1
1.0,1
3.2984182e-05,-1
2.0136852e-07,-1
2.8253858e-11,-1
3.2766542e-07,-1
1.0,1
1.0,1
1.0,1
1.2223384e-07,-1
0.9999882,1
1.0,1
1.0,1
4.5410578e-09,-1
1.0,1
0.9996848,1
8.154743e-09,-1
1.0,1
1.0,1
5.0309525e-09,-1
3.6063476e-08,-1
1.1338711e-06,-1
1.1759835e-09,-1
1.0,1
1.3189828e-12,-1
1.0,1
0.99999964,1
1.0,1
3.6824613e-11,-1
2.3721347e-08,-1
0.99999976,1
0.99999344,1
2.0025719e-07,-1
7.045972e-10,-1
1.6939824e-08,-1
1.0,1
1.0,1
1.8590733e-07,-1
1.0,1
0.9999964,1
1.3218836e-09,-1
0.9927443,1
0.99999964,1
6.889095e-14,-1
1.0,1
