pred,label
0.012037471,-1
0.018373335,-1
0.0627193,-1
0.090664275,-1
0.02086036,-1
0.011035338,-1
0.9051893,1
0.8421322,-1
0.84416556,1
0.9828231,1
0.991458,1
0.010903874,-1
0.9269222,1
0.9075325,1
0.9916488,1
0.010986124,-1
0.22736053,-1
0.030414438,-1
0.9877257,1
0.9732478,1
0.66883546,1
0.15475745,-1
0.94863206,1
0.96761227,1
0.32633233,-1
0.018703422,-1
0.24682593,-1
0.014949185,-1
0.89282566,1
0.06523149,-1
0.02084414,-1
0.04244563,-1
0.11754695,-1
0.048406243,-1
0.034891047,-1
0.98857784,1
0.88465905,1
0.97654814,1
0.015735462,-1
0.9820395,1
0.74004644,1
0.022148004,-1
0.018185826,-1
0.9344758,-1
0.8823013,-1
0.89425737,1
0.044003755,-1
0.9527943,1
0.83573365,1
0.03321141,-1
0.4696021,-1
0.026290305,-1
0.9122887,1
0.9728679,1
0.10980534,-1
0.8600938,1
0.04842694,-1
0.07089369,-1
0.02313795,1
0.025397511,-1
0.03342885,-1
0.7949206,1
0.036136575,-1
0.96787024,1
0.98314637,1
0.47665727,1
0.011776843,-1
0.89485234,-1
0.51655734,1
0.46035972,-1
0.021585014,-1
0.9627203,1
0.877461,-1
0.11263864,-1
0.97998893,-1
0.05198879,-1
0.040922545,-1
0.9964599,1
0.978753,1
0.98830926,1
0.02881724,-1
0.004536993,-1
0.9963405,1
0.98459727,1
0.9702389,1
0.9747218,1
0.7995303,1
0.99218494,1
0.12918189,-1
0.047398835,-1
0.021170896,-1
0.29895753,-1
0.9626979,1
0.99328846,-1
0.99364215,1
0.98125184,1
0.47696927,1
0.98910236,-1
0.06472489,-1
0.09598427,-1
0.9809052,1
0.97073823,1
0.9157623,-1
0.048720114,-1
0.9780995,1
0.11084802,-1
0.9882036,1
0.9977448,1
0.85466075,1
0.021578668,-1
0.35682875,-1
0.992305,1
0.94613796,1
0.008283086,-1
0.05013017,-1
0.0017601773,-1
0.9500087,1
0.009152222,-1
0.051952824,-1
0.9353386,1
0.9729392,1
0.9769703,1
0.9966569,1
0.96781546,1
0.94824934,1
0.065682605,-1
0.8125304,1
0.9877648,1
0.11634071,-1
0.03701169,-1
0.9684397,1
0.9137967,-1
0.7845431,1
0.94720995,1
0.9953302,1
0.05693681,-1
0.09153362,-1
0.8822991,1
0.4454754,1
0.9860939,1
0.9924569,1
0.21100959,-1
0.99390525,1
0.99553716,1
0.07989624,-1
0.9740976,1
0.14741075,-1
0.10294822,-1
0.9275825,1
0.99233115,1
0.9938067,1
0.9780018,1
0.31372294,1
0.8614389,1
0.9869234,1
0.94185615,1
0.93880755,1
0.9489777,1
0.005749099,-1
0.980188,1
0.9957397,1
0.996222,1
0.18642344,-1
0.87748957,1
0.010243578,-1
0.027437009,-1
0.9857164,1
0.015481706,-1
0.996258,1
0.78169984,1
0.25684947,-1
0.00267559,-1
0.99943334,1
0.025857324,-1
0.042757116,-1
0.98384607,1
0.9932081,1
0.038256463,-1
0.9698383,1
0.015515203,-1
0.097562104,-1
0.0077378848,-1
0.01243818,-1
0.14983362,-1
0.18629381,1
0.048611403,-1
0.8523357,1
0.9909931,1
0.7477848,1
0.967315,1
0.8824134,1
0.9816016,1
0.33385912,-1
0.99388206,1
0.9395936,1
0.008391318,-1
0.00838582,-1
0.9427226,1
0.83214283,1
0.0048340736,-1
0.027716164,-1
0.9480994,1
0.9982932,1
0.9897865,1
0.96769845,1
0.88762873,1
0.26343468,-1
0.99559855,1
0.020675262,-1
0.07193842,-1
0.96101844,-1
0.9958872,1
0.041515373,1
0.474826,-1
0.9937603,1
0.0700964,-1
0.3350046,-1
0.030069588,-1
0.9746568,1
0.03329929,-1
0.030136239,-1
0.8984603,1
0.037502658,-1
0.0510218,-1
0.9857901,1
0.10231268,-1
0.11944079,-1
0.9808714,1
0.079501614,-1
0.98975253,1
0.9766831,1
0.5980271,1
0.9914289,1
0.9403896,1
0.98962224,1
0.14598162,-1
0.024884282,-1
0.9814524,1
0.03383599,-1
0.98898685,1
0.84427965,1
0.95299673,1
0.9572573,1
0.34764883,1
0.014289327,-1
0.019943021,-1
0.09104765,-1
0.07431868,-1
0.083958544,-1
0.24310264,1
0.9927543,1
0.9798719,1
0.9931891,1
0.06257375,-1
0.063101284,-1
0.017211987,-1
0.3104696,-1
0.9673208,1
0.030793248,-1
0.9402727,1
0.86384374,1
0.1300372,-1
0.82799226,1
0.054435752,-1
0.984201,1
0.118901715,-1
0.15278383,-1
0.05434434,-1
0.9008857,1
0.39820626,-1
0.9359479,1
0.007599836,-1
0.9865519,1
0.002437999,-1
0.94214356,1
0.02847305,-1
0.87167907,1
0.052908286,-1
0.88630676,1
0.25192848,-1
0.036656447,-1
0.9957066,1
0.019503549,-1
0.027800098,-1
0.0382358,-1
0.019774226,-1
0.02309873,-1
0.8412235,1
0.9933842,1
0.112600826,-1
0.32024834,-1
0.9889553,1
0.005571721,-1
0.968362,1
0.010090487,-1
0.18019529,-1
0.74486864,1
0.008060272,-1
0.9613145,-1
0.01321307,-1
0.07729838,-1
0.06323231,-1
0.8001779,-1
0.008599475,-1
0.9749527,1
0.065837696,1
0.03178445,-1
0.9910245,1
0.98376113,1
0.99442,1
0.008439782,-1
0.02151976,-1
0.0309129,-1
0.99861896,1
0.96361005,1
0.987649,1
0.9758331,1
0.85585725,1
0.98792726,1
0.10433478,-1
0.98971117,1
0.0405034,-1
0.13752994,-1
0.0076097464,-1
0.15922223,-1
0.9926237,1
0.79531676,-1
0.015010341,-1
0.028837023,-1
0.9091567,1
0.1842148,1
0.15891995,-1
0.99449795,1
0.9976246,1
0.01355382,-1
0.0097390935,-1
0.034356885,-1
0.34962845,1
0.044163827,-1
0.9986065,1
0.060131963,-1
0.88086075,1
0.2974826,1
0.055354018,1
0.013220743,-1
0.95434374,1
0.0016069248,-1
0.09472359,-1
0.17333543,-1
0.99350005,1
0.24532823,-1
0.23532923,1
0.077600926,-1
0.98598075,1
0.018281499,-1
0.95724577,1
0.0111518465,-1
0.976548,1
0.99809533,1
0.0787627,-1
0.019757003,-1
0.7487556,1
0.9827775,1
0.93547416,1
0.64803684,1
0.056715377,-1
0.013084016,-1
0.14388064,1
0.9726289,1
0.09776432,-1
0.9992086,1
0.8755612,1
0.9563591,1
0.862375,1
0.8638458,1
0.61254174,-1
0.14324042,-1
0.9941328,1
0.1216717,-1
0.9862358,1
0.92814964,1
0.985007,1
0.008453929,-1
0.03677028,-1
0.99772376,1
0.60948956,-1
0.8784751,1
0.02497048,-1
0.98042583,1
0.5428187,1
0.3498946,1
0.99204046,1
