pred,label
0.22291516,-1
0.19323254,1
0.013369695,1
0.35060057,1
0.85094565,1
0.34698716,-1
0.41922647,1
0.2833836,-1
0.115309164,1
0.5160332,-1
0.54810333,1
0.4652204,-1
0.119205505,-1
0.7692981,-1
0.79787076,1
0.21215793,-1
0.18665934,-1
0.5990376,1
0.09242493,1
0.2280929,1
0.39711428,-1
0.56593835,1
0.47767296,-1
0.628384,1
0.10862521,-1
0.23681884,-1
0.14113691,-1
0.57929826,-1
0.7849344,-1
0.5560007,1
0.82170147,1
0.45125675,-1
0.9889811,-1
0.3582593,-1
0.20835443,-1
0.27574074,-1
0.96195793,-1
0.59960127,-1
0.4771973,-1
0.7934301,-1
0.35951492,1
0.38317302,1
0.89455634,1
0.34341407,1
0.8614111,1
0.12830658,1
0.29306662,-1
0.4951543,1
0.5290373,-1
0.23123245,1
0.530275,-1
0.8453691,1
0.38635343,-1
0.5409018,-1
0.3011525,-1
0.10290556,-1
0.45390242,1
0.088686824,-1
0.51554,-1
0.46236834,1
0.056325268,-1
0.60607237,-1
0.19742511,-1
0.40947765,1
0.23637603,-1
0.5036304,-1
0.6817393,-1
0.29869652,-1
0.795545,1
0.89676714,1
0.53935903,-1
0.8315292,-1
0.2090719,1
0.68946433,1
0.20815928,-1
0.28401816,-1
0.43366247,-1
0.2683802,1
0.3774716,1
0.21705312,-1
0.33998266,-1
0.18974501,-1
0.3865291,-1
0.5239613,1
0.73823005,-1
0.7234692,1
0.42784458,-1
0.54669076,-1
0.11695387,1
0.9950696,1
0.45409438,1
0.34230658,-1
0.3415741,1
0.7257318,-1
0.7333455,1
0.8734424,1
0.5417162,-1
0.5387628,-1
0.92972773,-1
0.2651673,1
0.62033886,-1
0.59329313,-1
0.3289896,-1
0.24703528,-1
0.38219923,-1
0.36643422,-1
0.27348557,-1
0.22205046,1
0.22335865,1
0.23527327,-1
0.47712493,-1
0.18553706,-1
0.45467356,-1
0.43438655,-1
0.59055936,-1
0.57734126,1
0.91739327,1
0.4570898,1
0.5021304,-1
0.1949083,1
0.40456194,1
0.50607675,1
0.43302464,-1
0.52074516,-1
0.24798302,1
0.81639,-1
0.9205578,1
0.28605518,1
0.30882916,1
0.2778008,1
0.16881824,1
0.29496098,1
0.33145434,1
0.5306666,1
0.60224956,1
0.20238529,1
0.6772437,-1
0.81779146,1
0.9231155,1
0.08438206,-1
0.26483944,-1
0.28117692,-1
0.6014726,-1
0.24947983,-1
0.25318694,-1
0.60588294,1
0.4609783,-1
0.7061328,-1
0.854274,1
0.2662245,-1
0.49788517,-1
0.44974247,1
0.34332898,1
0.48813492,-1
0.708243,1
0.7150099,1
0.55499965,1
0.27583078,1
0.67373836,-1
0.423663,-1
0.33569747,1
0.53378594,1
0.24770162,-1
0.4487877,-1
0.54990864,-1
0.7455946,1
0.33628237,1
0.62291634,1
0.15105328,1
0.8331336,1
0.3806105,-1
0.16934709,-1
0.19072352,-1
0.2759263,-1
0.24455559,1
0.59788144,1
0.25919273,1
0.4051655,-1
0.5395614,-1
0.32355475,1
0.12801343,-1
0.7326462,1
0.5123462,-1
0.23964545,-1
0.26471287,-1
0.28113338,-1
0.292531,-1
0.5732717,-1
0.35018405,-1
0.7874261,1
0.52128714,-1
0.67909366,-1
0.18931301,-1
0.58821297,-1
0.1140551,1
0.123049036,1
0.7527371,1
0.5341058,1
0.4105272,1
0.13488275,-1
0.72080094,1
0.45002916,1
0.4976646,-1
0.28303567,1
0.28801987,-1
0.13938762,-1
0.6300648,1
0.74679154,1
0.30998784,1
0.4043123,1
0.17074063,-1
0.18641633,1
0.40176308,1
0.32463917,-1
0.2872194,1
0.45439368,1
0.13630438,-1
0.24095163,-1
0.12976103,1
0.5582539,-1
0.72062474,1
0.85201496,-1
0.7813266,1
0.6843629,1
0.3627583,1
0.41960385,1
0.39562735,-1
0.7057324,-1
0.19989605,-1
0.724747,-1
0.12863927,1
0.92461514,-1
0.21791607,1
0.948411,1
0.30783454,-1
0.13636242,-1
0.7705691,1
0.54674935,-1
0.6073874,1
0.09456816,-1
0.122856475,1
0.341518,1
0.12119016,1
0.2915884,-1
0.1956411,1
0.7379623,-1
0.39834404,-1
0.71799976,1
0.90987825,-1
0.714411,1
0.10587251,1
0.1779647,-1
0.73897713,-1
0.22517392,-1
0.6576868,1
0.09097524,-1
0.14513578,1
0.57893205,1
0.3629739,-1
0.5169194,-1
0.4050536,-1
0.17818812,1
0.29218617,1
0.40113166,1
0.61527133,1
0.797291,1
0.13386922,-1
0.8773879,-1
0.3927902,-1
0.62414426,1
0.9321962,1
0.3483391,-1
0.2828009,1
0.94337356,-1
0.5752022,1
0.66770405,1
0.2064351,-1
0.036401045,-1
0.49169382,1
0.2348287,1
0.7321192,1
0.47409067,1
0.860558,-1
0.5174852,1
0.8712088,1
0.25334427,-1
0.65232295,1
0.43670097,1
0.12832412,1
0.7316717,1
0.35958987,-1
0.9474416,1
0.6135676,-1
0.2394707,-1
0.22742738,-1
0.28321776,-1
0.95397985,1
0.52966565,1
0.066723324,1
0.20552431,1
0.4539324,-1
0.4646903,-1
0.118263714,1
0.88376397,1
0.6964947,1
0.7383806,-1
0.48287934,-1
0.05986947,-1
0.17581189,1
0.5204025,1
0.9355419,1
0.092042215,1
0.7448696,-1
0.78360844,1
0.16090402,-1
0.6600925,-1
0.19176714,-1
0.3619062,1
0.13368689,1
0.3529495,1
0.47378922,-1
0.35365874,-1
0.4909061,-1
0.23057902,-1
0.16292289,1
0.7529832,1
0.8635392,-1
0.49341798,-1
0.6489397,1
0.63408494,1
0.28895655,1
0.12758647,-1
0.04761618,-1
0.0413285,-1
0.21164756,1
0.48330036,1
0.5785731,-1
0.56994224,1
0.48452014,-1
0.95242965,1
0.5660008,1
0.5955718,-1
0.9515343,1
0.6325532,-1
0.25858003,1
0.28327167,-1
0.38356903,1
0.33666533,-1
0.29756102,1
0.88729316,-1
0.02314575,-1
0.4297088,1
0.3346652,1
0.9381922,1
0.6328836,-1
0.3230034,1
0.3134278,-1
0.2677875,1
0.7052262,-1
0.8687014,1
0.2621775,1
0.12062817,1
0.41821525,-1
0.7512398,-1
0.76225764,-1
0.45324337,-1
0.63542825,1
0.5544464,-1
0.21996234,1
0.8577286,-1
0.5834135,1
0.7424557,1
0.18410343,-1
0.43670774,-1
0.25109765,-1
0.36247462,-1
0.30856803,1
0.27895647,-1
0.47145948,1
0.5168737,-1
0.26797152,1
0.4052673,1
0.7739849,1
0.1475721,1
0.05716359,1
0.7644768,-1
0.8278159,-1
0.7616881,1
0.6798971,-1
0.9030975,1
0.54984194,1
0.48011088,-1
0.43969467,1
0.35799918,1
0.895938,1
0.36040926,-1
0.56619525,1
0.69160837,-1
0.57138306,1
0.30763775,-1
0.57701355,1
0.42264798,1
0.34773514,-1
0.2580799,-1
0.8582624,-1
0.6841267,1
0.8430733,1
0.57841533,1
0.25938275,-1
0.19350667,1
0.23973572,1
0.1931329,-1
0.67058504,-1
0.609807,-1
0.16819182,1
0.11030618,-1
0.69801986,1
0.7412986,1
0.3816723,1
0.5424344,1
0.27446616,-1
0.49513596,-1
0.2044497,-1
0.31943393,1
0.27039495,-1
0.16426851,-1
0.22646394,1
0.88348734,1
0.15013158,-1
0.5532161,1
0.640173,1
0.30357337,-1
0.5628885,-1
0.3962468,1
0.11628235,1
0.98976654,1
0.80092746,1
0.4700406,1
0.4116664,-1
0.5546629,1
0.43997076,1
0.7882189,-1
0.34434283,-1
0.8546522,1
0.19702984,-1
0.12198258,-1
0.7335363,-1
0.53009886,-1
0.7698202,-1
0.23333932,-1
0.16476284,-1
0.5443892,-1
0.35596055,-1
0.3036281,1
0.47022632,1
0.49893034,1
0.70201904,1
0.20257859,-1
0.5720514,1
0.35893366,1
0.35388786,1
0.1375597,1
0.5661521,1
0.659518,-1
0.6422859,-1
0.56179804,-1
0.8194832,1
0.8637116,1
0.78149706,1
0.97264284,1
0.32378384,-1
0.4551533,-1
0.29354984,1
0.19090493,-1
0.3306162,1
0.27503422,-1
0.15537006,1
0.08536204,-1
0.36619347,-1
0.61218435,-1
0.11977528,1
0.22784755,-1
0.06306208,1
0.3088013,-1
0.61630726,-1
0.066562764,-1
0.6605329,1
0.41108733,1
0.6971712,1
0.5782685,1
0.3545216,1
0.9056126,1
0.18905154,1
0.20098379,-1
0.13309753,-1
0.30022016,1
0.3694521,-1
0.6930447,-1
0.49649692,-1
0.46468028,1
0.31665382,-1
0.4612752,-1
0.7325816,-1
0.85195607,1
0.35476613,-1
0.606561,1
0.30929947,1
0.35326102,1
0.7453746,1
0.3588138,-1
0.2557061,1
0.3900548,1
0.8155143,-1
0.23122284,1
0.21754386,-1
0.87574846,-1
0.4145861,1
0.30481708,-1
0.40795407,-1
0.19685386,1
0.28352836,1
0.696723,-1
0.6343144,1
0.6246041,-1
0.1446527,-1
0.24263734,1
0.27135354,1
0.2000467,1
0.91501963,1
0.18965968,-1
0.8747149,1
0.43440297,1
0.35515445,-1
0.57400626,1
0.9277444,1
0.50796115,1
0.39723974,1
0.69500226,-1
0.9023953,1
0.0909638,-1
0.9396005,1
0.35101804,-1
0.86851645,-1
0.8387378,1
0.12704465,-1
0.22823496,1
0.51620406,-1
0.71945816,1
0.6450278,-1
0.55833286,-1
0.67601836,1
0.61874837,-1
0.24008438,-1
0.15288898,-1
0.27573603,-1
0.5916663,1
0.77409244,1
0.14223044,-1
0.43028173,-1
0.53363144,-1
0.6202582,-1
0.9226039,1
0.76053375,1
0.36003688,-1
0.19363904,-1
0.21231548,-1
0.487718,-1
0.35714814,-1
0.533868,-1
0.4951246,1
0.5496243,-1
0.21319696,-1
0.31930193,-1
0.9713343,1
0.8913515,1
0.8050015,1
0.2827129,1
0.7841048,-1
0.5694389,-1
0.91876155,1
0.42966428,1
0.50533617,1
0.14236408,-1
0.5200396,1
0.42274082,-1
0.3270626,-1
0.058211993,1
0.63202727,-1
0.46345872,1
0.91958034,-1
0.47067,-1
0.86784875,1
0.7435316,1
0.5197046,-1
0.36439368,-1
0.617823,1
0.68982655,-1
0.3719045,-1
0.73964894,1
0.40882754,-1
0.16902149,-1
0.8526308,1
0.9011123,1
0.4457251,1
0.6318632,-1
0.15685782,-1
0.8103956,1
0.72739834,1
0.8120144,1
0.3806098,-1
0.093591675,-1
0.49872184,1
0.62678486,-1
0.7600704,-1
0.7643376,-1
0.3659713,-1
0.9015118,1
0.58885473,-1
0.4636965,1
0.3220268,1
0.8540598,1
0.51492816,-1
0.1688567,1
0.13932548,1
0.2119415,-1
0.19156483,-1
0.13684374,1
0.83751005,1
0.19435526,-1
0.83590627,1
0.60021937,-1
0.16004369,-1
0.41741532,-1
0.6101143,-1
0.93025994,1
0.995656,1
0.49889374,-1
0.35254595,1
0.07555559,-1
0.36170876,1
0.33116263,1
0.13068242,-1
0.7155921,1
0.2491429,1
0.35933128,-1
0.15598729,-1
0.7756526,1
0.86264974,-1
0.052638303,-1
0.42689937,1
0.4697671,-1
0.3476714,1
0.44431546,-1
0.38409907,-1
0.47207928,-1
0.24993159,1
0.4784692,-1
0.48112768,-1
0.40801975,1
0.3151958,-1
0.57052034,-1
0.35722056,1
0.7909552,-1
0.876045,-1
0.6862692,-1
0.723981,-1
0.30803064,1
0.37382567,-1
0.51304775,-1
0.72846717,-1
0.062347453,1
0.57106304,1
0.2054379,-1
0.32028654,1
0.55050516,1
0.11934937,1
0.6767757,-1
0.25030485,1
0.073150605,1
0.21746254,-1
0.69308376,1
0.06782563,1
0.477168,1
0.22908813,-1
0.18397035,-1
0.2005082,-1
0.5981519,-1
0.578669,-1
0.6072706,1
0.4500987,-1
0.5156971,-1
0.2175622,1
0.79125464,1
0.19669479,1
0.90515596,1
0.62625325,1
0.31346983,1
0.6650302,-1
0.21411668,-1
0.09947314,1
0.40365398,-1
0.5702145,1
0.14109878,-1
0.5810976,1
0.687274,-1
0.5810601,-1
0.34474173,1
0.5225109,1
0.11655273,1
0.703727,1
0.3056355,-1
