pred,label
1.0,1
1.0,1
1.0,1
7.3869932e-09,-1
9.39572e-05,-1
1.0,1
5.080217e-09,-1
3.7420183e-09,-1
0.01757708,1
5.8268945e-10,-1
1.0,1
1.0,1
6.280363e-07,-1
1.0,1
1.0,1
1.0,1
0.001671175,-1
6.9473997e-12,-1
0.9999999,1
0.9999945,1
0.00628292,-1
5.384322e-10,-1
1.0,1
1.432827e-08,-1
1.0,1
9.792295e-10,-1
1.6204005e-08,-1
0.00019722413,-1
1.0,1
1.0,1
1.0,1
0.00074944814,-1
1.0,1
1.8800173e-11,-1
1.2371178e-06,-1
7.9681465e-13,-1
2.6838707e-09,-1
1.3655274e-11,-1
1.0,1
0.8131967,1
0.06258384,-1
0.9999999,1
3.3081207e-05,-1
2.7542257e-05,-1
3.979908e-06,-1
1.0849672e-09,-1
1.0,1
1.5495628e-08,-1
0.9999995,1
1.0,1
1.0,1
1.8836527e-08,-1
0.00024330501,-1
0.98148704,1
0.99989474,1
0.99999964,1
9.700762e-13,-1
1.0,1
0.99947506,1
0.0003089522,-1
7.177428e-07,-1
0.9999987,1
4.2274486e-08,-1
0.99999845,1
1.8003513e-12,-1
8.7897416e-07,-1
0.0010663895,-1
0.00024530725,-1
0.0007749337,-1
1.0,1
0.9999993,1
9.8389584e-08,-1
1.0,1
8.615677e-05,-1
0.9999995,1
1.0,1
1.0,1
0.9997595,1
0.73250777,-1
3.729971e-06,-1
2.5762086e-09,-1
1.0,1
0.10878698,-1
7.4250935e-12,-1
0.99999535,1
0.99999964,1
2.1329296e-14,-1
1.6393574e-08,-1
1.5558329e-11,-1
0.09215281,-1
1.2857534e-11,-1
1.0,1
1.0,1
1.0,1
0.00014152481,-1
9.4985595e-08,-1
1.0,1
4.771514e-12,-1
1.0,1
1.0,1
1.0,1
5.3543794e-05,-1
6.952583e-08,-1
0.000191468,-1
1.0,1
1.0,1
0.0023376588,-1
0.9999999,1
1.0,1
0.9999999,1
7.3055806e-10,-1
0.9391575,1
3.3448137e-11,-1
7.0207185e-05,-1
8.6013735e-08,-1
0.9999802,1
2.1486406e-07,-1
0.9999794,1
1.6052142e-11,-1
3.8436934e-11,-1
0.99999964,1
2.1512973e-08,-1
1.0,1
3.8758273e-07,-1
0.9999999,1
1.0,1
0.9992889,1
1.0717973e-13,-1
0.999551,1
1.0,1
0.99999714,1
3.1782904e-05,-1
4.8697602e-06,-1
1.0,1
1.9813196e-12,-1
0.00032254902,-1
0.9999993,1
5.531363e-05,-1
1.0,1
0.9999988,1
2.0378256e-08,-1
0.00062976946,-1
1.7824746e-08,-1
8.334483e-11,-1
0.88564837,1
1.0,1
2.0263244e-05,-1
1.0,1
0.99991274,1
0.9999995,1
9.2360686e-05,-1
2.1797196e-05,-1
2.1379111e-10,-1
1.0,1
0.001241503,-1
3.2570001e-06,-1
1.9188526e-08,-1
0.9999995,1
5.68028e-13,-1
0.0009426231,-1
1.0,1
1.0,1
2.8686632e-08,-1
1.0,1
0.99999917,1
1.0,1
5.0354934e-09,-1
1.0,1
1.0,1
0.9999907,1
2.282222e-07,-1
4.655051e-05,-1
0.9999969,1
0.99997354,1
5.535496e-07,-1
2.4558722e-10,-1
2.4654667e-09,-1
1.0,1
1.0,1
0.00051748205,-1
0.99998474,1
0.0019163552,-1
1.0,1
0.000985534,-1
1.2269614e-05,-1
7.749043e-05,-1
2.6158961e-08,-1
1.0,1
1.4961457e-06,-1
1.0,1
0.99825007,1
1.0,1
1.0,1
3.41858e-11,-1
0.5837643,-1
7.734853e-11,-1
0.9999999,1
0.00055260374,-1
3.0073524e-09,-1
0.19104886,-1
0.99992144,1
1.0,1
8.484097e-05,-1
1.0,1
1.355127e-09,-1
6.3212626e-09,-1
1.0,1
0.159049,-1
0.0009654762,-1
4.163186e-05,-1
0.99999976,1
1.7284215e-08,-1
1.0,1
1.0,1
1.0,1
2.2675695e-11,-1
1.4805786e-05,-1
0.99996686,1
1.0,1
0.99999976,1
1.0,1
1.0,1
4.133515e-08,-1
1.0,1
3.6930746e-07,-1
0.99999785,1
0.9999999,1
7.795081e-07,-1
1.0,1
1.0,1
1.0886014e-12,-1
0.00023574237,-1
1.0,1
1.0,1
0.9999975,1
1.4850366e-06,-1
1.31904585e-08,-1
1.7935007e-07,-1
0.99996686,1
0.99788576,1
8.839134e-09,-1
2.677233e-10,-1
2.203796e-05,-1
1.0,1
5.9128213e-10,-1
0.99985063,1
7.691644e-11,-1
1.0,1
0.00037955187,-1
3.743355e-08,-1
0.016097762,-1
1.3531052e-12,-1
1.0,1
5.809201e-08,-1
1.0508771e-08,-1
6.983673e-05,-1
3.0650107e-10,-1
1.0,1
0.0027256396,-1
1.0,1
1.0227757e-07,-1
0.99999964,1
0.99999297,1
1.3427912e-05,-1
1.9132165e-05,-1
0.9998122,1
3.813531e-09,-1
1.0,1
0.9999999,1
7.733824e-06,-1
3.175514e-12,-1
0.0030683344,-1
1.0,1
0.0018384578,-1
0.9999968,1
0.9999994,1
1.0620103e-07,-1
7.983699e-08,-1
1.0,1
1.0,1
0.99999976,1
1.9435242e-06,-1
7.15344e-09,-1
1.0,1
1.8576267e-05,-1
0.0014422484,-1
0.99999964,1
0.012532073,-1
1.0,1
1.0,1
1.0,1
0.035808284,-1
0.0008052023,-1
0.0126579935,-1
1.0,1
1.0,1
1.9129802e-08,-1
0.99999964,1
8.122231e-06,-1
0.0009111219,-1
0.9999999,1
1.9259796e-05,-1
5.2628932e-11,-1
0.9999999,1
0.99419844,1
1.0,1
0.0009073037,-1
0.9999999,1
0.008443414,-1
4.578832e-12,-1
1.0,1
3.7080884e-11,-1
0.00015168752,-1
1.0,1
0.00065374165,-1
3.4554866e-08,-1
0.0020531085,-1
7.75388e-07,-1
1.0,1
0.014926487,-1
3.022244e-10,-1
4.238659e-10,-1
0.9999995,1
9.549197e-10,-1
1.5634887e-09,-1
0.9999982,1
1.0,1
1.0,1
0.9999827,1
1.0,1
1.6925281e-09,-1
0.9333828,1
3.121292e-06,-1
0.9579174,1
0.99999964,1
1.0,1
1.0,1
0.57952356,-1
2.7013733e-09,-1
8.746638e-10,-1
2.4779115e-10,-1
0.00015778492,-1
2.377874e-08,-1
2.029422e-06,-1
1.0,1
1.0,1
1.0,1
0.00013590565,-1
1.0,1
1.0,1
0.00097478565,-1
7.0807355e-06,-1
1.4714546e-05,-1
4.126365e-06,-1
0.26115906,-1
1.0,1
2.4027586e-05,-1
7.421816e-10,-1
4.7612946e-05,-1
0.9999999,1
1.8603804e-07,-1
0.007671847,-1
2.8779536e-05,-1
1.6114278e-09,-1
0.99999964,1
0.99999976,1
1.5139348e-07,-1
1.0,1
1.0,1
1.0,1
1.0,1
6.301917e-09,-1
0.0046200594,-1
1.0,1
0.99996376,1
0.9999999,1
0.010376307,-1
1.0,1
0.02757221,-1
1.0,1
5.8899604e-05,-1
0.22039822,-1
6.640731e-09,-1
0.0003626993,-1
1.0,1
0.9999999,1
0.9356727,-1
0.9999999,1
1.0,1
6.633515e-09,-1
6.734262e-06,-1
0.034826837,-1
0.9999808,1
1.0,1
0.0008468133,-1
4.0397504e-07,-1
1.2048174e-07,-1
2.0522957e-09,-1
1.0,1
0.0021669855,-1
0.9999305,1
1.0,1
0.9999999,1
4.7334842e-07,-1
1.0,1
6.497312e-05,-1
0.006922593,-1
0.000111684814,-1
1.0,1
2.926481e-06,-1
1.0,1
0.00042992178,-1
1.2225838e-10,-1
7.5855655e-11,-1
0.9999192,1
0.03880061,-1
1.0,1
1.0,1
3.6235292e-12,-1
0.0004396966,-1
5.329836e-08,-1
1.0,1
5.46275e-05,-1
2.094797e-14,-1
1.0,1
2.26328e-10,-1
6.055914e-06,-1
1.0,1
1.0,1
1.137811e-08,-1
1.0,1
1.0,1
9.285147e-08,1
7.3394735e-06,-1
3.4093453e-08,-1
1.1056738e-10,-1
2.896694e-07,-1
1.2169414e-07,-1
0.9999865,1
1.0,1
1.0,1
2.5159184e-07,-1
2.9592033e-09,-1
1.0,1
2.8089435e-11,-1
1.123946e-06,-1
0.99996054,1
0.9999987,1
2.0533996e-07,-1
5.036572e-07,-1
1.488912e-07,-1
1.4081205e-06,-1
0.9999999,1
1.6969436e-07,-1
0.9999999,1
0.9999988,1
0.99999917,1
2.503726e-11,-1
1.0,1
0.91481256,-1
0.99999905,1
2.7859017e-09,-1
0.0033520542,-1
0.9999999,1
0.00863003,-1
8.197934e-07,-1
1.0,1
1.0,1
1.6775464e-07,-1
0.99989307,1
0.9999927,1
1.0,1
3.8733145e-07,-1
1.0,1
4.9536557e-06,-1
0.999998,1
1.0,1
6.849207e-05,-1
1.0,1
5.4261584e-10,-1
0.99999905,1
0.99999166,1
3.6541274e-05,-1
0.9954678,1
0.9999577,1
1.6005336e-07,-1
1.0,1
4.2137985e-14,-1
1.0,1
0.99999976,1
0.99999714,1
7.211082e-10,-1
1.0,1
0.9624383,1
9.300177e-08,-1
4.1507188e-05,-1
3.9558572e-07,-1
1.0,1
3.3692857e-05,-1
1.4065079e-08,-1
1.0,1
1.0,1
2.017552e-06,-1
5.7058124e-08,-1
0.99998593,1
1.0,1
0.9935806,1
0.9993519,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999745,1
0.9389505,1
1.0303502e-09,-1
6.2265186e-05,-1
0.9995609,1
1.0,1
7.781825e-06,-1
1.0,1
0.9999988,1
8.4262465e-05,-1
1.0,1
1.3094924e-05,-1
1.0,1
4.134002e-09,-1
1.0,1
1.8122257e-06,-1
6.715445e-06,-1
1.0,1
0.17960294,-1
1.0,1
6.503461e-05,-1
0.047418617,-1
8.175739e-12,-1
1.0,1
1.704395e-05,-1
2.0196684e-07,-1
1.4061544e-07,-1
0.0021461125,-1
7.779531e-08,-1
1.940645e-09,-1
1.0,1
0.9999969,1
0.00010605098,-1
0.9999999,1
9.3327907e-07,-1
4.5581114e-08,-1
8.90997e-05,-1
1.274337e-11,-1
0.0010992251,-1
8.143293e-05,-1
0.99740607,1
2.6543285e-09,-1
1.0,1
0.9988249,1
0.27182135,-1
0.0005865345,-1
0.99999726,1
1.0,1
1.0,1
0.036893025,-1
1.6141514e-06,-1
1.0,1
0.99999905,1
0.0002637707,-1
1.2220395e-08,-1
1.0,1
4.157199e-10,-1
0.0019296942,-1
0.9999999,1
0.0011148258,-1
1.0,1
3.4984834e-05,-1
1.0,1
1.0,1
8.559766e-13,-1
0.124834254,-1
3.4388895e-06,-1
1.0,1
1.0,1
1.3442918e-06,-1
3.069554e-08,-1
1.8487868e-13,-1
0.9999999,1
1.0,1
1.0,1
2.6078095e-09,-1
2.4225576e-13,-1
0.9999999,1
0.00039965846,-1
0.306315,-1
0.9999987,1
1.5584446e-05,-1
1.0,1
1.1309821e-05,-1
6.266088e-07,-1
1.0,1
0.99918085,1
1.0,1
0.9999901,1
0.99315155,1
0.9999994,1
1.0876545e-13,-1
0.9999993,1
1.0,1
4.0242696e-07,-1
1.0,1
1.0,1
0.0030501934,-1
2.6573268e-06,-1
2.571672e-06,-1
1.0,1
1.392494e-05,-1
0.0007519567,-1
1.8365735e-07,-1
8.413469e-10,-1
1.0,1
1.1178059e-05,-1
1.0,1
6.820663e-07,-1
3.2376455e-08,-1
1.5079024e-10,-1
1.0,1
3.47753e-12,-1
1.0,1
0.9999999,1
6.6734433e-06,-1
7.8146564e-05,-1
1.0,1
