pred,label
0.5654522,1
0.32270122,-1
0.38787577,-1
0.4141534,-1
0.43163484,-1
0.4669355,-1
0.42462805,-1
0.5536836,1
0.5775427,1
0.5594512,1
0.57736963,1
0.42526773,1
0.58943367,1
0.31841603,-1
0.4740423,1
0.5476222,1
0.4746134,-1
0.5778739,1
0.4287563,-1
0.45201156,-1
0.5688013,1
0.50583947,-1
0.33939126,-1
0.57111007,1
0.579624,1
0.5385834,1
0.49569774,1
0.6443082,1
0.41528198,-1
0.31648603,-1
0.50386703,1
0.40187883,-1
0.48943442,-1
0.39769754,-1
0.41073453,-1
0.3198574,-1
0.32022792,-1
0.5865178,1
0.56796706,1
0.2836507,-1
0.5848708,1
0.60502315,1
0.565233,1
0.36600348,-1
0.37020975,-1
0.27994683,-1
0.5197023,1
0.4688982,-1
0.5614761,1
0.45293862,1
0.46179086,-1
0.5584662,1
0.5951758,1
0.41514638,-1
0.3794275,-1
0.45972455,-1
0.450523,-1
0.46023571,-1
0.54546297,1
0.42775935,-1
0.35536793,-1
0.49399564,1
0.5864424,1
0.55605346,1
0.24516144,-1
0.3805174,-1
0.508739,1
0.44290552,-1
0.55965257,1
0.4966083,1
0.48202363,1
0.5293982,1
0.39106557,-1
0.41160312,-1
0.45767426,-1
0.47976986,1
0.5379857,1
0.5803833,1
0.56918395,1
0.5121964,1
0.35076004,-1
0.4670886,-1
0.5065749,1
0.46686742,-1
0.24465889,-1
0.5561778,1
0.5912466,1
0.5806334,1
0.5552146,1
0.6153284,1
0.23960435,-1
0.37926823,-1
0.5701295,1
0.6195795,1
0.319939,-1
0.33232126,-1
0.55275714,1
0.44904682,-1
0.27166206,-1
0.5698162,1
0.3132367,-1
0.5356186,1
0.45249733,-1
0.60817546,1
0.46014526,-1
0.33612376,-1
0.56519675,1
0.5578007,1
0.3918248,-1
0.5021078,1
0.63119584,1
0.48593882,-1
0.2560713,-1
0.31348863,-1
0.55438936,1
0.54392344,1
0.56158423,1
0.5673834,1
0.28920963,-1
0.4280041,-1
0.42239216,-1
0.33267975,-1
0.3220564,-1
0.52425706,1
0.5662276,1
0.5703352,1
0.59820676,1
0.31928295,-1
0.6087901,1
0.497461,1
0.5375637,-1
0.21382478,-1
0.5184898,1
0.5529903,1
0.49217144,-1
0.5669203,1
0.28493255,-1
0.4910287,1
0.29752967,-1
0.41264838,-1
0.19264652,-1
0.5758774,1
0.55523735,-1
0.4544426,-1
0.24839668,-1
0.44565845,1
0.32286736,-1
0.5512035,1
0.49896616,-1
0.49980927,1
0.4998086,1
0.49937496,-1
0.49947295,-1
0.49975532,1
0.49977762,1
0.4995319,-1
0.4993702,-1
0.49981824,1
0.49972644,1
0.49967963,-1
0.4998508,1
0.4993834,-1
0.49906218,-1
0.49968058,1
0.49922088,1
0.4995979,-1
0.49934834,-1
0.49971285,1
0.499432,-1
0.4998272,1
0.49936634,-1
0.49961144,-1
0.49973503,-1
0.4995653,-1
0.49983516,1
