pred,label
0.4999967,-1
0.49999568,-1
0.4999968,-1
0.4999994,1
0.49999985,-1
0.49999928,1
0.49999616,-1
0.49999925,-1
0.49999934,1
0.49999952,1
0.49999982,-1
0.49999982,-1
0.49999925,1
0.4999999,-1
0.4999986,1
0.49999857,-1
0.49999866,1
0.49999738,-1
0.49999884,-1
0.49999967,1
0.49999884,1
0.4999989,-1
0.49999762,-1
0.4999994,-1
0.49999958,-1
0.49999967,1
0.4999991,-1
0.49999803,-1
0.49999937,1
0.49999934,-1
0.49999908,1
0.4999975,-1
0.4999978,1
0.49999937,1
0.5,-1
0.49999863,-1
0.49999833,-1
0.50000006,1
0.49999967,1
0.4999981,-1
0.5000002,1
0.49999878,1
0.49999657,-1
0.49999785,1
0.49999952,1
0.49999952,1
0.49999824,-1
0.49999887,1
0.49999842,-1
0.49999982,1
0.49999905,-1
0.49999917,1
0.49999967,1
0.49999923,-1
0.4999993,-1
0.49999997,1
0.49999982,1
0.50000125,1
0.50000024,-1
0.50000054,1
0.49999985,1
0.50000054,1
0.499998,-1
0.49999812,1
0.500001,1
0.4999994,-1
0.49999854,-1
0.49999666,-1
0.49999803,1
0.49999866,1
0.499999,1
0.4999968,-1
0.49999836,-1
0.49999887,-1
0.49999902,1
0.5000001,1
0.5000002,1
0.49999917,1
0.49999946,1
0.49999997,1
0.4999993,-1
0.49999723,1
0.49999252,1
0.49999687,-1
0.5000002,1
0.499999,1
0.49999568,-1
0.49999902,1
0.49999934,1
0.5000011,1
0.49999863,-1
0.4999999,1
0.49999878,-1
0.49999946,1
0.50000036,-1
0.49999857,1
0.49999917,-1
0.49999982,1
0.49999756,-1
0.50000054,1
0.499997,-1
0.49999854,-1
0.5,1
0.49999824,-1
0.49999914,1
0.49999994,-1
0.49999866,-1
0.49999705,-1
0.5000012,1
0.49999696,-1
0.49999952,-1
0.4999982,1
0.4999996,1
0.49999824,-1
0.50000024,-1
0.5,-1
0.4999982,-1
0.5000006,1
0.49999884,1
0.4999987,-1
0.4999968,-1
0.49999917,-1
0.49999914,1
0.4999998,1
0.4999997,1
0.4999979,-1
0.49999988,-1
0.499999,1
0.49999937,-1
0.49999908,-1
0.49999928,1
0.4999982,1
0.50000006,1
0.49999636,-1
0.49999827,-1
0.4999971,-1
0.49999985,1
0.4999986,1
0.4999994,-1
0.4999993,1
0.49999985,-1
0.49999896,-1
0.4999974,-1
0.49999952,1
0.5000001,1
0.4999991,-1
0.49999943,-1
0.49999985,1
0.25581005,-1
0.061193567,-1
0.46155295,1
0.46711692,1
0.30812174,-1
0.38870582,1
0.34228843,-1
0.18645203,-1
0.39697185,1
0.29827335,-1
0.45988646,1
0.47684813,1
0.47852886,1
0.15805493,-1
0.36316788,-1
0.38795584,1
0.46315396,1
0.45521426,1
0.20622598,-1
0.32302347,-1
0.31374627,-1
0.46164656,1
0.32446536,-1
0.47353882,1
0.46764064,1
0.21720189,-1
0.4725507,1
0.32919365,-1
0.4096673,1
0.46423018,1
0.3571253,-1
0.21347943,-1
0.21598604,-1
0.36738464,-1
0.32651925,-1
0.3416398,-1
0.19483946,-1
0.23245291,-1
0.4983614,1
0.28921154,-1
0.45015243,1
0.45781368,1
0.45822564,1
0.47135955,1
0.36488435,1
0.4333659,-1
0.23307201,-1
0.21604481,-1
0.23384935,-1
0.46144316,1
0.08023714,-1
0.24426414,-1
0.32258818,-1
0.46947357,1
0.46145022,1
0.47168168,1
0.4709661,1
0.4537558,1
0.36493662,1
0.23024012,-1
0.48421684,1
0.49079156,1
0.48125416,1
0.10033093,-1
0.3880075,1
0.21332021,-1
0.3454071,-1
0.22511585,-1
0.3424152,-1
0.4622434,1
0.43199244,1
0.4755648,1
0.12710853,-1
0.47669604,1
0.28281772,-1
0.39024574,-1
0.45301592,1
0.395579,1
0.4634599,1
0.46352273,1
0.3175682,1
0.45173594,1
0.29943267,-1
0.2228798,-1
0.45952117,1
0.32708418,1
0.16987075,-1
0.18012814,-1
0.48939842,1
0.1897396,-1
0.22895654,-1
0.23464197,-1
0.4895381,1
0.1966756,-1
0.4864785,1
0.11733621,-1
0.46761146,1
0.19370475,1
0.2878939,-1
0.47190815,1
0.30800733,-1
0.45382667,1
0.47054163,1
0.3871133,1
0.47838297,1
0.25725982,-1
0.22905257,-1
0.23122442,-1
0.22252198,-1
0.472945,1
0.4548069,1
0.48081103,1
0.47829846,1
0.31532976,-1
0.4807358,1
0.43278953,1
0.22250232,-1
0.22997178,-1
0.3161171,1
0.21495378,-1
0.38467422,1
0.32997817,-1
0.46282506,1
0.20598689,-1
0.3727468,-1
0.48064038,1
0.36553296,1
0.47193378,1
0.3532768,1
0.46086445,1
0.35595778,1
0.38148,-1
0.34758416,-1
0.47703198,1
0.3792791,-1
0.15376692,-1
0.2235675,1
0.2547686,-1
0.08494633,-1
0.22277108,-1
0.25707665,-1
0.3912708,-1
0.2654988,-1
0.4529549,1
0.1613768,-1
0.24749684,-1
0.46347988,1
0.25257286,-1
0.43890646,-1
0.4807124,1
0.48160058,1
0.46214488,-1
0.34893137,-1
0.45526895,-1
0.46845874,1
0.45256796,-1
0.48966604,1
0.4380692,-1
0.48551893,1
0.48802423,1
0.4421343,-1
0.49372295,1
0.49041936,1
0.46153954,-1
0.4859529,1
0.46642894,-1
0.4527341,-1
0.49147686,1
0.49141952,1
0.48408583,1
0.48390892,1
0.45495036,-1
0.3943704,-1
0.46340233,-1
0.48939025,1
0.48657587,1
0.47560883,-1
0.4898926,1
0.44892725,-1
0.4876102,1
0.46112886,-1
0.44564816,-1
0.42798188,1
0.47925797,1
0.40232077,-1
0.48543537,1
0.41512623,-1
0.46682468,1
0.3883718,-1
0.4884808,1
0.46839207,1
0.48569492,1
0.43718386,-1
0.4961252,1
0.44807246,-1
0.49025187,1
0.443289,-1
0.42726573,-1
0.42596617,-1
0.43523338,-1
0.44744432,1
0.46990964,1
0.48858237,1
0.45456284,1
0.36305308,-1
0.44165665,-1
0.4528641,-1
0.48580065,1
0.43872765,-1
0.42512482,-1
0.41168183,-1
0.48744345,1
0.45403627,-1
0.43220687,-1
0.4916201,1
0.44773945,-1
0.4859136,1
0.44840795,-1
0.473942,1
0.2789591,-1
0.48825222,1
0.43984738,-1
0.47475344,1
0.43238816,1
0.486347,1
0.48890477,1
0.491352,1
0.4759007,1
0.4834364,1
0.4584756,-1
0.39696017,-1
0.44810462,-1
0.44546685,-1
0.48990017,1
0.4790578,1
0.45290908,-1
0.49141622,1
0.43844756,-1
0.46148986,-1
0.45982072,-1
0.4340888,-1
0.49201828,1
0.44165075,-1
0.4298344,-1
0.4927691,1
0.40138757,-1
0.48558202,1
0.46555528,1
0.40904337,-1
0.43878612,-1
0.47044563,1
0.4596222,1
0.4823487,1
0.44848847,-1
0.46831086,1
0.4873953,1
0.4907002,1
0.41517484,-1
0.44684768,1
0.48491204,1
0.48781177,1
0.4816691,1
0.45077926,-1
0.4476576,-1
0.4562697,-1
0.3922036,-1
0.44876623,-1
0.41832688,-1
0.4652895,-1
0.45460832,-1
0.4847005,1
0.4528007,1
0.3666437,-1
0.44284153,-1
0.4889811,1
0.49525458,1
0.4765649,-1
0.48651496,1
0.46289128,-1
0.46914703,1
0.48292035,1
0.44148046,1
0.4326861,-1
0.4494169,-1
0.4946686,1
0.492914,1
0.44980142,-1
0.44029337,-1
0.44573984,-1
0.364813,-1
0.48982212,1
0.44155523,-1
0.42426994,-1
0.4703561,1
0.48482686,1
0.48620072,1
0.49958155,1
0.498683,-1
0.49978372,1
0.49532136,-1
0.49965766,1
0.49784222,-1
0.4997873,1
0.49930477,1
0.49870005,-1
0.49954847,1
0.49928263,1
0.49998903,1
0.49566916,-1
0.49947363,1
0.49692923,-1
0.49921757,1
0.49773645,-1
0.49966782,1
0.4995082,1
0.4994845,-1
0.49929777,1
0.49951783,1
0.49939656,1
0.49579754,-1
0.49909317,1
0.4980601,-1
0.49523175,-1
0.49924695,1
0.49972782,1
0.49911186,1
0.49982512,1
0.49844402,-1
0.4996921,1
0.49983606,1
0.49766397,-1
0.49887404,-1
0.49775022,-1
0.49942878,1
0.495204,-1
0.49966767,1
0.4991444,-1
0.49967954,1
0.4985263,-1
0.49970827,1
0.49510413,-1
0.49884677,-1
0.49973324,1
0.49976382,1
0.498404,-1
0.50012565,1
0.49931923,1
0.49899697,-1
0.498152,-1
0.49959397,1
0.49797073,-1
0.4997593,1
0.49985608,1
0.49733675,-1
0.4997487,-1
0.49773282,-1
0.49957362,1
0.49906987,-1
0.49763787,-1
0.49839884,-1
0.49954328,1
0.49829218,-1
0.49841663,-1
0.49704283,-1
0.49904105,-1
0.49858192,-1
0.49558794,-1
0.49928707,1
0.499491,1
0.49830434,-1
0.4975489,-1
0.49876466,-1
0.49890757,-1
0.4994381,1
0.49971148,1
0.4993487,1
0.49936038,1
0.4988124,-1
0.49957773,1
0.49958974,1
0.49856517,-1
0.49922118,1
0.49975592,1
0.4982224,-1
0.49764013,-1
0.49986914,1
0.49956855,1
0.49966702,1
0.49970213,1
0.49921465,1
0.49829325,-1
0.4987125,1
0.49987262,1
0.49909815,1
