pred,label
0.999315,1
0.99684745,1
0.96559006,1
0.9981142,1
0.99660206,1
0.9997701,1
4.094414e-05,-1
0.9978933,1
0.021349482,-1
0.9319168,-1
0.6425984,1
0.99084175,1
0.61090446,-1
0.00090027635,-1
0.9815284,1
0.11860998,-1
0.99859935,1
0.9941414,1
0.99607867,1
0.00062987686,-1
0.99797255,1
0.004545695,-1
0.015795292,-1
0.009967662,-1
0.9915766,1
0.9981687,1
0.9999542,1
0.21673588,-1
0.26709512,1
0.99998593,1
0.00020222024,-1
0.99857426,1
0.015408563,-1
0.001256791,-1
0.013279396,-1
0.02202035,-1
0.64360243,-1
0.0011749268,-1
0.00061753695,-1
0.00012161609,-1
0.24510953,-1
0.9983644,1
0.05894876,-1
0.006930284,-1
0.9967931,1
4.499351e-05,-1
0.9987649,1
0.00032909086,-1
0.99290085,1
0.9984742,1
0.0022792567,1
0.054810237,-1
0.0035910814,-1
0.9993006,1
0.27694458,-1
0.99942183,1
0.013944927,-1
0.99898523,1
0.98929614,1
0.99929523,1
0.9973278,1
0.98902404,1
0.20634703,-1
0.0338544,-1
0.00039176963,-1
0.9986908,1
0.00027828847,-1
0.0011376848,-1
0.99890065,1
0.99968183,1
0.9999994,1
0.99976593,1
0.6076746,1
0.0033534565,-1
0.0016509364,-1
0.0032292048,-1
0.99990773,1
0.9997557,1
0.99904364,1
0.99940145,1
0.0013772983,-1
0.005176792,-1
0.97799635,1
0.03156908,-1
0.009969822,-1
0.022595497,-1
0.00048973016,-1
0.99691004,1
0.1437411,-1
0.07788555,-1
4.4994922e-05,-1
0.00020313646,-1
0.0004952632,-1
0.00033339157,-1
0.9989843,1
0.9983493,1
0.0037042971,-1
0.99884194,1
0.036973607,1
0.008604852,-1
0.9937987,1
0.3400667,-1
0.9997167,1
0.0048743305,-1
0.9994723,1
0.0008172648,-1
0.00014354552,-1
0.9997993,1
0.000111755544,-1
0.9994036,1
0.009529698,-1
0.9989837,1
0.9998741,1
0.99624395,1
0.9914625,1
0.15522702,1
0.0300488,-1
0.9997013,1
8.664603e-06,-1
0.9999299,-1
0.9801287,1
0.99995816,1
0.99878305,1
0.14600426,-1
0.06623154,-1
0.9460984,1
0.99996877,1
0.0004659902,-1
0.00066948414,-1
0.091049634,-1
0.0007806022,-1
0.99998426,1
0.9981211,1
0.027370593,-1
0.9975605,1
0.8704037,1
4.5182136e-05,1
0.00030778474,-1
