,,ACC,Sen,Spe,Pre,MCC,FPR,AUC,,,,ACC,Sen,Spe,Pre,MCC,FPR,AUC
one hot+stack+side.csv,mean,0.91805,0.9484,0.8877,0.89424,0.83814,0.1123,0.966739802,,one hot+stack+side.csv,mean,91.81,94.84,88.77,89.42,0.8381,11.23,96.67
one hot+stack+side.csv,std,0.0146133,0.029716,0.0135728,0.0111262,0.029928,0.0135728,0.0087267,,one hot+stack+side.csv,std,1.46,2.97,1.36,1.11,0.0299,1.36,0.87
one hot+stack+withoutside.csv,mean,0.91686,0.90897,0.92476,0.92358,0.8341,0.07524,0.966262303,,one hot+stack+withoutside.csv,mean,91.69,90.9,92.48,92.36,0.8341,7.52,96.63
one hot+stack+withoutside.csv,std,0.0125643,0.0256548,0.0077792,0.0071977,0.0246066,0.0077792,0.0094071,,one hot+stack+withoutside.csv,std,1.26,2.57,0.78,0.72,0.0246,0.78,0.94
one hot+sum+side.csv,mean,0.92172,0.94828,0.89516,0.90077,0.84509,0.10484,0.968481174,,one hot+sum+side.csv,mean,92.17,94.83,89.52,90.08,0.8451,10.48,96.85
one hot+sum+side.csv,std,0.0066663,0.0197039,0.0166042,0.0126391,0.0137749,0.0166042,0.0117527,,one hot+sum+side.csv,std,0.67,1.97,1.66,1.26,0.0138,1.66,1.18
one hot+sum+withoutside.csv,mean,0.91634,0.91602,0.91664,0.91696,0.8333,0.08336,0.966725653,,one hot+sum+withoutside.csv,mean,91.63,91.6,91.66,91.7,0.8333,8.34,96.67
one hot+sum+withoutside.csv,std,0.0135135,0.0303622,0.0176427,0.014959,0.0267623,0.0176427,0.0149705,,one hot+sum+withoutside.csv,std,1.35,3.04,1.76,1.5,0.0268,1.76,1.5
random+stack+side.csv,mean,0.97956,0.97204,0.98705,0.98689,0.95923,0.01295,0.997530683,,random+stack+side.csv,mean,97.96,97.2,98.71,98.69,0.9592,1.3,99.75
random+stack+side.csv,std,0.0020211,0.0043061,0.003451,0.0033995,0.004018,0.003451,0.0002291,,random+stack+side.csv,std,0.2,0.43,0.35,0.34,0.004,0.35,0.02
random+stack+withoutside.csv,mean,0.98062,0.97468,0.98652,0.9864,0.9613,0.01348,0.997510714,,random+stack+withoutside.csv,mean,98.06,97.47,98.65,98.64,0.9613,1.35,99.75
random+stack+withoutside.csv,std,0.0025538,0.003378,0.0055015,0.0054784,0.0051145,0.0055015,0.0004535,,random+stack+withoutside.csv,std,0.26,0.34,0.55,0.55,0.0051,0.55,0.05
random+sum+side.csv,mean,0.98088,0.97542,0.98636,0.98625,0.96187,0.01363,0.997790955,,random+sum+side.csv,mean,98.09,97.54,98.64,98.63,0.9619,1.36,99.78
random+sum+side.csv,std,0.0020275,0.005122,0.0038896,0.0038581,0.0040241,0.0038905,0.0002573,,random+sum+side.csv,std,0.2,0.51,0.39,0.39,0.004,0.39,0.03
random+sum+withoutside.csv,mean,0.98016,0.97324,0.98706,0.98691,0.96042,0.01294,0.997526274,,random+sum+withoutside.csv,mean,98.02,97.32,98.71,98.69,0.9604,1.29,99.75
random+sum+withoutside.csv,std,0.001627,0.0033026,0.0052859,0.0052386,0.003272,0.0052859,0.0002164,,random+sum+withoutside.csv,std,0.16,0.33,0.53,0.52,0.0033,0.53,0.02
,,,,,,,,,,,,,,,,,,
,ACC,Sen,Spe,Pre,MCC,FPR,AUC,,,,,,,,,,,
one hot+stack+side.csv,91.81¡À1.46,94.84¡À2.97,88.77¡À1.36,89.42¡À1.11,0.8381¡À0.0299,11.23¡À1.36,96.67¡À0.87,,,,,,,,,,,
one hot+stack+withoutside.csv,91.69¡À1.26,90.9¡À2.57,92.48¡À0.78,92.36¡À0.72,0.8341¡À0.0246,7.52¡À0.78,96.63¡À0.94,,,,,,,,,,,
one hot+sum+side.csv,92.17¡À0.67,94.83¡À1.97,89.52¡À1.66,90.08¡À1.26,0.8451¡À0.0138,10.48¡À1.66,96.85¡À1.18,,,,,,,,,,,
one hot+sum+withoutside.csv,91.63¡À1.35,91.6¡À3.04,91.66¡À1.76,91.7¡À1.5,0.8333¡À0.0268,8.34¡À1.76,96.67¡À1.5,,,,,,,,,,,
