,,,ACC,Sen,Spe,Pre,MCC,FPR,AUC,,,,ACC,Sen,Spe,Pre,MCC,FPR,AUC
NPInter_10412,random,mean,0.91582,0.9047,0.92699,0.92533,0.83191,0.07301,0.958885034,NPInter_10412,random,mean,91.58,90.47,92.7,92.53,0.8319,7.3,95.89
NPInter_10412,random,std,0.0040871,0.0099236,0.0044713,0.0037971,0.0079129,0.0044713,0.0024851,NPInter_10412,random,std,0.41,0.99,0.45,0.38,0.0079,0.45,0.25
NPInter_10412,sort random,mean,0.97444,0.97079,0.97808,0.97792,0.9489,0.02192,0.995670009,NPInter_10412,sort random,mean,97.44,97.08,97.81,97.79,0.9489,2.19,99.57
NPInter_10412,sort random,std,0.0014065,0.002508,0.0023804,0.0023083,0.0028,0.0023804,0.0003537,NPInter_10412,sort random,std,0.14,0.25,0.24,0.23,0.0028,0.24,0.04
NPInter_10412,sort,mean,0.97952,0.97417,0.98487,0.98473,0.95914,0.01513,0.997543261,NPInter_10412,sort,mean,97.95,97.42,98.49,98.47,0.9591,1.51,99.75
NPInter_10412,sort,std,0.0015747,0.0040169,0.0037396,0.0036981,0.0031461,0.0037396,0.000366,NPInter_10412,sort,std,0.16,0.4,0.37,0.37,0.0031,0.37,0.04
RPI2241,random,mean,0.56401,0.53919,0.58879,0.56741,0.12826,0.41121,0.587824201,RPI2241,random,mean,56.4,53.92,58.88,56.74,0.1283,41.12,58.78
RPI2241,random,std,0.0091757,0.0251718,0.0230938,0.0096244,0.0183139,0.0230938,0.012548,RPI2241,random,std,0.92,2.52,2.31,0.96,0.0183,2.31,1.25
RPI2241,sort random,mean,0.95769,0.95333,0.96204,0.96179,0.91543,0.03796,0.984843305,RPI2241,sort random,mean,95.77,95.33,96.2,96.18,0.9154,3.8,98.48
RPI2241,sort random,std,0.0050958,0.0066893,0.0092579,0.0088959,0.0101671,0.0092579,0.0012283,RPI2241,sort random,std,0.51,0.67,0.93,0.89,0.0102,0.93,0.12
RPI2241,sort,mean,0.97024,0.96643,0.97404,0.97392,0.94055,0.02596,0.988700809,RPI2241,sort,mean,97.02,96.64,97.4,97.39,0.9406,2.6,98.87
RPI2241,sort,std,0.0026496,0.0052614,0.0068074,0.0065314,0.005243,0.0068074,0.0016332,RPI2241,sort,std,0.26,0.53,0.68,0.65,0.0052,0.68,0.16
RPI369,random,mean,0.34594,0.34067,0.35123,0.34397,-0.3086,0.64877,0.292472881,RPI369,random,mean,34.59,34.07,35.12,34.4,-0.3086,64.88,29.25
RPI369,random,std,0.011843,0.028323,0.0335572,0.0130259,0.0236854,0.0335572,0.0102888,RPI369,random,std,1.18,2.83,3.36,1.3,0.0237,3.36,1.03
RPI369,sort random,mean,0.9118,0.89591,0.92764,0.92553,0.82415,0.07236,0.945127092,RPI369,sort random,mean,91.18,89.59,92.76,92.55,0.8241,7.24,94.51
RPI369,sort random,std,0.0102565,0.0093049,0.0175332,0.0167535,0.0207384,0.0175332,0.0046147,RPI369,sort random,std,1.03,0.93,1.75,1.68,0.0207,1.75,0.46
RPI369,sort,mean,0.94173,0.92087,0.96261,0.96108,0.88429,0.03739,0.963765689,RPI369,sort,mean,94.17,92.09,96.26,96.11,0.8843,3.74,96.38
RPI369,sort,std,0.0082859,0.00764,0.0123067,0.0123562,0.016803,0.0123067,0.005104,RPI369,sort,std,0.83,0.76,1.23,1.24,0.0168,1.23,0.51
RPI7317,random,mean,0.87605,0.89092,0.86119,0.86626,0.75369,0.13881,0.947326932,RPI7317,random,mean,87.6,89.09,86.12,86.63,0.7537,13.88,94.73
RPI7317,random,std,0.0048289,0.0321126,0.0293364,0.0209669,0.0103134,0.0293364,0.0036041,RPI7317,random,std,0.48,3.21,2.93,2.1,0.0103,2.93,0.36
RPI7317,sort random,mean,0.93223,0.93099,0.93348,0.93344,0.86465,0.06652,0.981707816,RPI7317,sort random,mean,93.22,93.1,93.35,93.34,0.8646,6.65,98.17
RPI7317,sort random,std,0.0066817,0.0166058,0.0098161,0.0084123,0.0131377,0.0098161,0.0022766,RPI7317,sort random,std,0.67,1.66,0.98,0.84,0.0131,0.98,0.23
RPI7317,sort,mean,0.96859,0.96726,0.96993,0.96992,0.93725,0.03007,0.991632962,RPI7317,sort,mean,96.86,96.73,96.99,96.99,0.9372,3.01,99.16
RPI7317,sort,std,0.0028022,0.0025043,0.0076385,0.0073438,0.0056187,0.0076385,0.0005875,RPI7317,sort,std,0.28,0.25,0.76,0.73,0.0056,0.76,0.06
,,,,,,,,,,,,,,,,,,,
,,ACC,Sen,Spe,Pre,MCC,FPR,AUC,,,,ACC,Pre,Sen,AUC,,,,
NPInter_10412,random,91.58¡À0.41,90.47¡À0.99,92.7¡À0.45,92.53¡À0.38,0.8319¡À0.0079,7.3¡À0.45,95.89¡À0.25,,NPInter_10412,random,91.58¡À0.41,92.53¡À0.38,90.47¡À0.99,95.89¡À0.25,,,,
,sort random,97.44¡À0.14,97.08¡À0.25,97.81¡À0.24,97.79¡À0.23,0.9489¡À0.0028,2.19¡À0.24,99.57¡À0.04,,,sort random,97.44¡À0.14,97.79¡À0.23,97.08¡À0.25,99.57¡À0.04,,,,
,sort,97.95¡À0.16,97.42¡À0.4,98.49¡À0.37,98.47¡À0.37,0.9591¡À0.0031,1.51¡À0.37,99.75¡À0.04,,,sort,97.95¡À0.16,98.47¡À0.37,97.42¡À0.40,99.75¡À0.04,,,,
