NPInter10412,,Accuracy,Precision,Sensitivity,AUROC,Spe,MCC,FPR
1 layers,mean,0.98003,0.98544,0.97445,0.997710228,0.98559,0.96009,0.01441
1 layers,std,0.0018803,0.0027118,0.0022362,0.000291,0.0027152,0.0037418,0.0027152
2 layers,mean,0.98143,0.98749,0.97527,0.997892848,0.98762,0.96296,0.01238
2 layers,std,0.0031788,0.0041972,0.0069048,0.0004258,0.0042245,0.0062527,0.0042245
3 layers,mean,0.98041,0.98273,0.9781,0.997709002,0.98278,0.96091,0.01722
3 layers,std,0.0026401,0.0068505,0.0024404,0.0003653,0.0069849,0.0053318,0.0069849
4 layers,mean,0.98127,0.98604,0.97638,0.99775943,0.98615,0.96259,0.01385
4 layers,std,0.0019934,0.0035852,0.0036221,0.0004568,0.0036047,0.0040134,0.0036047
,,,,,,,,
RPI369,,ACC,Pre,Sen,AUC,Spe,MCC,FPR
1 layers,mean,0.94187,0.96347,0.9187,0.965215811,0.96504,0.88479,0.03496
1 layers,std,0.0038701,0.0099218,0.0059699,0.0053268,0.0100175,0.0080434,0.0100175
2 layers,mean,0.94242,0.96474,0.91843,0.964525451,0.9664,0.88588,0.0336
2 layers,std,0.0053391,0.0068863,0.0071379,0.0031785,0.0067954,0.0106237,0.0067954
3 layers,mean,0.93769,0.95809,0.91545,0.962313732,0.95988,0.87627,0.04012
3 layers,std,0.0024709,0.0067149,0.0071976,0.0043932,0.0068754,0.0049942,0.0068754
4 layers,mean,0.93862,0.96185,0.91354,0.961761077,0.96369,0.87841,0.03631
4 layers,std,0.0049824,0.0080913,0.0077285,0.0036272,0.0081101,0.0100188,0.0081101
